cbsa,cbsa_title,n_counties,n_pumas,alloc_pop,purity
35620,"New York-Newark-Jersey City, NY-NJ",22,147,19720958.0,0.9950252416743649
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",23,49,6318377.0,0.9368491307182208
12060,"Atlanta-Sandy Springs-Roswell, GA",29,48,6256377.0,0.9410422357859829
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15,34,3713668.0,0.9518179869606007
38300,"Pittsburgh, PA",8,19,2439940.0,0.9435346770822234
12420,"Austin-Round Rock-San Marcos, TX",5,16,2426592.0,0.9360209709749311
41940,"San Jose-Sunnyvale-Santa Clara, CA",2,16,1969337.0,0.9658311401248237
39340,"Provo-Orem-Lehi, UT",2,5,717986.0,0.9824704102865516
28660,"Killeen-Temple, TX",3,3,494360.0,0.7826219758880169
11460,"Ann Arbor, MI",1,3,369822.0,1.0
