cbsa,metro,pums_gq,published_gq,gap_pct,pub_moe,pums_moe
35620,"New York-Newark-Jersey City, NY-NJ",409587,413195.0,-0.9,2536.0,3607
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",100449,100455.0,-0.0,564.0,1636
12060,"Atlanta-Sandy Springs-Roswell, GA",85383,85379.0,0.0,747.0,2081
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",69572,67492.0,3.1,393.0,1078
38300,"Pittsburgh, PA",68155,65802.0,3.6,590.0,1852
12420,"Austin-Round Rock-San Marcos, TX",46027,46787.0,-1.6,871.0,2976
41940,"San Jose-Sunnyvale-Santa Clara, CA",44479,40554.0,9.7,507.0,964
39340,"Provo-Orem-Lehi, UT",16244,16438.0,-1.2,158.0,594
28660,"Killeen-Temple, TX",20425,26196.0,-22.0,784.0,908
11460,"Ann Arbor, MI",19466,19237.0,1.2,228.0,1289
