cbsa,metro,category,pums_est,published,gap,pub_moe,pums_moe,pass_pub_moe,pass_combined_moe
35620,"New York-Newark-Jersey City, NY-NJ",some other race alone,2585823,2622200.0,-36377,20807.0,20606,False,False
35620,"New York-Newark-Jersey City, NY-NJ",two or more races,2466014,2456192.0,9822,19260.0,23129,True,True
35620,"New York-Newark-Jersey City, NY-NJ",white alone,9090117,9075527.0,14590,13105.0,15781,False,True
35620,"New York-Newark-Jersey City, NY-NJ",native hawaiian and other pacific islander alone,7803,9038.0,-1235,1137.0,1286,False,True
35620,"New York-Newark-Jersey City, NY-NJ",asian alone,2384307,2375134.0,9173,6748.0,8415,False,True
35620,"New York-Newark-Jersey City, NY-NJ",american indian and alaska native alone,119849,124046.0,-4197,5590.0,5955,True,True
35620,"New York-Newark-Jersey City, NY-NJ",black or african american alone,3141587,3136400.0,5187,9508.0,12108,True,True
35620,"New York-Newark-Jersey City, NY-NJ",Hispanic (any race),5088116,5090037.0,-1921,0.0,2660,False,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",some other race alone,554292,560313.0,-6021,10706.0,10548,True,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",two or more races,738046,737869.0,177,11087.0,13152,True,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",white alone,2751364,2745137.0,6227,6813.0,7433,True,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",native hawaiian and other pacific islander alone,2554,3028.0,-474,372.0,421,False,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",asian alone,683671,686556.0,-2885,3578.0,4170,True,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",american indian and alaska native alone,30565,32750.0,-2185,2704.0,2755,True,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",black or african american alone,1557891,1552724.0,5167,5870.0,6101,True,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Hispanic (any race),1134338,1139644.0,-5306,0.0,1153,False,False
12060,"Atlanta-Sandy Springs-Roswell, GA",some other race alone,337917,339928.0,-2011,8771.0,9800,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",two or more races,581359,578579.0,2780,12106.0,11678,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",white alone,2786382,2786510.0,-128,6092.0,6957,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",native hawaiian and other pacific islander alone,4204,3701.0,503,1001.0,1060,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",asian alone,413515,413563.0,-48,2691.0,2562,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",american indian and alaska native alone,27488,25706.0,1782,2565.0,3129,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",black or african american alone,2105025,2108390.0,-3365,7188.0,8103,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",Hispanic (any race),780272,777257.0,3015,167.0,717,False,False
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",some other race alone,120536,119854.0,682,4259.0,6816,True,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",two or more races,281312,281465.0,-153,5551.0,8064,True,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",white alone,2689065,2692644.0,-3579,3822.0,5118,True,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",native hawaiian and other pacific islander alone,1211,999.0,212,243.0,652,True,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",asian alone,263751,258764.0,4987,1823.0,3161,False,False
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",american indian and alaska native alone,18752,19461.0,-709,1129.0,1943,True,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",black or african american alone,339228,340481.0,-1253,3762.0,5983,True,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Hispanic (any race),255498,253692.0,1806,0.0,559,False,False
38300,"Pittsburgh, PA",some other race alone,23897,23870.0,27,1690.0,2180,True,True
38300,"Pittsburgh, PA",two or more races,125189,124852.0,337,3367.0,4433,True,True
38300,"Pittsburgh, PA",white alone,2033684,2032519.0,1165,1861.0,2952,True,True
38300,"Pittsburgh, PA",native hawaiian and other pacific islander alone,481,468.0,13,128.0,275,True,True
38300,"Pittsburgh, PA",asian alone,64704,64646.0,58,1116.0,1504,True,True
38300,"Pittsburgh, PA",american indian and alaska native alone,2341,2238.0,103,390.0,461,True,True
38300,"Pittsburgh, PA",black or african american alone,188775,191347.0,-2572,2332.0,3185,False,True
38300,"Pittsburgh, PA",Hispanic (any race),59054,58966.0,88,0.0,489,False,True
12420,"Austin-Round Rock-San Marcos, TX",some other race alone,181931,187274.0,-5343,7253.0,8202,True,True
12420,"Austin-Round Rock-San Marcos, TX",two or more races,483795,490068.0,-6273,8738.0,8848,True,True
12420,"Austin-Round Rock-San Marcos, TX",white alone,1384149,1373981.0,10168,7092.0,7294,False,True
12420,"Austin-Round Rock-San Marcos, TX",native hawaiian and other pacific islander alone,2201,2090.0,111,428.0,485,True,True
12420,"Austin-Round Rock-San Marcos, TX",asian alone,180713,180792.0,-79,2225.0,2658,True,True
12420,"Austin-Round Rock-San Marcos, TX",american indian and alaska native alone,17780,17373.0,407,2096.0,2573,True,True
12420,"Austin-Round Rock-San Marcos, TX",black or african american alone,175845,175014.0,831,3068.0,2738,True,True
12420,"Austin-Round Rock-San Marcos, TX",Hispanic (any race),772839,781183.0,-8344,0.0,1565,False,False
41940,"San Jose-Sunnyvale-Santa Clara, CA",some other race alone,228620,221039.0,7581,4959.0,6598,False,True
41940,"San Jose-Sunnyvale-Santa Clara, CA",two or more races,311363,312527.0,-1164,5889.0,7135,True,True
