cbsa,metro,median_gross_rent,moe
35620,"New York-Newark-Jersey City, NY-NJ",1830.0,5.0
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2027.0,11.0
12060,"Atlanta-Sandy Springs-Roswell, GA",1672.0,7.0
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1440.0,9.0
38300,"Pittsburgh, PA",1053.0,9.0
12420,"Austin-Round Rock-San Marcos, TX",1726.0,11.0
41940,"San Jose-Sunnyvale-Santa Clara, CA",2840.0,19.0
39340,"Provo-Orem-Lehi, UT",1534.0,23.0
28660,"Killeen-Temple, TX",1217.0,18.0
11460,"Ann Arbor, MI",1463.0,21.0
