cbsa,metro,sex,band,pums_est,published,gap,pub_moe,pums_moe,pass_pub_moe,pass_combined_moe
35620,"New York-Newark-Jersey City, NY-NJ",Male,18-24,821119,821062.0,57,5187,2562,True,True
35620,"New York-Newark-Jersey City, NY-NJ",Male,25-29,681186,682920.0,-1734,333,2220,False,True
35620,"New York-Newark-Jersey City, NY-NJ",Male,30-34,725890,727005.0,-1115,343,2271,False,True
35620,"New York-Newark-Jersey City, NY-NJ",Male,35-39,683028,683398.0,-370,5842,5590,True,True
35620,"New York-Newark-Jersey City, NY-NJ",Male,40-44,640244,638675.0,1569,5914,5375,True,True
35620,"New York-Newark-Jersey City, NY-NJ",Male,45-49,603109,602386.0,723,330,2029,False,True
35620,"New York-Newark-Jersey City, NY-NJ",Male,50-54,630452,631925.0,-1473,291,2007,False,True
35620,"New York-Newark-Jersey City, NY-NJ",Male,55-59,640943,642433.0,-1490,5272,5244,True,True
35620,"New York-Newark-Jersey City, NY-NJ",Male,60-64,612708,612370.0,338,6144,5198,True,True
35620,"New York-Newark-Jersey City, NY-NJ",Male,65-69,494108,499390.0,-5282,5758,5595,True,True
35620,"New York-Newark-Jersey City, NY-NJ",Female,18-24,820556,820027.0,529,5330,2520,True,True
35620,"New York-Newark-Jersey City, NY-NJ",Female,25-29,708060,707671.0,389,399,1822,True,True
35620,"New York-Newark-Jersey City, NY-NJ",Female,30-34,726101,726198.0,-97,287,1568,True,True
35620,"New York-Newark-Jersey City, NY-NJ",Female,35-39,679433,680762.0,-1329,4758,5895,True,True
35620,"New York-Newark-Jersey City, NY-NJ",Female,40-44,649240,648429.0,811,4731,5940,True,True
35620,"New York-Newark-Jersey City, NY-NJ",Female,45-49,622048,622523.0,-475,314,1522,False,True
35620,"New York-Newark-Jersey City, NY-NJ",Female,50-54,658000,657731.0,269,280,1527,True,True
35620,"New York-Newark-Jersey City, NY-NJ",Female,55-59,679920,681448.0,-1528,5880,6059,True,True
35620,"New York-Newark-Jersey City, NY-NJ",Female,60-64,655196,654046.0,1150,6541,5889,True,True
35620,"New York-Newark-Jersey City, NY-NJ",Female,65-69,566351,568381.0,-2030,5719,5040,True,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Male,18-24,269269,268620.0,649,3093,1418,True,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Male,25-29,213816,213308.0,508,375,1060,False,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Male,30-34,230629,230119.0,510,481,805,False,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Male,35-39,233565,233410.0,155,3196,3062,True,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Male,40-44,230415,230501.0,-86,3225,3313,True,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Male,45-49,206437,207448.0,-1011,479,790,False,False
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Male,50-54,209386,209464.0,-78,526,836,True,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Male,55-59,195475,197923.0,-2448,2585,2817,True,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Male,60-64,183867,182319.0,1548,2732,2963,True,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Male,65-69,138891,139007.0,-116,2488,2012,True,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Female,18-24,266052,266984.0,-932,3051,1355,True,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Female,25-29,221572,221224.0,348,414,660,True,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Female,30-34,233216,233158.0,58,413,668,True,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Female,35-39,241659,240682.0,977,2899,2936,True,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Female,40-44,229101,229539.0,-438,2816,3038,True,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Female,45-49,210283,210439.0,-156,453,717,True,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Female,50-54,211402,211701.0,-299,394,637,True,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Female,55-59,204241,204833.0,-592,2438,3135,True,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Female,60-64,190068,189824.0,244,2886,3145,True,True
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Female,65-69,160241,160580.0,-339,2367,2340,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",Male,18-24,286377,286785.0,-408,3565,1485,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",Male,25-29,210305,211788.0,-1483,387,1090,False,False
12060,"Atlanta-Sandy Springs-Roswell, GA",Male,30-34,218524,219229.0,-705,570,1000,False,True
12060,"Atlanta-Sandy Springs-Roswell, GA",Male,35-39,214777,214827.0,-50,2745,4010,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",Male,40-44,206597,206842.0,-245,2762,4101,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",Male,45-49,201108,201028.0,80,528,1047,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",Male,50-54,210061,210166.0,-105,430,812,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",Male,55-59,191099,191109.0,-10,2970,2941,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",Male,60-64,177335,177145.0,190,3271,2896,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",Male,65-69,133359,132889.0,470,2648,1998,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",Female,18-24,283370,283034.0,336,3536,1696,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",Female,25-29,220477,220977.0,-500,507,722,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",Female,30-34,233927,233963.0,-36,403,832,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",Female,35-39,227085,229189.0,-2104,3568,3901,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",Female,40-44,225263,224013.0,1250,3529,3975,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",Female,45-49,219655,219116.0,539,457,1033,False,True
12060,"Atlanta-Sandy Springs-Roswell, GA",Female,50-54,220161,220388.0,-227,331,938,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",Female,55-59,202802,204117.0,-1315,2635,3105,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",Female,60-64,190784,189210.0,1574,3172,3192,True,True
12060,"Atlanta-Sandy Springs-Roswell, GA",Female,65-69,155383,156752.0,-1369,3238,2313,True,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Male,18-24,157935,155480.0,2455,2173,1716,False,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Male,25-29,125699,127001.0,-1302,330,1371,False,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Male,30-34,136251,136604.0,-353,408,1728,True,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Male,35-39,139662,139763.0,-101,2350,3802,True,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Male,40-44,131396,129513.0,1883,2296,3229,True,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Male,45-49,110956,111948.0,-992,280,1649,False,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Male,50-54,114597,115655.0,-1058,314,1573,False,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Male,55-59,115238,116417.0,-1179,1945,2847,True,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Male,60-64,117716,118208.0,-492,2044,2693,True,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Male,65-69,91115,91633.0,-518,1615,2265,True,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Female,18-24,151659,151624.0,35,2222,1935,True,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Female,25-29,125556,124165.0,1391,222,1769,False,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Female,30-34,129856,131076.0,-1220,316,1630,False,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Female,35-39,134794,135284.0,-490,2271,3839,True,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Female,40-44,127870,126548.0,1322,2219,3131,True,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Female,45-49,107969,108402.0,-433,290,1681,False,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Female,50-54,113195,112627.0,568,289,1541,False,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Female,55-59,114733,115509.0,-776,1808,2801,True,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Female,60-64,120882,120282.0,600,1986,2635,True,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Female,65-69,99700,100537.0,-837,1836,2211,True,True
38300,"Pittsburgh, PA",Male,18-24,100450,99746.0,704,1650,1194,True,True
