slug,cbsa,cbsa_title,n_counties,states,alloc_pop,n_pumas,purity
new_york,35620,"New York-Newark-Jersey City, NY-NJ",22,34+36,19720958.0,147,0.9950252416743649
washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",23,11+24+51+54,6318377.0,49,0.9368491307182208
atlanta,12060,"Atlanta-Sandy Springs-Roswell, GA",29,13,6256377.0,48,0.9410422357859829
minneapolis,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15,27+55,3713668.0,34,0.9518179869606007
pittsburgh,38300,"Pittsburgh, PA",8,42,2439940.0,19,0.9435346770822234
austin,12420,"Austin-Round Rock-San Marcos, TX",5,48,2426592.0,16,0.9360209709749311
san_jose,41940,"San Jose-Sunnyvale-Santa Clara, CA",2,06,1969337.0,16,0.9658311401248237
provo,39340,"Provo-Orem-Lehi, UT",2,49,717986.0,5,0.9824704102865516
killeen,28660,"Killeen-Temple, TX",3,48,494360.0,3,0.7826219758880169
ann_arbor,11460,"Ann Arbor, MI",1,26,369822.0,3,1.0
