cbsa,metro_name,persona,pool,pool_moe,cv,n_unweighted,rivals,ratio,tier,allocation_purity,gq_share
35620,"New York-Newark-Jersey City, NY-NJ",A,190165,3922,1.3,7520,923596,0.206,ranked,0.995,0.0189
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",A,73322,2817,2.3,3313,321202,0.228,ranked,0.9368,0.0153
12060,"Atlanta-Sandy Springs-Roswell, GA",A,35206,1932,3.3,1409,250050,0.141,ranked,0.941,0.01
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",A,24385,2051,5.1,689,160263,0.152,ranked,0.9518,0.0154
38300,"Pittsburgh, PA",A,15075,1354,5.5,632,92463,0.163,ranked,0.9436,0.025
12420,"Austin-Round Rock-San Marcos, TX",A,30394,2265,4.5,1068,137986,0.22,ranked,0.936,0.0166
41940,"San Jose-Sunnyvale-Santa Clara, CA",A,30569,1475,2.9,1375,108360,0.282,ranked,0.9658,0.0218
39340,"Provo-Orem-Lehi, UT",A,1721,420,14.8,85,25291,0.068,suppressed,0.9824,0.0293
28660,"Killeen-Temple, TX",A,675,231,20.8,32,11565,0.058,suppressed,0.7825,0.0339
11460,"Ann Arbor, MI",A,2896,477,10.0,142,17867,0.162,ranked,1.0,0.0527
35620,"New York-Newark-Jersey City, NY-NJ",B,841131,6693,0.5,32858,1509561,0.557,ranked,0.995,0.0189
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",B,246265,3419,0.8,10688,476628,0.517,ranked,0.9368,0.0153
12060,"Atlanta-Sandy Springs-Roswell, GA",B,231185,3838,1.0,7833,461865,0.501,ranked,0.941,0.01
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",B,125046,3381,1.6,3813,278078,0.45,ranked,0.9518,0.0154
38300,"Pittsburgh, PA",B,76232,2020,1.6,3425,170666,0.447,ranked,0.9436,0.025
12420,"Austin-Round Rock-San Marcos, TX",B,98389,2606,1.6,3312,223399,0.44,ranked,0.936,0.0166
41940,"San Jose-Sunnyvale-Santa Clara, CA",B,72081,1854,1.6,3327,180050,0.4,ranked,0.9658,0.0218
39340,"Provo-Orem-Lehi, UT",B,12622,1008,4.9,763,71382,0.177,ranked,0.9824,0.0293
28660,"Killeen-Temple, TX",B,12194,914,4.6,503,42214,0.289,ranked,0.7825,0.0339
11460,"Ann Arbor, MI",B,13430,776,3.5,583,33029,0.407,ranked,1.0,0.0527
35620,"New York-Newark-Jersey City, NY-NJ",C,106615,3220,1.8,4239,828393,0.129,ranked,0.995,0.0189
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",C,52109,2325,2.7,2392,330575,0.158,ranked,0.9368,0.0153
12060,"Atlanta-Sandy Springs-Roswell, GA",C,24091,1829,4.6,969,250800,0.096,ranked,0.941,0.01
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",C,14658,1448,6.0,439,160118,0.092,ranked,0.9518,0.0154
38300,"Pittsburgh, PA",C,8130,1138,8.5,338,89369,0.091,ranked,0.9436,0.025
12420,"Austin-Round Rock-San Marcos, TX",C,19403,2059,6.5,679,128660,0.151,ranked,0.936,0.0166
41940,"San Jose-Sunnyvale-Santa Clara, CA",C,17018,1316,4.7,825,97324,0.175,ranked,0.9658,0.0218
39340,"Provo-Orem-Lehi, UT",C,1292,388,18.3,68,21446,0.06,suppressed,0.9824,0.0293
28660,"Killeen-Temple, TX",C,609,227,22.6,33,11615,0.052,suppressed,0.7825,0.0339
11460,"Ann Arbor, MI",C,1579,366,14.1,79,16362,0.097,suppressed,1.0,0.0527
35620,"New York-Newark-Jersey City, NY-NJ",D,376941,6634,1.1,15015,1411943,0.267,ranked,0.995,0.0189
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",D,150451,3079,1.2,6628,495822,0.303,ranked,0.9368,0.0153
