cbsa,sex,bucket,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
10180,Male,0,12927.531499956875,12999,-71.46850004312546,963.5050596649713,842.1462489573569,True,True
10420,Male,0,52158.0,52613,-455.0,1932.8173736801932,2047.6560969963316,True,True
10500,Male,0,8815.224343505044,8891,-75.77565649495591,800.0687470461522,716.251821221021,True,True
10540,Male,0,9850.586341783082,7962,1888.5863417830824,780.4876680640124,777.038094916714,False,False
10580,Male,0,58274.83531695504,57532,742.8353169550392,1999.9917499829844,2159.1447911884497,True,True
10740,Male,0,66251.94733912857,67077,-825.0526608714281,2546.2543078019526,2231.80634196863,True,True
10780,Male,0,10269.196641519984,9834,435.19664151998404,911.9857455026366,792.4208156839389,True,True
10900,Male,0,60404.0,60942,-538.0,2053.9532613961787,2595.3211971656806,True,True
11020,Male,0,7946.534752494701,8092,-145.46524750529898,654.2423098516329,572.2844463967339,True,True
11100,Male,0,17834.173308007543,17442,392.1733080075428,1192.7187430404538,1159.4881846945768,True,True
11180,Male,0,18050.0,18353,-303.0,1150.9300586916652,1254.6392461301377,True,True
11200,Male,0,15809.752378183703,17732,-1922.2476218162974,1090.1376059929314,1010.7229717241378,False,False
11260,Male,0,25861.353585840756,26262,-400.64641415924416,1445.1055324785107,2092.8052067224708,True,True
11460,Male,0,34963.0,34548,415.0,1562.1722056162694,1663.4106278141305,True,True
11500,Male,0,7976.0,8317,-341.0,872.1972254026035,894.4591257528206,True,True
11540,Male,0,15132.57659613108,14738,394.5765961310808,834.9179600415839,1183.05505168289,True,True
11700,Male,0,31742.4243745727,31131,611.4243745726999,1861.0166576363576,1936.8882803198912,True,True
12020,Male,0,19347.125049021073,20288,-940.8749509789268,1243.8737878096797,1216.825725410768,True,True
12060,Male,0,398962.51184969954,400104,-1141.488150300458,6379.719821434167,6137.883493165437,True,True
12100,Male,0,26336.0,26217,119.0,1509.7920386596295,1456.4201917505643,True,True
12220,Male,0,17157.05721104754,16334,823.0572110475405,1162.9041233050987,1136.932917982305,True,True
12260,Male,0,42430.064968991675,42322,108.06496899167541,2021.0155862832924,1967.3470806238222,True,True
12420,Male,0,149041.57398582262,149899,-857.4260141773848,3916.1753025113676,4122.170388499186,True,True
12540,Male,0,61249.0,62748,-1499.0,2285.8370458105715,2394.511719032452,True,True
12580,Male,0,153189.12754893868,154905,-1715.8724510613247,3517.9252408202196,3811.8589301869442,True,True
12620,Male,0,12871.714834121358,12602,269.71483412135785,890.4656085442042,1091.707894749059,True,True
12700,Male,0,15767.80825564091,16524,-756.1917443590901,1158.1891037304745,1025.6841212519391,True,True
12940,Male,0,55607.86029164019,55694,-86.13970835981308,2424.2965990158878,2341.7836537316643,True,True
12980,Male,0,9380.802107326082,9651,-270.1978926739175,692.8874367456809,779.5746923245578,True,True
13020,Male,0,7378.962985313083,7223,155.96298531308275,623.1957958779889,512.27168626783,True,True
13140,Male,0,26627.0,24711,1916.0,1523.488759394043,1592.928723463875,False,True
13220,Male,0,6927.0,6763,164.0,713.6469715482579,774.2040939369606,True,True
13380,Male,0,15982.0,16271,-289.0,1136.7783425100954,1158.4070260917576,True,True
13460,Male,0,15291.0,15988,-697.0,1104.106426029665,1221.7938367677873,True,True
13740,Male,0,13258.965243725028,12878,380.9652437250279,992.9753269845128,937.8527739803875,True,True
13780,Male,0,19589.15009926073,19253,336.1500992607289,1152.188786614416,1027.923624473855,True,True
13820,Male,0,70686.60489585286,71028,-341.3951041471446,2270.3473302558796,2557.8935835718835,True,True
13900,Male,0,8988.289432079277,8732,256.2894320792766,802.9850559007932,925.3575203814347,True,True
13980,Male,0,17933.0,18024,-91.0,1072.7171108917764,1226.0931661149368,True,True
14010,Male,0,12188.0,12586,-398.0,911.8256412275321,972.9862125147251,True,True
14020,Male,0,19685.01864383019,20127,-441.98135616981017,1271.3654077408273,1363.359741666281,True,True
14260,Male,0,55413.43240979026,55443,-29.567590209742775,2173.072939410916,1972.0952202431702,True,True
14460,Male,0,301379.1562058627,301962,-582.8437941372977,4953.582239147746,4957.90533686607,True,True
14500,Male,0,27917.848160980568,28094,-176.15183901943237,1400.42279330208,1198.0805410777614,True,True
14540,Male,0,15976.94274063106,15668,308.9427406310606,1211.7899983082877,948.2329869275665,True,True
14580,Male,0,11480.0,11444,36.0,932.6944837405226,1015.4914234497502,True,True
14740,Male,0,14459.0,14426,33.0,926.8958949094553,985.8988807834199,True,True
14860,Male,0,62115.0,62741,-626.0,2285.811672032497,2316.255304058417,True,True
15180,Male,0,34714.0,35279,-565.0,1741.4580098296944,1669.0545252286547,True,True
15260,Male,0,7073.476417193045,7438,-364.52358280695535,800.7496487667041,508.713800163789,True,True
15380,Male,0,77702.0,78562,-860.0,2329.979828238863,2578.9920256495075,True,True
15500,Male,0,11428.0,11474,-46.0,963.015056995476,1015.4694390711618,True,True
15540,Male,0,17949.69309656653,18682,-732.3069034334694,1117.7374468094017,1103.9811423413257,True,True
15940,Male,0,26027.0,26085,-58.0,1289.4750870024593,1248.875614632018,True,True
15980,Male,0,47144.0,48356,-1212.0,2110.3807713301408,2052.5737906957816,True,True
16020,Male,0,6977.661117940635,7667,-689.3388820593646,739.6877719686868,490.3939977034494,True,True
16180,Male,0,4131.055013230274,4256,-124.9449867697258,534.3388438060629,308.5962121530609,True,True
16220,Male,0,7020.409425986766,6068,952.4094259867661,615.8806702600756,508.78904368490674,False,False
16300,Male,0,17617.47022183649,17544,73.47022183649096,1036.020270071971,1260.8523099717202,True,True
16540,Male,0,9403.170532597633,9071,332.1705325976327,851.9143149401822,805.3222294824128,True,True
16580,Male,0,20540.12159078237,21123,-582.8784092176284,1206.1218843881409,1398.1621028788318,True,True
16620,Male,0,11899.789679398322,11960,-60.21032060167818,945.7044993019754,1012.0160107859142,True,True
16700,Male,0,48231.0,46920,1311.0,2018.433798765766,2190.1213946194853,True,True
16740,Male,0,165870.67455595153,164358,1512.6745559515257,3796.9554909163735,3477.604994430703,True,True
16820,Male,0,15120.29977148004,14743,377.29977148004036,929.9252658144094,910.6377402578768,True,True
16860,Male,0,35690.06696982175,37014,-1323.9330301782466,1676.173022095273,1660.6260201620275,True,True
16940,Male,0,7046.0,5915,1131.0,628.6724107196052,641.8848177593859,False,False
16980,Male,0,569882.9094109787,569895,-12.090589021332562,7030.021692711908,7437.993673914249,True,True
17020,Male,0,18192.0,17922,270.0,1225.392998184664,1134.3226292594184,True,True
17140,Male,0,147891.29948276177,147276,615.2994827617658,3500.8431841486417,3451.75637569013,True,True
17300,Male,0,20223.64418753812,19129,1094.6441875381206,1264.7379175149292,1254.5364499503225,True,True
17410,Male,0,143792.0,145707,-1915.0,3129.3408251579117,3411.8109799936165,True,True
17420,Male,0,8598.0,8948,-350.0,831.4860191247956,932.4266452414636,True,True
17660,Male,0,10638.92563119384,11114,-475.0743688061593,939.6275858019495,1017.148173609269,True,True
17780,Male,0,30446.229023687378,30550,-103.77097631262222,1612.26021472962,1471.6681675601837,True,True
17820,Male,0,50652.0,50275,377.0,1995.8925321770207,2262.7095788481674,True,True
17860,Male,0,19620.06087822777,19429,191.06087822777044,1195.6441778388753,1258.4897168574232,True,True
17900,Male,0,63083.78452561289,63121,-37.21547438710695,2328.2547111516815,2320.2447618281035,True,True
17980,Male,0,20819.031326641907,21095,-275.96867335809293,1470.1251647393838,1117.589242724099,True,True
18020,Male,0,5207.978556113051,5182,25.978556113051127,586.9165187656589,428.4319210870007,True,True
18140,Male,0,143753.89447342604,144065,-311.105526573956,3283.162499785839,3751.2799103224993,True,True
18580,Male,0,28899.201904902045,29759,-859.7980950979545,1617.1716049943493,1587.938253175414,True,True
18700,Male,0,9648.413658216914,11432,-1783.586341783086,861.0778129762722,762.5707934584822,False,False
18880,Male,0,19416.722466452753,19085,331.722466452753,1240.895241347955,1232.7858109851368,True,True
19100,Male,0,479542.2642803331,484656,-5113.7357196668745,6889.313681347367,7636.266880321773,True,True
19140,Male,0,10158.539055005871,9497,661.539055005871,828.4425146019487,697.7607566128785,True,True
19300,Male,0,13853.0,14407,-554.0,1355.209577888232,1502.1813590409115,True,True
19340,Male,0,26016.13721450798,25976,40.13721450798039,1204.7360706810434,1376.2787403081772,True,True
19430,Male,0,57116.0,56349,767.0,1996.6223979510999,2369.383903034711,True,True
19460,Male,0,9587.0,9723,-136.0,864.7814752872542,803.6822545555551,True,True
19500,Male,0,6104.8486954290875,5931,173.84869542908746,615.4534913378915,598.38124316945,True,True
19660,Male,0,41681.0,41928,-247.0,1940.7485669194762,1786.3458633205667,True,True
19740,Male,0,177960.77986127845,175980,1980.7798612784536,3526.036585176053,3978.8996378755746,True,True
19780,Male,0,44951.34601439739,45977,-1025.6539856026066,1786.3591464204503,2295.041204663142,True,True
19820,Male,0,277636.15004727355,278633,-996.8499527264503,4470.152570103172,5247.9657621768365,True,True
20020,Male,0,9318.0,9708,-390.0,579.726659728531,600.1415649505124,True,True
20100,Male,0,12661.0,13307,-646.0,1121.4374703923531,1185.7221162439369,True,True
20220,Male,0,7493.991435802022,7238,255.99143580202235,582.9451089082058,591.0646874204202,True,True
20260,Male,0,22496.181162480018,22427,69.18116248001752,1017.0629282399393,1176.1795333646464,True,True
20500,Male,0,44461.24850504866,43705,756.2485050486575,2011.3353773053364,1814.9610682559683,True,True
20580,Male,0,3639.846160524782,3921,-281.15383947521786,657.7089021748147,379.38907590916017,True,True
20740,Male,0,15414.9461721186,13955,1459.9461721185999,957.2470945372464,1030.620964515749,False,False
20940,Male,0,12597.0,12364,233.0,1227.7919204816426,1147.5310010621718,True,True
21060,Male,0,8348.5491906025,7655,693.5491906025,720.395724584759,758.8875244738495,True,True
21140,Male,0,12297.0,12239,58.0,1010.0816798655443,992.8345680525028,True,True
21300,Male,0,5480.229591819396,5617,-136.77040818060414,536.7448183261763,371.9365123727578,True,True
21340,Male,0,73345.53002249222,74759,-1413.4699775077752,2813.3021522758627,2716.469150176654,True,True
21420,Male,0,4439.609007884439,4551,-111.39099211556095,494.8858454229622,363.13177173569886,True,True
21500,Male,0,19707.0,20592,-885.0,1080.1092537331583,1355.715999024593,True,True
21660,Male,0,31913.0,32575,-662.0,1577.027266726863,1413.6728410633064,True,True
21780,Male,0,17769.810067563914,18134,-364.18993243608566,1006.4238669665978,1196.0281025194333,True,True
21820,Male,0,5897.996279184894,5989,-91.00372081510613,822.8116430872864,790.5754124668641,True,True
22020,Male,0,19869.368684157125,20481,-611.6313158428748,1164.0657197942048,1350.278728282577,True,True
22140,Male,0,8256.903197536716,8430,-173.0968024632839,748.4617558699977,763.5758012621753,True,True
22180,Male,0,23515.444611780684,23735,-219.55538821931623,1154.166365824269,1061.8452135154482,True,True
22220,Male,0,35583.67989649311,35839,-255.32010350689234,1651.080858104775,1639.712743472793,True,True
22380,Male,0,13422.0,12720,702.0,992.8776359652785,937.4683109057607,True,True
22420,Male,0,27257.5994747883,27401,-143.40052521169855,1347.7373631386793,1371.4567054174586,True,True
22500,Male,0,13576.089557554544,13532,44.08955755454372,1142.500328227524,962.9191016869318,True,True
22520,Male,0,10079.030500972563,10130,-50.96949902743654,983.6574607046906,930.9824052294416,True,True
22540,Male,0,6595.42340386892,6932,-336.5765961310799,586.7035026314398,708.7466128765474,True,True
22660,Male,0,29547.0,29464,83.0,1429.937760883319,1525.3698802401175,True,True
22900,Male,0,15253.577502561444,14943,310.5775025614439,959.6598355667492,929.0583051762643,True,True
23060,Male,0,27442.34565289777,28464,-1021.6543471022305,1326.6932576899605,1356.9966601571416,True,True
23420,Male,0,83726.0,83404,322.0,2645.375776709237,2688.595191329712,True,True
23460,Male,0,6944.383557723856,7283,-338.61644227614397,772.502427180653,700.596447418958,True,True
23540,Male,0,29290.279615793217,29002,288.2796157932171,1684.1870442441955,1353.7697174300688,True,True
23580,Male,0,14719.0,15153,-434.0,1133.651180919422,1042.82822038855,True,True
23900,Male,0,8261.829467402365,7747,514.8294674023655,577.6028047023318,566.6296808881679,True,True
24020,Male,0,7982.0,7579,403.0,582.5504270018176,632.6098758012319,True,True
24140,Male,0,9155.0,9266,-111.0,830.1126429587734,836.5591661031814,True,True
24220,Male,0,9612.937551959716,10145,-532.0624480402839,835.9617216117016,624.5403929795061,True,True
24260,Male,0,5760.759887475833,5654,106.75988747583324,626.601947012615,629.1074890709482,True,True
24300,Male,0,10801.295380940295,10574,227.29538094029522,835.1526806518674,933.372732144578,True,True
24340,Male,0,82063.5818973211,81409,654.581897321099,2423.8566376747617,3017.0232592720913,True,True
24420,Male,0,5732.27952756355,6334,-601.7204724364501,706.1203863364943,448.0343982524855,True,True
24500,Male,0,6358.830631691642,5987,371.83063169164234,539.7684688827238,553.4242738745422,True,True
