cbsa,sex,edu4,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
10180,Male,some_college,18175.939492937345,17517,658.9394929373448,1147.666763481456,853.433766949628,True,True
10420,Male,some_college,64045.0,63402,643.0,1947.2475446126514,2484.2157186517134,True,True
10500,Male,some_college,12082.030959118258,12235,-152.96904088174233,873.5588131316632,750.5260976348062,True,True
10540,Male,some_college,17076.09028535384,17773,-696.9097146461609,968.8286742247052,874.197749258339,True,True
10580,Male,some_college,82016.00011028729,83955,-1938.999889712708,2120.628680368159,2138.749253347968,True,True
10740,Male,some_college,97293.34615641681,98764,-1470.6538435831899,2847.3464840092784,2709.0751806383582,True,True
10780,Male,some_college,12859.927157959122,11758,1101.9271579591223,909.8054737140242,757.3644661252767,False,True
10900,Male,some_college,73686.0,73887,-201.0,2199.318758161263,2597.2555920923533,True,True
11020,Male,some_college,9227.652659960198,9374,-146.34734003980157,657.4815586767435,564.8402468254807,True,True
11100,Male,some_college,27259.77973030078,27385,-125.22026969922081,1352.0436383489994,1313.3183837117037,True,True
11180,Male,some_college,9995.0,10123,-128.0,725.9090852165992,944.6148773528025,True,True
11200,Male,some_college,11264.956812255115,10814,450.95681225511544,777.5538566556017,715.1748291923286,True,True
11260,Male,some_college,46871.05825596821,44899,1972.058255968208,1634.8831762544992,2244.7100489320733,False,True
11460,Male,some_college,27656.0,27035,621.0,1246.1047307509912,1515.4967718123817,True,True
11500,Male,some_college,11567.0,11140,427.0,852.9443123674605,936.8772530686717,True,True
11540,Male,some_college,27592.71247025261,26627,965.7124702526089,1023.0742886027388,1237.6088855260257,True,True
11700,Male,some_college,38739.63792598816,38075,664.6379259881578,1825.4035170339735,1600.5310932108828,True,True
12020,Male,some_college,14592.408004025116,15247,-654.5919959748844,998.1913644186669,843.1536751543264,True,True
12060,Male,some_college,495996.11478573544,496813,-816.8852142645628,6910.028147554827,7908.294255036157,True,True
12100,Male,some_college,31563.0,31432,131.0,1487.6951972766465,1503.0169298277217,True,True
12220,Male,some_college,15943.805329621071,16121,-177.194670378929,1185.475853824109,991.0904641773508,True,True
12260,Male,some_college,59156.805158504125,58889,267.80515850412485,2348.110091115832,2063.3688975453474,True,True
12420,Male,some_college,205943.8819942552,205768,175.88199425520725,4773.241037282739,4739.429162601826,True,True
12540,Male,some_college,80032.0,81225,-1193.0,2337.610959933239,2747.041078155048,True,True
12580,Male,some_college,223940.34847453277,225545,-1604.6515254672267,4035.6571955506824,4448.0385075852755,True,True
12620,Male,some_college,16818.891823851565,17244,-425.1081761484347,1042.7924050356332,983.9011735860977,True,True
12700,Male,some_college,22100.56854891357,21690,410.5685489135685,1274.8670518920787,1233.2222928044712,True,True
12940,Male,some_college,73021.16447231191,72128,893.1644723119098,2484.5943330853834,2168.9682591095243,True,True
12980,Male,some_college,14549.423490728726,13794,755.4234907287264,790.2645126791409,874.4984220832264,True,True
13020,Male,some_college,12066.949530929578,13256,-1189.050469070422,842.0985690523408,640.5527704244126,False,False
13140,Male,some_college,41372.0,41761,-389.0,1790.114242164449,1606.3736645722408,True,True
13220,Male,some_college,9528.0,8732,796.0,804.154214065934,885.1979472828381,True,True
13380,Male,some_college,25711.0,25220,491.0,1352.0465968301537,1477.039811465825,True,True
13460,Male,some_college,29356.0,29179,177.0,1358.5234631761057,1463.7435635763698,True,True
13740,Male,some_college,21390.89027389539,20325,1065.8902738953911,1104.5293115169013,1132.282926321824,True,True
13780,Male,some_college,22996.156146710655,23293,-296.84385328934513,1091.9816848280927,929.6778957469193,True,True
13820,Male,some_college,102467.82348559171,103708,-1240.1765144082892,2646.524702321896,3027.500088854319,True,True
13900,Male,some_college,16950.69020613092,16480,470.69020613091925,1093.6631108344104,1355.875955242054,True,True
13980,Male,some_college,14701.0,14705,-4.0,967.662647827227,940.5490155774712,True,True
14010,Male,some_college,13323.0,13179,144.0,738.5099863915179,880.4199211938585,True,True
14020,Male,some_college,10968.954045447805,11890,-921.0459545521953,866.942904694421,840.4564303455761,False,True
14260,Male,some_college,81915.1133995676,82537,-621.8866004323936,2499.4817462826168,2489.68805978018,True,True
14460,Male,some_college,320918.3335684155,316784,4134.333568415488,4748.2427275782775,4842.992539975886,True,True
14500,Male,some_college,23722.628645065175,23401,321.6286450651751,1186.7906302292752,1000.5579815908704,True,True
14540,Male,some_college,15342.793329966895,15797,-454.2066700331052,987.2243919190814,1019.7807886905018,True,True
14580,Male,some_college,12049.0,10800,1249.0,848.3283562394929,1118.2816592975357,False,True
14740,Male,some_college,36255.0,35861,394.0,1349.086357502736,1332.3515502209807,True,True
14860,Male,some_college,59588.0,59322,266.0,2343.040972753144,2137.3468287917735,True,True
15180,Male,some_college,31032.0,30876,156.0,1597.6726823727067,1622.5396021896509,True,True
15260,Male,some_college,11177.865107103718,10756,421.8651071037184,906.7877370145673,654.3228403076038,True,True
15380,Male,some_college,115471.0,115418,53.0,2777.6202044196034,3111.0966550579074,True,True
15500,Male,some_college,17200.0,17171,29.0,1023.2487478614377,933.1984379855927,True,True
15540,Male,some_college,19132.201417829274,17936,1196.2014178292739,1041.8781118729771,1155.4417527937646,False,True
15940,Male,some_college,40647.0,40574,73.0,1725.5092002072895,1637.5896509103707,True,True
15980,Male,some_college,82746.0,82696,50.0,2480.360659259052,2544.6238293579368,True,True
16020,Male,some_college,7721.059036287495,8812,-1090.9409637125054,740.3114209574238,584.3133523751334,False,False
16180,Male,some_college,9254.36107446635,8024,1230.3610744663492,663.2118816788493,496.8640226054851,False,False
16220,Male,some_college,8647.263754451447,9790,-1142.7362455485527,816.9075835123579,424.74583859214937,False,False
16300,Male,some_college,30795.833234381014,30503,292.83323438101434,1279.6538594479368,1421.8095063172639,True,True
16540,Male,some_college,11865.90481334781,11831,34.90481334780998,917.7112835745238,946.8802186905262,True,True
16580,Male,some_college,17635.779975397425,18432,-796.220024602575,1077.8450723550209,989.1313069464766,True,True
16620,Male,some_college,17375.907458972146,17536,-160.09254102785417,987.2051458536873,1047.1871404069745,True,True
16700,Male,some_college,77887.0,79254,-1367.0,2708.9518268142015,2795.319777937535,True,True
16740,Male,some_college,236400.14653668774,238103,-1702.8534633122617,4256.932463640926,4218.883396703314,True,True
16820,Male,some_college,14498.16491070505,14967,-468.8350892949493,878.3564196839459,976.5175907196682,True,True
16860,Male,some_college,55372.662144786744,56198,-825.3378552132563,1948.0631406604869,1781.9724016440834,True,True
16940,Male,some_college,13596.0,13341,255.0,1007.4710913966713,1136.8429451478776,True,True
16980,Male,some_college,770184.2400042231,770740,-555.7599957769271,7298.220193992505,7290.086560455966,True,True
17020,Male,some_college,23969.0,23423,546.0,1105.779815333957,1101.4813624785033,True,True
17140,Male,some_college,193079.79374835276,192052,1027.793748352764,3627.499552033053,4234.894221114309,True,True
17300,Male,some_college,35559.16421690526,36103,-543.8357830947425,1556.473257078322,1738.0264414781418,True,True
17410,Male,some_college,202778.0,202939,-161.0,3616.971937961366,3353.329937882269,True,True
17420,Male,some_college,13556.0,14008,-452.0,995.4928427668377,936.1499020088877,True,True
17660,Male,some_college,23332.736859692923,23009,323.73685969292274,1238.4219797791059,1293.6563590018197,True,True
17780,Male,some_college,17979.822411514033,17347,632.8224115140329,1065.8301928543776,1033.3234061932553,True,True
17820,Male,some_college,85061.0,83883,1178.0,2176.393806276796,2598.496251317048,True,True
17860,Male,some_college,15127.65108688231,14825,302.65108688230976,913.8719822819825,934.1074771890364,True,True
17900,Male,some_college,75221.71742235738,75527,-305.282577642618,2375.8912012127153,2014.782902003468,True,True
17980,Male,some_college,29852.957018077053,31465,-1612.0429819229466,1474.6508061232666,1340.8785004412237,False,True
18020,Male,some_college,6531.291796017028,6878,-346.708203982972,683.8194206075168,572.7434567234146,True,True
18140,Male,some_college,184290.91068496945,182707,1583.9106849694508,3218.9577505770403,3768.975620852296,True,True
18580,Male,some_college,45050.15658930876,46125,-1074.8434106912391,1768.1894694856658,1587.073707919663,True,True
18700,Male,some_college,8668.909714646159,7672,996.909714646159,734.9482975012596,579.9068947370843,False,False
18880,Male,some_college,34592.37515419688,34320,272.37515419688134,1406.6897312485082,1326.3725034860865,True,True
19100,Male,some_college,665579.8003027994,661124,4455.800302799442,7344.337478629369,6946.752086570538,True,True
19140,Male,some_college,11296.842089097114,11401,-104.15791090288621,936.3594395316363,851.3908291066992,True,True
19300,Male,some_college,24604.0,24271,333.0,1406.2215330452027,1329.0482248793685,True,True
19340,Male,some_college,40400.32817103003,40656,-255.6718289699711,1164.7424608041042,1580.3017277562092,True,True
19430,Male,some_college,80050.0,80663,-613.0,2295.2481347340204,2424.5229432454853,True,True
19460,Male,some_college,15375.0,15677,-302.0,971.0787815620316,940.7651306038082,True,True
19500,Male,some_college,9967.32873147402,9793,174.32873147401915,662.2952513796245,649.6206955067643,True,True
19660,Male,some_college,81232.0,80313,919.0,2472.8107489251984,2022.4912414399353,True,True
19740,Male,some_college,262825.61451524973,261415,1410.6145152497338,4300.8830488633375,4187.999341556289,True,True
19780,Male,some_college,65460.43661996131,67911,-2450.563380038693,2125.0414113611996,2466.1616524447018,False,True
19820,Male,some_college,443499.8091985896,443253,246.80919858958805,5436.571805834997,6443.91132772721,True,True
20020,Male,some_college,15505.0,15202,303.0,627.1738196066542,880.127961256913,True,True
20100,Male,some_college,17443.0,16490,953.0,1061.746674117701,1177.712759957304,True,True
20220,Male,some_college,9790.547978387865,9274,516.5479783878654,590.5404304533264,645.3799131207849,True,True
20260,Male,some_college,35065.86765642598,35463,-397.1323435740196,1099.1574045604204,1173.6616865731708,True,True
20500,Male,some_college,42625.72402800266,42782,-156.2759719973401,1816.269528456611,1840.422797398644,True,True
20580,Male,some_college,4594.9280583639,4054,540.9280583639002,621.8890576300568,389.99017347960864,True,True
20740,Male,some_college,19670.56023870249,19600,70.56023870248828,918.050652197361,1083.6001180652827,True,True
20940,Male,some_college,16859.0,16129,730.0,1156.4661689820416,1074.074340969353,True,True
21060,Male,some_college,13715.679150528544,14664,-948.3208494714563,1007.2665982747567,880.1978757369909,True,True
21140,Male,some_college,15000.0,15228,-228.0,1071.2296672516122,1154.7272563082809,True,True
21300,Male,some_college,7742.13805236087,7907,-164.86194763913045,619.0040387590375,408.6453128680348,True,True
21340,Male,some_college,84103.22171176554,85184,-1080.7782882344618,2781.0016181225064,3179.5595194845005,True,True
21420,Male,some_college,5737.563744205102,5226,511.563744205102,569.3478725700132,469.9464836286516,True,True
21500,Male,some_college,22478.0,23217,-739.0,1208.7886498474413,1370.9831572292383,True,True
21660,Male,some_college,45201.0,46390,-1189.0,1698.804579697147,1736.6201191272376,True,True
21780,Male,some_college,28241.87413547411,28419,-177.12586452588948,1340.912375958996,1284.6026514704386,True,True
21820,Male,some_college,12880.566581209148,12471,409.56658120914835,1064.778380697129,951.0730803798527,True,True
22020,Male,some_college,30325.43894052507,29006,1319.4389405250695,1392.4492809434748,1598.057586031231,True,True
22140,Male,some_college,13244.242739465335,14406,-1161.757260534665,921.070029910864,952.8577659008453,False,True
22180,Male,some_college,44016.083532154036,44851,-834.9164678459638,1521.8731878839315,1386.3747795168965,True,True
22220,Male,some_college,44077.63378776549,41678,2399.633787765488,1740.7667850691546,1777.3323717726519,False,True
22380,Male,some_college,12723.0,13524,-801.0,1029.7844434637766,836.5339349968118,True,True
22420,Male,some_college,46879.42686716822,45243,1636.426867168222,1491.4643810698262,1661.9472580380786,False,True
22500,Male,some_college,16944.954103463926,17736,-791.045896536074,1068.139035893736,930.5288805959487,True,True
22520,Male,some_college,14790.989548362693,14839,-48.01045163730669,1026.6007013440035,944.8724412949834,True,True
22540,Male,some_college,12212.287529747393,11624,588.2875297473929,735.8654768366295,732.7859905497638,True,True
22660,Male,some_college,32943.0,33074,-131.0,1503.2128924407214,1614.2278216298187,True,True
22900,Male,some_college,21623.439024178788,21857,-233.5609758212122,1139.8635883297616,1071.5905898594237,True,True
23060,Male,some_college,43206.67851875965,43111,95.67851875964698,1616.8085848361889,1605.2289123495773,True,True
23420,Male,some_college,106890.0,107976,-1086.0,2828.0284652032765,3048.394989933637,True,True
23460,Male,some_college,10886.519442802171,10935,-48.4805571978286,822.120429134321,829.7930707129728,True,True
23540,Male,some_college,28980.923319720565,28597,383.9233197205649,1356.6270673991435,1387.1446445358695,True,True
23580,Male,some_college,17342.0,17210,132.0,1120.3932345386597,874.0677740727547,True,True
23900,Male,some_college,9456.09518665219,9056,400.09518665219,610.1884954667697,687.1724006635663,True,True
24020,Male,some_college,13207.0,13217,-10.0,758.3475456543655,859.038703862492,True,True
