cbsa,sex,band,edu4,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
10180,Male,25-34,hs_or_less,6774.177585834609,6943,-168.8224141653909,734.5270587255449,530.9981890699376,True,True
10420,Male,25-34,hs_or_less,16828.0,16801,27.0,1053.713908041457,1243.5175640682562,True,True
10500,Male,25-34,hs_or_less,4347.963997382687,4553,-205.036002617313,539.2568961079681,444.7100243275211,True,True
10540,Male,25-34,hs_or_less,3697.924514708831,4174,-476.0754852911691,418.6514063036215,409.100915625228,False,True
10580,Male,25-34,hs_or_less,15904.075546154285,15628,276.0755461542849,972.3456175660998,1074.2429308859819,True,True
10740,Male,25-34,hs_or_less,22076.33063916048,22872,-795.6693608395217,1472.08084017149,1475.7071163867422,True,True
10780,Male,25-34,hs_or_less,6274.974893212592,6603,-328.0251067874078,568.6026732262169,495.1560321431182,True,True
10900,Male,25-34,hs_or_less,21062.0,20898,164.0,1107.9828518528616,1288.854455644139,True,True
11020,Male,25-34,hs_or_less,3597.522696423527,3623,-25.477303576472877,349.62551394313317,381.1761769376257,True,True
11100,Male,25-34,hs_or_less,9104.959793292523,8758,346.9597932925226,778.8260396263083,719.5819941882743,True,True
11180,Male,25-34,hs_or_less,1471.0,1544,-73.0,317.7813713860522,394.6466082221536,True,True
11200,Male,25-34,hs_or_less,2789.7366264669517,2562,227.73662646695175,375.56623916427844,382.3754908064116,True,True
11260,Male,25-34,hs_or_less,13836.718229349995,13701,135.71822934999545,861.7638887769666,1141.9979100293585,True,True
11460,Male,25-34,hs_or_less,4278.0,4735,-457.0,513.6165885171545,613.4088979862861,True,True
11500,Male,25-34,hs_or_less,3592.0,3504,88.0,431.43597439249316,470.9990072189643,True,True
11540,Male,25-34,hs_or_less,5201.188529804327,5193,8.188529804327118,485.80963349855466,654.5163334130068,True,True
11700,Male,25-34,hs_or_less,9776.320648692632,9922,-145.67935130736805,892.2942339833874,853.2895585017001,True,True
12020,Male,25-34,hs_or_less,4387.552282394142,4082,305.5522823941419,496.552112068814,526.1228696109713,True,True
12060,Male,25-34,hs_or_less,143841.0894638377,145194,-1352.9105361622933,3461.541419656856,3531.761544955892,True,True
12100,Male,25-34,hs_or_less,8507.0,8804,-297.0,720.909148228818,785.0095294461399,True,True
12220,Male,25-34,hs_or_less,4344.615155311367,3776,568.6151553113668,587.7167685203477,648.9343550833023,True,True
12260,Male,25-34,hs_or_less,17623.58053080663,17436,187.58053080663012,1248.2920331396817,1094.2829488823604,True,True
12420,Male,25-34,hs_or_less,53148.8668799205,53503,-354.133120079503,2400.170618935246,2350.041609185016,True,True
12540,Male,25-34,hs_or_less,38059.0,38198,-139.0,1435.4737893810532,1476.2654716979262,True,True
12580,Male,25-34,hs_or_less,61041.942832801746,61120,-78.05716719825432,2048.9314288184464,1972.8795487806558,True,True
12620,Male,25-34,hs_or_less,3833.2271730163393,3503,330.2271730163393,447.07381940793624,534.6853925305231,True,True
12700,Male,25-34,hs_or_less,3823.537284592497,3687,136.53728459249714,451.52740780599356,582.1364748776768,True,True
12940,Male,25-34,hs_or_less,25566.216795746997,26054,-487.7832042530026,1540.9273182080976,1459.8009862288923,True,True
12980,Male,25-34,hs_or_less,3895.0334755479244,3928,-32.966524452075646,359.3828042630866,359.5318342132761,True,True
13020,Male,25-34,hs_or_less,2602.205867290916,2681,-78.7941327090839,355.83142075988735,320.7574518383174,True,True
13140,Male,25-34,hs_or_less,14745.0,14892,-147.0,926.2872124778578,868.1719519045464,True,True
