cbsa,sex,median,published,pub_moe,gap,gap_pct,pass_pub_moe,pass_within_3pct
35620,Female,48325.9,48553.0,230.0,-227.09999999999854,-0.46773628817992413,True,True
17300,Male,47729.64,48445.0,874.0,-715.3600000000006,-1.4766436164722894,True,True
29200,Female,30457.5,30129.0,1244.0,328.5,1.0903116598625908,True,True
29540,Female,35533.75,35182.0,811.0,351.75,0.9998010346199762,True,True
39540,Female,40610.0,39410.0,1428.0,1200.0,3.044912458766811,True,False
49340,Female,44687.72,45416.0,834.0,-728.2799999999988,-1.603575832305793,True,True
28100,Male,55859.65,50859.0,1250.0,5000.6500000000015,9.832379716471031,False,False
12700,Female,45686.25,44688.0,1874.0,998.25,2.2338211600429645,True,True
24860,Female,35533.75,34803.0,640.0,730.75,2.0996753153463783,False,True
44140,Female,41625.25,40812.0,959.0,813.25,1.992673723414682,True,True
36740,Male,47729.64,47857.0,671.0,-127.36000000000058,-0.2661261675407999,True,True
27740,Male,41978.8,42045.0,1289.0,-66.19999999999709,-0.1574503508145965,True,True
38300,Male,56976.843,57299.0,593.0,-322.15699999999924,-0.5622384334805132,True,True
40580,Male,42956.676,43923.0,1444.0,-966.3240000000005,-2.2000409808073234,True,True
44220,Female,36660.51,35293.0,1251.0,1367.510000000002,3.874734366588281,False,False
47020,Female,29939.4165,29948.0,2281.0,-8.58350000000064,-0.02866134633364712,True,True
41860,Male,79431.105,79423.0,784.0,8.104999999995925,0.010204852498641358,True,True
36100,Male,40610.0,40732.0,1229.0,-122.0,-0.29951880585289203,True,True
30020,Male,38183.712,41495.0,1932.0,-3311.2880000000005,-7.979968670924209,False,False
12980,Female,35681.98,33698.0,2050.0,1983.9800000000032,5.887530417235453,True,False
24500,Male,47436.044,47800.0,2020.0,-363.9559999999983,-0.761414225941419,True,True
39740,Female,37780.92,36752.0,752.0,1028.9199999999983,2.7996299521114447,False,True
10180,Male,44129.1235,44116.0,1984.0,13.123500000001513,0.02974771058119846,True,True
20500,Male,50762.5,51997.0,1414.0,-1234.5,-2.374175433198069,True,True
23060,Female,35533.75,35211.0,578.0,322.75,0.9166169662889437,True,True
25500,Male,45686.25,44781.0,1619.0,905.25,2.021504655992497,True,True
45900,Female,34842.6372,36871.0,924.0,-2028.3628000000026,-5.501241626210308,False,False
30860,Female,25187.28,21111.0,1087.0,4076.279999999999,19.308796362086113,False,False
43100,Female,41978.8,39388.0,1912.0,2590.800000000003,6.577637859246479,False,False
12620,Female,36660.51,36176.0,960.0,484.51000000000204,1.3393133569217217,True,True
42660,Female,52793.0,52539.0,489.0,254.0,0.48345038923466377,True,True
38540,Female,26254.0355,30654.0,2018.0,-4399.964499999998,-14.35363900306648,False,False
45940,Female,45214.629,45674.0,968.0,-459.3709999999992,-1.0057603888426658,True,True
46340,Male,45686.25,45182.0,2562.0,504.25,1.1160417865521668,True,True
37340,Female,35797.23,35928.0,621.0,-130.7699999999968,-0.36397795591181475,True,True
44180,Male,45127.21,45691.0,886.0,-563.7900000000009,-1.2339191525683415,True,True
25060,Male,47658.663,46799.0,1189.0,859.6630000000005,1.8369260026923664,True,True
42140,Female,37151.238,36875.0,1744.0,276.23799999999756,0.7491199999999933,True,True
27860,Male,45214.629,42315.0,1444.0,2899.629000000001,6.852484934420421,False,False
24340,Male,52473.5,52967.0,639.0,-493.5,-0.931712198161119,True,True
13020,Male,50273.685,46538.0,2421.0,3735.6849999999977,8.027171343848034,False,False
15980,Female,36549.0,35883.0,759.0,666.0,1.8560321043391022,True,True
11460,Female,36660.51,36394.0,920.0,266.51000000000204,0.7322910369841239,True,True
31140,Female,39104.544,39333.0,628.0,-228.4559999999983,-0.5808252612310231,True,True
27260,Male,52473.5,52112.0,698.0,361.5,0.6936981885170402,True,True
29020,Male,48922.881,50188.0,2085.0,-1265.1189999999988,-2.5207599426157623,True,True
