cbsa,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
34900,61845.59824843453,61040.0,805.5982484345295,3428.0,3294.4824498545377,True,True
42020,51214.379976055236,51592.0,-377.6200239447644,2178.0,1629.04676048766,True,True
16580,37804.80681531258,38775.0,-970.1931846874213,934.0,964.1511292348566,False,True
38300,46029.79709584859,45933.0,96.79709584858938,334.0,369.5645915291615,True,True
10900,43916.78869736048,44264.0,-347.21130263952364,624.0,671.5269404002386,True,True
39740,39764.84672683648,39815.0,-50.15327316352341,711.0,818.528212208356,True,True
16540,39515.36303159203,39977.0,-461.6369684079691,1127.0,1037.3084815594461,True,True
17860,37905.60714794743,39658.0,-1752.3928520525733,1054.0,1079.5237356716561,False,False
34100,31552.467160692617,33523.0,-1970.5328393073833,2123.0,1111.7439379525715,True,True
25180,39588.01944565655,38827.0,761.0194456565514,803.0,841.8273325566141,True,True
36740,40380.96403685487,40221.0,159.96403685487167,393.0,405.08806724503904,True,True
37340,44120.81395200463,44108.0,12.813952004631574,992.0,842.4378764167664,True,True
48680,48925.33112793667,49030.0,-104.66887206333195,2075.0,2068.711638753014,True,True
41100,38981.716531717655,39171.0,-189.28346828234498,1373.0,1484.43869813153,True,True
46140,38136.19924060105,38716.0,-579.8007593989532,681.0,494.6234880758001,True,True
24020,43600.17790987272,42589.0,1011.1779098727202,1314.0,1410.4253312495362,True,True
28740,47893.268910906285,47778.0,115.26891090628487,1445.0,1571.3966794978353,True,True
25060,34180.96987981076,34345.0,-164.03012018924346,651.0,639.4602327546579,True,True
15260,37248.546812502565,39483.0,-2234.4531874974346,1438.0,1059.1676285106182,False,False
48900,46286.44549273766,46500.0,-213.55450726234267,937.0,830.0963035099269,True,True
24140,31597.47322448021,31983.0,-385.5267755197892,924.0,1069.2525552525112,True,True
30460,41096.53762725725,42479.0,-1382.4623727427534,770.0,772.6751310702679,False,False
17140,44474.04782558375,44674.0,-199.95217441624845,348.0,360.8630546562772,True,True
18140,45260.704306799,44770.0,490.70430679900164,370.0,418.11445388580296,False,True
17900,37925.989797782335,37960.0,-34.01020221766521,573.0,568.9856470450467,True,True
14580,51807.86623668242,54482.0,-2674.133763317579,1929.0,2510.5009911919574,False,True
46520,47356.88467500828,47516.0,-159.1153249917188,597.0,551.799688232141,True,True
27980,45235.3216627667,45622.0,-386.67833723330114,1228.0,1268.6217841158507,True,True
18580,34811.92976194933,34990.0,-178.07023805067,697.0,674.8598928623495,True,True
26420,42513.46639203422,42619.0,-105.53360796577908,283.0,287.30892794217016,True,True
12420,56515.63498415278,56313.0,202.63498415277718,449.0,548.8970759258798,True,True
31180,35177.79383891128,35300.0,-122.20616108871764,812.0,811.2704535083211,True,True
