cbsa,category,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
18580,white alone,213228.13577951974,220032.0,-6803.86422048026,3220.0,3870.4306534527577,False,False
21340,asian alone,11151.268413308468,11128.0,23.268413308467643,789.0,891.2231768776428,True,True
41700,black or african american alone,190259.00993669938,187136.0,3123.009936699382,3242.0,3667.964980036661,True,True
11100,white alone,179473.3001271523,181703.0,-2229.6998728477047,2056.0,2626.6238997195173,False,True
21340,white alone,256794.60540736734,258775.0,-1980.394592632656,6690.0,6083.343520960672,True,True
19100,american indian and alaska native alone,53506.91731622281,55368.0,-1861.0826837771892,4046.0,4298.349465721264,True,True
32580,white alone,251193.0,247551.0,3642.0,7310.0,8793.159271580025,True,True
32580,asian alone,9089.0,9202.0,-113.0,346.0,564.9320159065602,True,True
12420,black or african american alone,175992.40451752793,175014.0,978.4045175279316,3068.0,2738.5893043838596,True,True
23540,white alone,222514.28681004187,227894.0,-5379.713189958129,1461.0,1619.2647193338616,False,False
23540,asian alone,17863.06167894863,17677.0,186.0616789486303,684.0,769.2965168781412,True,True
41500,asian alone,25513.992755518964,25129.0,384.99275551896426,730.0,851.7911073030374,True,True
41500,white alone,166580.24245059877,158316.0,8264.242450598773,3354.0,4013.568464377921,False,False
33700,two or more races,159689.0,159806.0,-117.0,4778.0,5524.938102806674,True,True
41940,some other race alone,227580.71675421845,221039.0,6541.716754218447,4959.0,6605.14595650294,False,True
42220,white alone,299624.0,299837.0,-213.0,1995.0,2804.184413445824,True,True
44700,white alone,255578.0,254518.0,1060.0,3486.0,3572.65463184748,True,True
44700,asian alone,150115.0,148289.0,1826.0,1930.0,2503.5294668475044,True,True
34900,white alone,75393.0,75020.0,373.0,1415.0,4386.299823181836,True,True
33700,native hawaiian and other pacific islander alone,3686.0,3743.0,-57.0,472.0,504.524879023572,True,True
40900,some other race alone,236103.0,236365.0,-262.0,6261.0,5749.254949321259,True,True
47300,two or more races,124791.0,123927.0,864.0,5331.0,5236.9465700372575,True,True
42020,two or more races,49162.0,47929.0,1233.0,2035.0,2616.3669666712944,True,True
42100,some other race alone,44684.0,45229.0,-545.0,2416.0,3143.042636911525,True,True
34900,asian alone,11245.0,11077.0,168.0,529.0,931.6537774550427,True,True
25260,some other race alone,35476.0,34794.0,682.0,2081.0,2842.3701475227945,True,True
39820,some other race alone,5065.0,5106.0,-41.0,703.0,895.6389031600571,True,True
42220,asian alone,22155.0,21865.0,290.0,820.0,904.1519195937152,True,True
17020,black or african american alone,3825.0,3823.0,2.0,479.0,550.5920913979786,True,True
47300,native hawaiian and other pacific islander alone,517.0,672.0,-155.0,157.0,274.1201366349251,True,True
32900,american indian and alaska native alone,4650.0,4316.0,334.0,1119.0,1475.0561451191443,True,True
11100,asian alone,8249.816899225607,8237.0,12.816899225606903,516.0,427.6328677356535,True,True
31180,black or african american alone,25490.80036219986,25222.0,268.8003621998614,1195.0,1149.3164555063152,True,True
18580,asian alone,9327.960114010944,9256.0,71.96011401094438,470.0,438.9862957702416,True,True
43300,some other race alone,4838.856926517405,6060.0,-1221.1430734825954,1145.0,764.9656937402616,False,True
28940,black or african american alone,50380.58303378096,49740.0,640.5830337809602,911.0,1218.2107054226408,True,True
47260,white alone,953048.162137067,966859.0,-13810.837862933055,2819.0,2799.2888069325904,False,False
40220,two or more races,17757.328446486114,18408.0,-650.6715535138865,1380.0,1261.7475152922293,True,True
16820,black or african american alone,24704.302098040127,24184.0,520.302098040127,668.0,837.2036087129845,True,True
47260,asian alone,72970.16094762774,72969.0,1.1609476277371868,1444.0,1476.1043036257452,True,True
44420,two or more races,6831.473885344785,6852.0,-20.52611465521477,784.0,788.417666389919,True,True
40220,native hawaiian and other pacific islander alone,114.79118426789795,205.0,-90.20881573210205,133.0,95.6072881345171,True,True
48540,white alone,126810.57764179603,124831.0,1979.5776417960296,524.0,456.908683068841,False,False
17410,american indian and alaska native alone,3704.0,3375.0,329.0,496.0,716.1105590680464,True,True
15940,american indian and alaska native alone,369.0,423.0,-54.0,159.0,162.51859067119062,True,True
48540,asian alone,721.4934722158974,686.0,35.49347221589744,114.0,140.79572254136502,True,True
45780,american indian and alaska native alone,1078.1897502915344,1254.0,-175.81024970846556,349.0,333.42207945133686,True,True
16700,black or african american alone,193187.0,195114.0,-1927.0,1860.0,2652.3358118639976,False,True
16740,white alone,1616240.2563143745,1620651.0,-4410.7436856254935,3987.0,5220.854503590611,False,True
17900,black or african american alone,278136.4429185567,283973.0,-5836.557081443316,1822.0,2603.7471763976114,False,False
25940,some other race alone,14016.626104350453,13739.0,277.6261043504528,1727.0,1938.7171563682427,True,True
16740,asian alone,121436.4421335357,122074.0,-637.5578664642962,1649.0,1774.9055131411328,True,True
16860,white alone,438692.3335784446,443701.0,-5008.66642155539,1548.0,1742.9175147153019,False,False
32820,black or african american alone,615615.4447984801,623600.0,-7984.555201519863,2948.0,2782.6987073242385,False,False
16860,asian alone,9526.625432360706,9612.0,-85.37456763929367,488.0,490.2213399212662,True,True
17420,white alone,108917.0,109065.0,-148.0,1005.0,1246.2859700029726,True,True
27180,american indian and alaska native alone,474.8556254544832,735.0,-260.1443745455168,276.0,249.42536901655043,True,True
17420,asian alone,1369.0,1350.0,19.0,159.0,156.35636303009863,True,True
41780,some other race alone,1981.7047818721776,2449.0,-467.2952181278224,635.0,414.4973903799185,True,True
31700,black or african american alone,11471.247264883303,10520.0,951.2472648833027,849.0,1187.1057535406017,False,True
22140,two or more races,12784.131603776552,12528.0,256.13160377655186,1240.0,1284.2917374652793,True,True
22140,native hawaiian and other pacific islander alone,143.17155953278666,37.0,106.17155953278666,47.0,139.81523748432167,False,True
10580,black or african american alone,71678.00899956442,71274.0,404.008999564423,1984.0,2358.305521795182,True,True
27060,two or more races,7623.0,7344.0,279.0,716.0,807.4316230461872,True,True
37900,two or more races,22917.014287918682,21246.0,1671.0142879186824,1412.0,1615.9548389443248,False,True
16020,two or more races,6526.32976615046,4906.0,1620.3297661504603,585.0,604.905688013858,False,False
19340,black or african american alone,30297.83378322644,29515.0,782.8337832264406,1044.0,1698.3152410342084,True,True
16580,american indian and alaska native alone,480.5896137180056,399.0,81.58961371800558,191.0,275.68031956900995,True,True
14020,white alone,135768.68559600145,136172.0,-403.3144039985491,487.0,1154.6957714921364,True,True
14020,asian alone,9866.457293991027,9767.0,99.45729399102675,413.0,685.7089185801651,True,True
30460,two or more races,42293.82287750556,40378.0,1915.8228775055613,1907.0,2664.6310574974227,False,True
30460,native hawaiian and other pacific islander alone,126.5117489522187,67.0,59.511748952218696,61.0,78.60179031096273,True,True
28140,two or more races,207770.15436391538,206511.0,1259.1543639153824,4516.0,6145.9651101945565,True,True
48620,two or more races,79503.34099480759,76040.0,3463.340994807586,2888.0,3578.2583057238608,False,True
41140,two or more races,8803.644961333745,8300.0,503.6449613337445,959.0,943.6710642870534,True,True
48620,native hawaiian and other pacific islander alone,459.0,517.0,-58.0,173.0,174.11957843318484,True,True
28140,native hawaiian and other pacific islander alone,4220.536897151032,3639.0,581.5368971510316,482.0,850.2970563958141,False,True
41140,native hawaiian and other pacific islander alone,383.6101215803222,361.0,22.610121580322186,143.0,230.85459487098845,True,True
25180,white alone,235494.96788359882,237521.0,-2026.0321164011839,930.0,1455.6073512362675,False,False
37980,white alone,3758479.004522045,3770229.0,-11749.995477954857,5947.0,7986.502237370081,False,False
25180,asian alone,3899.570364649022,3897.0,2.57036464902194,429.0,452.4204020576399,True,True
37980,asian alone,412956.57099175866,408447.0,4509.570991758665,2308.0,3240.071797706815,False,False
16020,native hawaiian and other pacific islander alone,89.18337166873201,88.0,1.1833716687320077,65.0,63.84155612803627,True,True
20740,white alone,157156.73443058514,156049.0,1107.7344305851439,556.0,1010.4625773731112,False,True
28450,white alone,126741.0,126687.0,54.0,1232.0,1892.291592364599,True,True
48140,white alone,120154.0,120384.0,-230.0,524.0,831.0763205137962,True,True
20740,asian alone,5048.357646273052,5308.0,-259.6423537269484,426.0,668.6106976390051,True,True
48140,asian alone,7787.0,7850.0,-63.0,302.0,595.7069459788933,True,True
11540,two or more races,15732.286279291011,14594.0,1138.286279291011,1055.0,1538.4491621876239,False,True
28450,asian alone,3115.0,3108.0,7.0,310.0,465.7404343542657,True,True
29100,american indian and alaska native alone,373.66042585287596,490.0,-116.33957414712404,231.0,151.56911784886702,True,True
22540,american indian and alaska native alone,493.498753679366,444.0,49.49875367936602,272.0,313.2850756549709,True,True
26620,black or african american alone,111369.0975743947,111240.0,129.0975743947056,1354.0,1829.865921857766,True,True
20020,black or african american alone,36084.0,36188.0,-104.0,347.0,554.1932734761854,True,True
19460,black or african american alone,18955.0,19351.0,-396.0,719.0,906.3618605557054,True,True
13820,some other race alone,30570.263247271683,31144.0,-573.7367527283168,2649.0,2807.5943976674785,True,True
22520,two or more races,8107.858795054735,8032.0,75.85879505473531,1003.0,922.456391825292,True,True
19300,some other race alone,6356.0,5754.0,602.0,1440.0,1343.384493662369,True,True
22520,native hawaiian and other pacific islander alone,25.667115134163538,21.0,4.667115134163538,29.0,35.393999630703945,True,True
24660,some other race alone,37832.87544140708,36340.0,1492.875441407079,2564.0,2852.0016181623682,True,True
39300,two or more races,192686.0,191700.0,986.0,5995.0,5817.703706836143,True,True
39300,native hawaiian and other pacific islander alone,683.0,1005.0,-322.0,303.0,290.00818146002365,False,True
19820,black or african american alone,933843.5529647355,934711.0,-867.4470352644566,4915.0,5221.718748502547,True,True
29620,black or african american alone,38962.0,41429.0,-2467.0,1341.0,1717.182241966472,False,False
41100,white alone,165055.0,166345.0,-1290.0,1480.0,1728.204502097842,True,True
39340,two or more races,71394.41070088997,71483.0,-88.58929911002633,2385.0,3478.3689083465983,True,True
41100,asian alone,2290.0,2314.0,-24.0,315.0,415.3923043762366,True,True
39340,native hawaiian and other pacific islander alone,5134.452389374909,5224.0,-89.54761062509078,664.0,676.4669814974841,True,True
21300,black or african american alone,3637.768519160259,5355.0,-1717.231480839741,438.0,340.58223124628574,False,False
24020,two or more races,6084.0,5756.0,328.0,569.0,754.3732177891127,True,True
40380,american indian and alaska native alone,1468.9658151247168,1708.0,-239.03418487528324,300.0,317.96661004720613,True,True
21420,black or african american alone,1414.2874435496935,1486.0,-71.71255645030647,261.0,283.47582170149695,True,True
25620,black or african american alone,44279.09136811569,43871.0,408.09136811568897,714.0,811.5357074835294,True,True
27140,american indian and alaska native alone,3215.469956572219,1698.0,1517.469956572219,686.0,506.719615766303,False,False
43580,white alone,110742.96388792655,100468.0,10274.963887926555,1022.0,1177.0022145328362,False,False
30700,black or african american alone,12648.37161894096,12390.0,258.3716189409606,740.0,1208.7276615251055,True,True
43580,asian alone,2633.60094305535,3349.0,-715.39905694465,268.0,279.7122314631198,False,False
10900,white alone,615657.0,615933.0,-276.0,1901.0,3219.4886895330524,True,True
10900,asian alone,26785.0,27064.0,-279.0,864.0,1138.5684823084864,True,True
38940,american indian and alaska native alone,2969.0,2617.0,352.0,820.0,1006.4212980022334,True,True
40660,two or more races,6620.034928200737,8065.0,-1444.9650717992627,968.0,990.4293321122414,False,False
12020,black or african american alone,45012.6524628123,40219.0,4793.652462812301,852.0,1091.773184923727,False,False
25980,white alone,44806.35167026969,35737.0,9069.351670269687,489.0,510.6228166896116,False,False
25980,asian alone,1773.83170589934,1309.0,464.83170589934,259.0,189.52585681801744,False,False
40660,native hawaiian and other pacific islander alone,48.487980865515006,111.0,-62.512019134484994,102.0,47.53316229935272,True,True
24420,two or more races,9174.021952064937,8720.0,454.02195206493707,677.0,587.5911192241042,True,True
32780,american indian and alaska native alone,1409.0,1369.0,40.0,368.0,359.19451732487516,True,True
24420,native hawaiian and other pacific islander alone,154.76610538657565,113.0,41.766105386575646,92.0,74.3164567914429,True,True
21660,american indian and alaska native alone,4352.0,4718.0,-366.0,752.0,787.8930095657024,True,True
22020,white alone,217548.97490608346,215325.0,2223.9749060834583,904.0,1402.3146703365605,False,False
43620,american indian and alaska native alone,4640.3637069471115,4762.0,-121.6362930528885,625.0,685.1137103133673,True,True
22020,asian alone,6606.038527846305,7278.0,-671.9614721536946,422.0,860.9027278639984,False,True
14580,american indian and alaska native alone,624.0,755.0,-131.0,191.0,256.20366708441156,True,True
24540,american indian and alaska native alone,4106.0,3797.0,309.0,659.0,975.3606461631257,True,True
42020,native hawaiian and other pacific islander alone,402.0,413.0,-11.0,147.0,200.24995198501298,True,True
42540,two or more races,50883.532477249755,51194.0,-310.4675227502448,2682.0,3354.2333646351194,True,True
16540,two or more races,8835.057369210617,8992.0,-156.94263078938275,1077.0,1367.7575174748808,True,True
23900,black or african american alone,2401.410832814512,1952.0,449.4108328145121,342.0,428.74304261028425,False,True
42540,native hawaiian and other pacific islander alone,643.5076572945807,382.0,261.50765729458067,132.0,418.78327542841737,False,True
38860,american indian and alaska native alone,781.0,925.0,-144.0,201.0,280.1119119008508,True,True
35300,some other race alone,50718.0,51448.0,-730.0,3094.0,3122.347910876725,True,True
42680,american indian and alaska native alone,442.0,669.0,-227.0,293.0,185.81292629281742,True,True
19780,black or african american alone,42241.602206005125,41787.0,454.6022060051255,1321.0,2068.195152797011,True,True
20220,two or more races,4429.33123760939,4977.0,-547.66876239061,559.0,646.3729019898901,True,True
47940,american indian and alaska native alone,317.6534348886214,452.0,-134.3465651113786,231.0,157.60204428453093,True,True
20220,native hawaiian and other pacific islander alone,561.2913602941176,802.0,-240.70863970588243,46.0,106.11433540394812,False,False
16540,native hawaiian and other pacific islander alone,76.13476999335066,19.0,57.13476999335066,31.0,122.68872592066911,False,True
24140,white alone,60992.0,60942.0,50.0,639.0,687.297556107433,True,True
24780,white alone,93583.0,93301.0,282.0,508.0,740.5045656729606,True,True
24780,asian alone,3360.0,3545.0,-185.0,361.0,424.1858254851286,True,True
24140,asian alone,1438.0,1430.0,8.0,242.0,284.04320319055336,True,True
20100,two or more races,18248.0,17870.0,378.0,1552.0,1863.080987070879,True,True
