cbsa,sex,band,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
41860,Female,65-69,127167.0,127070,97.0,2310.922326691228,2473.418630351522,True,True
41860,Female,50-54,154094.0,153837,257.0,207.0,640.5997305211343,False,True
41860,Male,55-59,154084.0,153326,758.0,2226.0,2456.7964855795954,True,True
31080,Male,55-59,413085.0,413312,-227.0,3957.0,4456.3807519401325,True,True
44700,Female,50-54,23597.0,23461,136.0,88.0,250.1611811612665,False,True
44700,Female,65-69,19050.0,19045,5.0,936.7262140027896,794.7442586753931,True,True
44700,Male,50-54,23921.0,23884,37.0,117.0,426.27470011132493,True,True
17020,Male,30-34,6842.0,6898,-56.0,32.0,229.5588511716549,False,True
17020,Male,18-24,14712.0,15080,-368.0,998.7582290023947,380.24113619353443,True,True
37100,Female,60-64,28823.0,28420,403.0,1153.65332747754,995.1256832675709,True,True
23420,Female,60-64,30077.0,29844,233.0,1274.7489949005646,1317.6307268265643,True,True
20940,Male,60-64,4904.0,4735,169.0,528.9092549766925,440.7631614725192,True,True
34900,Male,30-34,4087.0,4101,-14.0,92.0,173.74813639288337,True,True
42020,Female,60-64,10258.0,9978,280.0,641.599563590874,749.8460538695593,True,True
41500,Female,55-59,12241.641676674892,12367,-125.35832332510836,647.0,732.5581230808571,True,True
47930,Female,55-59,16832.0,16428,404.0,771.0,757.208706180139,True,True
25540,Male,45-49,32553.002877286384,32391,162.00287728638432,117.0,394.15141759302884,False,True
25540,Male,35-39,38132.88853207897,37812,320.88853207897046,1224.0,1404.351517299631,True,True
25540,Male,40-44,36011.83691976892,36429,-417.16308023108286,1208.0,1432.0088727335865,True,True
33100,Female,60-64,210454.42135279134,210126,328.421352791338,3754.8395438420534,3113.283408592856,True,True
38940,Female,45-49,14566.0,14443,123.0,158.0,290.734611993911,True,True
37460,Female,65-69,6760.692040537054,6656,104.6920405370538,532.9024300939151,436.2194665402964,True,True
19660,Male,25-29,18869.0,19333,-464.0,163.0,433.18178897404033,False,False
29460,Male,55-59,22909.0,22249,660.0,985.0,1224.4388739096983,True,True
45220,Female,60-64,11883.597216073933,12341,-457.40278392606706,741.0998583187019,666.6685239362695,True,True
45300,Female,60-64,117442.0,116163,1279.0,2662.5269951683117,2200.134490389451,True,True
