geoid,STATEFP,PUMA5CE,target,pop2020,straddles
36103146105,36,03310,35620,7294,False
36103122406,36,03313,35620,7088,False
36103145603,36,03310,35620,7011,False
36103145702,36,03310,35620,6640,False
36103145602,36,03310,35620,6592,False
36103146204,36,03310,35620,6587,False
36103145601,36,03310,35620,6003,False
36103146201,36,03310,35620,5137,False
36103146001,36,03310,35620,5096,False
36103145604,36,03310,35620,5079,False
36103122501,36,03313,35620,4788,False
36103146106,36,03310,35620,4761,False
36103145605,36,03310,35620,3869,False
36103201200,36,03310,35620,560,False
09007990100,09,20500,35980,0,True
09011990100,09,20401,35980,0,False
09009990000,09,20604,14860,0,True
09001990000,09,20903,14860,0,False
