cbsa,alpha,beta,n_fit_points,fallback,val_p90_rel_err
10180,0.41752564224894007,-0.5759918412406615,64,False,0.5246318670997339
10420,0.3218612286272957,-0.542438802912266,87,False,0.6599797008279109
10500,0.3135075901071907,-0.5799135749842093,63,False,0.29083985774058657
10540,0.4216266164855232,-0.5886861792406489,58,False,0.6391741232218744
10580,0.3466572854745284,-0.5421283228518484,95,False,0.3166529481031685
10740,0.4058066559870129,-0.5457599116682098,89,False,0.382758425967179
10780,0.41974394954916977,-0.6119910531722225,61,False,0.6366263425927162
10900,0.3489489660146898,-0.541539373445013,86,False,0.48276259690664014
11020,0.3628882475454376,-0.5842830282665107,55,False,0.29011681068977846
11100,0.41740475818943235,-0.5655264535202283,72,False,0.44984898394049444
11180,0.547761175457495,-0.607532155983507,54,False,0.21600576109351122
11200,0.37548673810104627,-0.5590679832329232,72,False,0.5016115314124435
11260,0.3521284260021525,-0.5504585781090715,76,False,0.3700200143656872
11460,0.41761840113287846,-0.5640589648972966,89,False,0.3655644743677415
11500,0.5623193496152491,-0.6146267988512647,46,False,0.5170577997184894
11540,0.3451200489878768,-0.5593293995889113,62,False,0.3804122113083126
11700,0.5513927046320238,-0.5816748329432442,75,False,0.40766574489884083
12020,0.37514927798734615,-0.5627788750639195,71,False,0.29587424698607145
12060,0.5662350435092977,-0.5526511181942602,111,False,0.4737663090153554
12100,0.43511689266418857,-0.56106396941955,83,False,0.27229559692171973
12220,0.29329789913580107,-0.5749261928897409,65,False,0.5153284985847608
12260,0.42269581676672907,-0.562187846805464,84,False,0.30696903455047664
12420,0.4484311156360627,-0.5461860585334591,108,False,0.4672478216844158
12540,0.4422742719337178,-0.558572519836862,88,False,0.3025584486971154
12580,0.40987170504449283,-0.5466107324456428,108,False,0.2822839456519377
12620,0.43322130859828073,-0.5663124732983137,58,False,0.3633260188351993
12700,0.3270801225734772,-0.5689219279416968,69,False,0.41960029605732974
12940,0.4431421053118693,-0.5525044264353719,90,False,0.358315960434935
12980,0.30873169110360266,-0.5985291023502515,55,False,0.5293218737627197
13020,0.22602641679368973,-0.6017245155657964,52,False,0.3392896171818919
13140,0.5036626985597337,-0.5846440542998654,79,False,0.42443066067564594
13220,0.6770154164079762,-0.6436510544024042,44,False,0.3857386697100237
13380,0.29778432303163277,-0.5449573176276528,75,False,0.4410663612761143
13460,0.40482334928596564,-0.5657255340289785,71,False,0.3485324428243105
13740,0.31225532975648507,-0.5512325381278913,56,False,0.4249667356668937
13780,0.1349501523070962,-0.5257816981642697,77,False,0.3651891148295156
13820,0.4053879491216214,-0.5524770335482129,94,False,0.3527175345105719
13900,0.5926673499633259,-0.6267824571225116,51,False,0.270573431098536
13980,0.3732967422024662,-0.5628710976184413,62,False,0.5154932822858757
14010,0.5085009048582911,-0.5918819823435999,73,False,0.9750248853230946
14020,0.3347424145717296,-0.5676745158007338,68,False,0.24800461722850858
14260,0.48389579089990264,-0.5639309150902817,84,False,0.2987588766262939
14460,0.46665973699595814,-0.5478863089253849,112,False,0.44402651508716273
14500,0.2984901357294236,-0.559339049061583,84,False,0.31754763799448776
14540,0.4610504800299648,-0.6040994536044417,60,False,0.5326976356120912
14580,0.6320893041451834,-0.6334045734772688,58,False,0.34068330152909004
14740,0.4493145041346791,-0.56923761944321,77,False,0.5582093420678583
14860,0.44663667810312146,-0.5516569144516928,101,False,0.38723933007846245
15180,0.5850738311167332,-0.5952137918629791,71,False,0.4167165675900979
15260,0.2585928694137167,-0.6148567804880226,52,False,0.3759278902697251
15380,0.3811461680117982,-0.5451762768689465,97,False,0.3328370889782393
15500,0.40996978921008026,-0.5647489791498272,69,False,0.6162605917644822
15540,0.6970566887187963,-0.6484001760899355,66,False,0.44186285764814776
15940,0.5450855176773494,-0.5924305467827676,70,False,0.24781219393140355
15980,0.3819956833473874,-0.5465488341841903,91,False,0.18882998278437582
16020,0.3115446195204264,-0.6028512895387377,47,False,0.47776972322757794
16180,-0.16334973060831623,-0.5832338736294211,45,False,0.4466315715122729
16220,0.41634455721944924,-0.6782406067893528,50,False,0.36691447055751886
16300,0.46135110251890654,-0.5837845256258262,64,False,0.3308177075368556
16540,0.5761903547520673,-0.6140758939634594,52,False,0.37409805359779585
16580,0.47774803041985847,-0.5840557730173424,78,False,0.5084304594470495
16620,0.5013430137304523,-0.5956520239413796,64,False,0.2902314744091463
16700,0.43854053699670476,-0.5505099509915142,95,False,0.5655504957585278
16740,0.5227938717684952,-0.5655357873282325,107,False,0.29122854188115366
16820,0.3181094933319303,-0.5641095843970887,75,False,0.3535150382995867
16860,0.48614579917024975,-0.569704300073549,85,False,0.5666422939503503
16940,0.44062421071523283,-0.6002241954974469,56,False,0.7716483924211692
16980,0.5431556617665679,-0.5536890244304449,113,False,0.39016651092945254
17020,0.4122372666476487,-0.5709710888440981,75,False,0.43309181942920866
17140,0.37548091404026523,-0.5436567956707604,101,False,0.302980132613276
17300,0.4030827524879876,-0.5683380514741553,67,False,0.547123750910119
17410,0.4110853883236458,-0.5458078022020906,105,False,0.3011138515646513
17420,0.48275725593570035,-0.6021889989058026,50,False,0.4547121736462862
17660,0.5597538960556001,-0.6099531989961938,51,False,0.3582544486317368
17780,0.3599822878593159,-0.5700781076034142,78,False,0.2471998237568744
17820,0.38887540406604065,-0.5442290534370771,93,False,0.5140718311279742
17860,0.4012708076543747,-0.5867613902006623,70,False,0.6123193216587705
17900,0.44261920043637876,-0.5559037706130677,91,False,0.26093213942286614
17980,0.34178186227324786,-0.5647968582676434,77,False,0.18373695026301573
18020,0.11513697741500631,-0.5793685142769215,45,False,0.3033959254785085
18140,0.3800857753154626,-0.5439793080635587,106,False,0.33504966037546435
18580,0.39120458111375467,-0.5623355594906899,80,False,0.3421299805202621
18700,0.341403032928805,-0.575141631936415,57,False,0.3001397959891011
