cbsa,display_name,display_name_full,slug,state_full,lat,lon,description
35620,"New York, NY","New York, New York",new-york-new-york,New York,40.6627117,-73.9386769,A vast metro area of about 19.8 million people in New York.
31080,"Los Angeles, CA","Los Angeles, California",los-angeles-california,California,34.0193936,-118.4108248,A vast metro area of about 13 million people in California.
16980,"Chicago, IL","Chicago, Illinois",chicago-illinois,Illinois,41.8370453,-87.6849386,A vast metro area of about 9.4 million people in Illinois.
19100,"Dallas, TX","Dallas, Texas",dallas-texas,Texas,32.7933334,-96.7665128,A vast metro area of about 8 million people in Texas.
26420,"Houston, TX","Houston, Texas",houston-texas,Texas,29.7857435,-95.3888059,A vast metro area of about 7.4 million people in Texas.
47900,"Washington, DC","Washington, the District of Columbia",washington-the-district-of-columbia,the District of Columbia,38.9042429,-77.0165243,A vast metro area of about 6.3 million people in the District of Columbia.
37980,"Philadelphia, PA","Philadelphia, Pennsylvania",philadelphia-pennsylvania,Pennsylvania,40.0092973,-75.1332708,A vast metro area of about 6.3 million people an hour and a half southwest of New York.
12060,"Atlanta, GA","Atlanta, Georgia",atlanta-georgia,Georgia,33.7629088,-84.4226745,A vast metro area of about 6.3 million people in Georgia.
33100,"Miami, FL","Miami, Florida",miami-florida,Florida,25.775163,-80.2086152,A vast metro area of about 6.3 million people in Florida.
38060,"Phoenix, AZ","Phoenix, Arizona",phoenix-arizona,Arizona,33.5721544,-112.0901324,A vast metro area of about 5 million people in Arizona.
14460,"Boston, MA","Boston, Massachusetts",boston-massachusetts,Massachusetts,42.3327346,-71.0135134,A major city of about 5 million people in Massachusetts.
40140,"Riverside, CA","Riverside, California",riverside-california,California,33.9381433,-117.3931676,A major city of about 4.7 million people an hour east of Los Angeles.
41860,"San Francisco, CA","San Francisco, California",san-francisco-california,California,37.708348675,-122.51423175,A major city of about 4.6 million people in California.
19820,"Detroit, MI","Detroit, Michigan",detroit-michigan,Michigan,42.3830375,-83.1022365,A major city of about 4.4 million people in Michigan.
42660,"Seattle, WA","Seattle, Washington",seattle-washington,Washington,47.6193352,-122.3515382,A major city of about 4.1 million people in Washington.
33460,"Minneapolis, MN","Minneapolis, Minnesota",minneapolis-minnesota,Minnesota,44.9633242,-93.2683198,A major city of about 3.7 million people in Minnesota.
45300,"Tampa, FL","Tampa, Florida",tampa-florida,Florida,27.9678756,-82.4745861,A major city of about 3.3 million people in Florida.
41740,"San Diego, CA","San Diego, California",san-diego-california,California,32.830391,-117.120923,A major city of about 3.3 million people two hours southeast of Los Angeles.
19740,"Denver, CO","Denver, Colorado",denver-colorado,Colorado,39.7618502,-104.8811054,A major city of about 3 million people in Colorado.
12580,"Baltimore, MD","Baltimore, Maryland",baltimore-maryland,Maryland,39.3000606,-76.6105181,A major city of about 2.8 million people an hour northeast of Washington.
41180,"St. Louis, MO","St. Louis, Missouri",st-louis-missouri,Missouri,38.6356988,-90.2445816,A major city of about 2.8 million people in Missouri.
36740,"Orlando, FL","Orlando, Florida",orlando-florida,Florida,28.4722646,-81.3224522,A major city of about 2.8 million people in Florida.
16740,"Charlotte, NC","Charlotte, North Carolina",charlotte-north-carolina,North Carolina,35.2090447,-80.8309902,A major city of about 2.8 million people in North Carolina.
41700,"San Antonio, TX","San Antonio, Texas",san-antonio-texas,Texas,29.4597746,-98.5242628,A major city of about 2.7 million people in Texas.
38900,"Portland, OR","Portland, Oregon",portland-oregon,Oregon,45.5369506,-122.649971,A major city of about 2.5 million people about three hours south of Seattle.
38300,"Pittsburgh, PA","Pittsburgh, Pennsylvania",pittsburgh-pennsylvania,Pennsylvania,40.4398925,-79.9754718,A major city of about 2.4 million people in Pennsylvania.
12420,"Austin, TX","Austin, Texas",austin-texas,Texas,30.2986219,-97.7541339,A major city of about 2.4 million people about three hours west of Houston.
40900,"Sacramento, CA","Sacramento, California",sacramento-california,California,38.5676936,-121.4681605,A major city of about 2.4 million people an hour and a half northeast of San Francisco.
29820,"Las Vegas, NV","Las Vegas, Nevada",las-vegas-nevada,Nevada,36.2120986,-115.0152388,A major city of about 2.3 million people in Nevada.
17140,"Cincinnati, OH","Cincinnati, Ohio",cincinnati-ohio,Ohio,39.140183,-84.5058289,A major city of about 2.3 million people in Ohio.
28140,"Kansas City, MO","Kansas City, Missouri",kansas-city-missouri,Missouri,39.1251553,-94.5503133,A major city of about 2.2 million people in Missouri.
18140,"Columbus, OH","Columbus, Ohio",columbus-ohio,Ohio,39.9873674,-82.9851797,A major city of about 2.2 million people in Ohio.
17410,"Cleveland, OH","Cleveland, Ohio",cleveland-ohio,Ohio,41.4784623,-81.6794351,A major city of about 2.2 million people two hours southeast of Detroit.
26900,"Indianapolis, IN","Indianapolis, Indiana",indianapolis-indiana,Indiana,39.78034164285714,-86.20733388571429,A major city of about 2.1 million people in Indiana.
34980,"Nashville, TN","Nashville, Tennessee",nashville-tennessee,Tennessee,36.1686238,-86.6070357,A major city of about 2.1 million people in Tennessee.
