cbsa,slug,status,page_title,file_title,source_url,image_url,author,license,license_url,retrieved,sha256,file
35620,new-york-new-york,ok,New_York_City,File:View_of_Empire_State_Building_from_Rockefeller_Center_New_York_City_dllu_(cropped).jpg,https://commons.wikimedia.org/wiki/File:View_of_Empire_State_Building_from_Rockefeller_Center_New_York_City_dllu_(cropped).jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7a/View_of_Empire_State_Building_from_Rockefeller_Center_New_York_City_dllu_%28cropped%29.jpg/1920px-View_of_Empire_State_Building_from_Rockefeller_Center_New_York_City_dllu_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Dllu,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-09-17,d42cc6de360922e08b960603cb176205c3998cc326ffce1bfb0428bb10bfba93,new-york-new-york.jpg
31080,los-angeles-california,ok,Los_Angeles,File:Hollywood_sign_(8485145044).jpg,https://commons.wikimedia.org/wiki/File:Hollywood_sign_(8485145044).jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2f/Hollywood_sign_%288485145044%29.jpg/1920px-Hollywood_sign_%288485145044%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Gnaphron,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,2026-09-17,575630f77c7bbdc3ce126a7093d8caf772487a9c93eb0a9e0c1ac60e2eed6d88,los-angeles-california.jpg
16980,chicago-illinois,ok,Chicago,File:Chicago_River_ferry_b.jpg,https://commons.wikimedia.org/wiki/File:Chicago_River_ferry_b.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a5/Chicago_River_ferry_b.jpg/1920px-Chicago_River_ferry_b.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"File:Chicago River ferry.jpg: John Picken
derivative work: Georgfotoart",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,2026-09-17,e155f22c74cf49a6111c1284376e472ce06df06dc41d733595949a362cd2c44d,chicago-illinois.jpg
19100,dallas-texas,ok,Dallas,File:Dallas_Texas_skyline_from_Reunion_Tower_September_2025_(cropped).png,https://commons.wikimedia.org/wiki/File:Dallas_Texas_skyline_from_Reunion_Tower_September_2025_(cropped).png,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a7/Dallas_Texas_skyline_from_Reunion_Tower_September_2025_%28cropped%29.png/1920px-Dallas_Texas_skyline_from_Reunion_Tower_September_2025_%28cropped%29.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,IcedCowboyCoffee,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,2026-09-17,9a754a78584c87bed747fa30f92710961bd2b45879cbdf6719499bacd9d98cbe,dallas-texas.png
26420,houston-texas,ok,Houston,File:Texas_medical_center.jpg,https://commons.wikimedia.org/wiki/File:Texas_medical_center.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a3/Texas_medical_center.jpg/1920px-Texas_medical_center.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Katie Haugland Brown,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,2026-09-17,8814fb1039cb33581f4f3906e24d5ee8391c4dcf5a67b119ebbd8de8ddadee11,houston-texas.jpg
47900,washington-district-of-columbia,ok,"Washington,_D.C.",File:12-07-13-washington-by-RalfR-08.jpg,https://commons.wikimedia.org/wiki/File:12-07-13-washington-by-RalfR-08.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e4/12-07-13-washington-by-RalfR-08.jpg/1920px-12-07-13-washington-by-RalfR-08.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Ralf Roletschek (talk) - Infos über Fahrräder auf fahrradmonteur.de  Wikis in der Ausbildung,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2026-09-17,118ccedc45a0461b2c97c9faa62a9035e14ab26386cb26d08ece6ee90c7ed4a1,washington-district-of-columbia.jpg
37980,philadelphia-pennsylvania,ok,Philadelphia,File:Philadelphia_skyline_20240528_(cropped_2-1).jpg,https://commons.wikimedia.org/wiki/File:Philadelphia_skyline_20240528_(cropped_2-1).jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/19/Philadelphia_skyline_20240528_%28cropped_2-1%29.jpg/1920px-Philadelphia_skyline_20240528_%28cropped_2-1%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,颐园居,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-09-17,043ce1237b389b8abf147c54392395e730c19be91a6b9b0e3945ad260cd300b1,philadelphia-pennsylvania.jpg
12060,atlanta-georgia,ok,Atlanta,File:A2ATL20250614-0721_(cropped).jpg,https://commons.wikimedia.org/wiki/File:A2ATL20250614-0721_(cropped).jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c8/A2ATL20250614-0721_%28cropped%29.jpg/1920px-A2ATL20250614-0721_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,AtlChampion,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-09-17,24c5130823ac6b8e0b688a01c1b336069321385036a814426ec83bf6cc55d1bd,atlanta-georgia.jpg
33100,miami-florida,ok,Miami,File:Villa_Vizcaya_20110228.jpg,https://commons.wikimedia.org/wiki/File:Villa_Vizcaya_20110228.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/25/Villa_Vizcaya_20110228.jpg/1920px-Villa_Vizcaya_20110228.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Averette,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,2026-09-17,6b7c813e6a546dbc1d91c75258a6798d61a17d6936b157b4f5a5495e7305b668,miami-florida.jpg
38060,phoenix-arizona,ok,"Phoenix,_Arizona",File:Downtown_Phoenix_Aerial_Looking_Northeast.jpg,https://commons.wikimedia.org/wiki/File:Downtown_Phoenix_Aerial_Looking_Northeast.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b9/Downtown_Phoenix_Aerial_Looking_Northeast.jpg/1920px-Downtown_Phoenix_Aerial_Looking_Northeast.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,DPPed,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2026-09-17,bf78f9db12d11b5d9ebfe8d1124fa2ead1b28c13a653809e5be7439a10733666,phoenix-arizona.jpg
