sex,age,disclosed,level,median_abs_gap,max_abs_gap
male,25,edu,hs_or_less,10.041745075051722,43.33245001231931
male,25,edu,some_college,4.034988785978257,16.829306268789566
male,25,edu,bachelors,10.69041663047092,40.41015217226634
male,25,edu,graduate,18.206847771966707,106.66260491428356
male,25,race,hispanic,35.39672483405203,199.06305530779122
male,25,race,nh_white,19.02978008398476,62.228876944325584
male,25,race,nh_black,32.94684309209492,178.63475481411908
male,25,race,nh_asian,37.0625243585892,338.5026558393749
male,25,race,nh_aian,15.902522700657073,580.6620261204735
male,25,race,nh_nhpi,28.647509048483045,659.683873047497
male,25,race,nh_twoplus,7.975693045912635,75.30920759583054
male,25,race,nh_other,22.737722193021497,206.82731478470313
male,25,both,hs_or_less+hispanic,36.44902627758641,218.02252497195593
male,25,both,hs_or_less+nh_white,22.47801233369394,79.60197882712208
male,25,both,hs_or_less+nh_black,32.28568876946211,202.5967221221304
male,25,both,hs_or_less+nh_asian,24.950651197895105,223.20965349793494
male,25,both,hs_or_less+nh_aian,17.42859652563517,676.0163945802218
male,25,both,hs_or_less+nh_nhpi,30.460998364959252,838.9234746910747
male,25,both,hs_or_less+nh_twoplus,14.3181429784767,84.86007839508687
male,25,both,hs_or_less+nh_other,25.479591267667416,261.7230438689833
male,25,both,some_college+hispanic,35.729099973140535,202.01180020639998
male,25,both,some_college+nh_white,20.029354930970854,65.6539516955906
male,25,both,some_college+nh_black,31.29412613607748,179.689569721685
male,25,both,some_college+nh_asian,29.28290944791459,275.11392955193486
male,25,both,some_college+nh_aian,16.343647678911594,542.1118131754572
male,25,both,some_college+nh_nhpi,29.428533540750507,604.9626218812566
male,25,both,some_college+nh_twoplus,10.032138795998549,76.50118383242307
male,25,both,some_college+nh_other,24.804139334658757,160.39509506955918
male,25,both,bachelors+hispanic,29.68148670347108,157.36731513331728
male,25,both,bachelors+nh_white,16.71138429547868,70.16987732009923
male,25,both,bachelors+nh_black,30.21144347556124,149.11184181576633
male,25,both,bachelors+nh_asian,40.933943456587144,352.723936675466
male,25,both,bachelors+nh_aian,14.161902176904817,314.55246403847406
male,25,both,bachelors+nh_nhpi,26.736920222821425,415.59801406571387
male,25,both,bachelors+nh_twoplus,11.64236736759193,66.42604375161977
male,25,both,bachelors+nh_other,27.17391353382982,340.814508025093
male,25,both,graduate+hispanic,30.90075276525471,145.77939046393183
male,25,both,graduate+nh_white,17.011844213758252,70.94004232981337
male,25,both,graduate+nh_black,32.26699566346578,148.88796154222754
male,25,both,graduate+nh_asian,43.24669007635188,424.3013452170878
male,25,both,graduate+nh_aian,16.038901642765182,284.497722064587
male,25,both,graduate+nh_nhpi,27.885455061399966,850.1330613900965
male,25,both,graduate+nh_twoplus,13.483042745447946,66.4576850803183
male,25,both,graduate+nh_other,29.62390013608976,278.66876365400697
male,30,edu,hs_or_less,9.703722037428108,46.19943481710972
male,30,edu,some_college,3.9566698239076032,21.511225539011747
male,30,edu,bachelors,9.955408230688448,42.266119030151785
male,30,edu,graduate,18.725845287269394,107.49505253620282
male,30,race,hispanic,32.33387946724531,196.48587243461844
male,30,race,nh_white,18.57311611331511,61.71936105068923
male,30,race,nh_black,34.76461884917505,172.05734599443667
male,30,race,nh_asian,39.49427315433927,388.1454951153761
male,30,race,nh_aian,18.411954747058743,580.2845222441672
male,30,race,nh_nhpi,30.737867210629553,646.4764076921185
male,30,race,nh_twoplus,8.603879767006475,58.41567535777179
male,30,race,nh_other,24.67868505031062,119.25740795721318
male,30,both,hs_or_less+hispanic,33.74040842026555,214.57103009675444
male,30,both,hs_or_less+nh_white,23.268675774328756,91.85004000374451
male,30,both,hs_or_less+nh_black,36.87661029931189,193.402374008175
male,30,both,hs_or_less+nh_asian,26.2537609944833,223.7073897752192
male,30,both,hs_or_less+nh_aian,20.373336553773512,682.2046133825351
male,30,both,hs_or_less+nh_nhpi,30.986584876135204,917.6364195975876
male,30,both,hs_or_less+nh_twoplus,13.800358970660568,84.22077637483045
male,30,both,hs_or_less+nh_other,21.861779009110066,189.3259875555901
male,30,both,some_college+hispanic,33.102849144119666,202.28626134409933
male,30,both,some_college+nh_white,20.916665469762904,62.41382882028921
male,30,both,some_college+nh_black,35.35661560175871,175.49763672509562
male,30,both,some_college+nh_asian,32.901615524286484,290.0135342663782
male,30,both,some_college+nh_aian,19.01153721100053,594.6415005850268
male,30,both,some_college+nh_nhpi,31.72426377531763,514.3286518615666
male,30,both,some_college+nh_twoplus,10.74879451842132,65.08080175466401
male,30,both,some_college+nh_other,25.037606924140917,131.42025284060037
male,30,both,bachelors+hispanic,33.07555865886779,157.54421357592548
male,30,both,bachelors+nh_white,14.936740678345231,69.93825950869679
male,30,both,bachelors+nh_black,36.393796949483765,144.21998221912168
male,30,both,bachelors+nh_asian,43.55994483174275,405.0075830360669
male,30,both,bachelors+nh_aian,17.552503233570263,302.3196549084559
male,30,both,bachelors+nh_nhpi,29.25045546697158,366.1583328884337
male,30,both,bachelors+nh_twoplus,11.303820155327067,55.82305559053192
male,30,both,bachelors+nh_other,30.312247049163872,133.64783132781776
male,30,both,graduate+hispanic,32.907605489594275,130.13354061315283
male,30,both,graduate+nh_white,16.45517556456116,92.16706697205343
male,30,both,graduate+nh_black,36.558589226806994,143.4431514012178
male,30,both,graduate+nh_asian,46.44903863201838,504.899791819945
male,30,both,graduate+nh_aian,18.9193141092408,225.410760159027
male,30,both,graduate+nh_nhpi,30.728633797292055,321.08775299903414
male,30,both,graduate+nh_twoplus,15.368775718018313,67.28338938202673
male,30,both,graduate+nh_other,36.17783107874472,143.00143279068448
male,35,edu,hs_or_less,5.95845656184737,38.085947979780826
male,35,edu,some_college,3.569086241789236,14.05856209235948
male,35,edu,bachelors,8.909295269261293,40.639030488898946
male,35,edu,graduate,15.37155996111889,61.22979814826755
male,35,race,hispanic,31.954200147386572,183.16333665680685
male,35,race,nh_white,19.527637774140047,64.003776302532
male,35,race,nh_black,39.664317991175764,189.4192470827841
male,35,race,nh_asian,38.456312606991716,311.8615204186641
male,35,race,nh_aian,19.195460739405107,369.5812044791238
male,35,race,nh_nhpi,30.51062922341316,2648.9818787510017
male,35,race,nh_twoplus,8.241866838159552,84.15654931200521
male,35,race,nh_other,24.11747434362823,160.25090195621974
male,35,both,hs_or_less+hispanic,34.173347964881614,199.2359054103528
male,35,both,hs_or_less+nh_white,22.95271566171388,89.82673264953365
