sex_s,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
male,-52,-9.210340371976182,-9.210340371976182,-9.210987077123987
male,-51,-9.210340371976182,-9.210340371976182,-9.210987077123987
male,-50,-9.210340371976182,-9.210340371976182,-9.210987077123987
male,-49,-7.002861743087961,-7.003006735974302,-7.003653441122106
male,-48,-6.7923195519222235,-6.792443495121951,-6.793090200269755
male,-47,-6.990332478420055,-6.990142734131625,-6.990789439279429
male,-46,-6.710162288884621,-6.710294520926838,-6.710941226074642
male,-45,-6.888538140393249,-6.888317882072226,-6.88896458722003
male,-44,-6.533978855901178,-6.5341357868011976,-6.534782491949001
male,-43,-6.739495047213151,-6.739390993528032,-6.7400376986758355
male,-42,-6.647883970557168,-6.647673682345084,-6.648320387492888
male,-41,-6.154111644021247,-6.154168408089439,-6.154815113237243
male,-40,-5.999902514225216,-5.99988807148255,-6.000534776630354
male,-39,-5.852308260714214,-5.8524277984612505,-5.853074503609054
male,-38,-6.093846453358888,-6.093707115552506,-6.09435382070031
male,-37,-5.9538947225096095,-5.9535850851651055,-5.954231790312909
male,-36,-5.271994691084633,-5.2722645342510654,-5.272911239398869
male,-35,-5.660446956600169,-5.659854388702891,-5.660501093850695
male,-34,-4.851923350669339,-4.852027843249924,-4.852674548397728
male,-33,-4.671099228499514,-4.671226440446608,-4.671873145594412
male,-32,-4.908689545243613,-4.908499339928406,-4.90914604507621
male,-31,-4.648112198268862,-4.648056994963084,-4.648703700110888
male,-30,-4.338047931094396,-4.338087140518496,-4.3387338456663
male,-29,-4.215839010642939,-4.215775586847912,-4.216422291995716
male,-28,-3.9641411252415093,-3.9642085437296486,-3.964855248877453
male,-27,-3.9530665711845696,-3.9529342363599747,-3.953580941507779
male,-26,-3.624690963204946,-3.624750795032129,-3.6253975001799335
male,-25,-3.5418513386784003,-3.5418216958112256,-3.54246840095903
male,-24,-3.394777171205876,-3.394731091251756,-3.3953777963995604
male,-23,-3.1637434766511703,-3.16376383298654,-3.1644105381343444
male,-22,-3.0383780867372545,-3.03835480611485,-3.0390015112626543
male,-21,-2.8751005275782173,-2.8750337668471144,-2.8756804719949187
male,-20,-2.5859638445524684,-2.5859702438066865,-2.586616948954491
male,-19,-2.3878273402076804,-2.3878171072395338,-2.388463812387338
male,-18,-2.204717419701748,-2.20468717962141,-2.2053338847692143
male,-17,-1.9827447435036851,-1.98272414944397,-1.983370854591774
