sex_s,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
male,-52,-9.210340371976182,-9.210340371976182,-9.212158970184149
male,-51,-9.210340371976182,-9.210340371976182,-9.212158970184149
male,-50,-9.210340371976182,-9.210340371976182,-9.212158970184149
male,-49,-5.470320014758635,-5.470471459001126,-5.472290057209093
male,-48,-5.27044618686383,-5.270599683794195,-5.272418282002162
male,-47,-5.5675230416689185,-5.567201787820492,-5.569020386028459
male,-46,-5.1232790054472925,-5.123531451394056,-5.125350049602023
male,-45,-5.610259793469785,-5.609893982945377,-5.611712581153344
male,-44,-5.214109001570241,-5.214381222042263,-5.21619982025023
male,-43,-5.842455829672761,-5.841885382744798,-5.843703980952765
male,-42,-5.241234725871492,-5.241365722092648,-5.243184320300615
male,-41,-5.233392982349441,-5.233202841849645,-5.235021440057611
male,-40,-4.816739601873941,-4.816878299071212,-4.818696897279179
male,-39,-4.9200635591199005,-4.920059194808954,-4.921877793016921
male,-38,-5.003950564824123,-5.003921989599753,-5.00574058780772
male,-37,-5.000301915879673,-4.999732183185169,-5.001550781393136
male,-36,-4.054322029753887,-4.054678257317032,-4.0564968555249985
male,-35,-4.671383845631529,-4.670809567503572,-4.672628165711539
male,-34,-4.0522882084896965,-4.052376670724717,-4.054195268932684
male,-33,-3.908971798198838,-3.9091016941157135,-3.9109202923236803
male,-32,-4.190816787855615,-4.190491826692847,-4.192310424900814
male,-31,-3.7032685459653196,-3.703273723715567,-3.7050923219235337
male,-30,-3.4188814934358582,-3.419009703022124,-3.420828301230091
male,-29,-3.5720128319139484,-3.5718339585733037,-3.5736525567812705
male,-28,-3.2651081197952023,-3.265188953723446,-3.267007551931413
male,-27,-3.2546898447887394,-3.2545237010780155,-3.2563422992859823
male,-26,-2.8627688872606214,-2.8628543954279584,-2.864672993635925
male,-25,-2.813946281251152,-2.8139237273302937,-2.8157423255382605
male,-24,-2.7124895979040535,-2.7124777449079494,-2.714296343115916
male,-23,-2.5983303700814,-2.5983180022089205,-2.6001366004168873
male,-22,-2.473815637699888,-2.473817201414545,-2.475635799622512
male,-21,-2.377331954802215,-2.377232148246687,-2.379050746454654
male,-20,-2.064030957698877,-2.0640621566241477,-2.0658807548321145
male,-19,-1.9189219787264746,-1.9189154095281673,-1.920734007736134
male,-18,-1.786722231857506,-1.7866926587090497,-1.7885112569170163
male,-17,-1.6072619271148834,-1.6072527143123494,-1.609071312520316
male,-16,-1.4457070230802103,-1.4457119550269597,-1.4475305532349263
male,-15,-1.3311897349790578,-1.3311602539861944,-1.332978852194161
male,-14,-1.1637144306248852,-1.1636834470357678,-1.1655020452437344
male,-13,-0.9568572545035313,-0.9568485405576039,-0.9586671387655706
male,-12,-0.7771462683506005,-0.7771173741401702,-0.7789359723481369
male,-11,-0.5658293847399755,-0.5658033444152087,-0.5676219426231754
male,-10,-0.3401724237873158,-0.34017878587764394,-0.3419973840856106
male,-9,-0.18147045710121096,-0.1814403933350774,-0.18325899154304404
male,-8,0.023989469773967535,0.024007175416865915,0.022188577208899253
male,-7,0.2326580887914866,0.23268801524779564,0.230869417039829
male,-6,0.4745204337736326,0.474550629855464,0.47273203164749733
male,-5,0.7400357716375878,0.7400583070779944,0.7382397088700277
male,-4,1.0052658131537562,1.005308970755885,1.0034903725479185
male,-3,1.3203232714264357,1.3203332409283435,1.3185146427203769
male,-2,1.5917648138158451,1.5917852524281344,1.5899666542201678
male,-1,1.8644908706458432,1.8644526298346749,1.8626340316267083
male,0,1.9922769283897679,1.9921074726624461,1.9902888744544796
male,1,1.484761022480133,1.4848590372395156,1.483040439031549
male,2,0.950165329462673,0.9503085147392089,0.9484899165312421
male,3,0.5617002046266115,0.5617794791522625,0.5599608809442957
male,4,0.2506844076370604,0.25075039202399757,0.24893179381603092
male,5,0.04188079519522304,0.04188485283012435,0.04006625462215769
male,6,-0.2273750256884319,-0.22732707993730844,-0.2291456781452751
male,7,-0.4281839525762552,-0.4281860944607085,-0.43000469266867514
male,8,-0.7066234974938695,-0.7065696314693138,-0.7083882296772805
male,9,-0.8988148538192451,-0.8987896457068459,-0.9006082439148126
male,10,-1.0572658872814962,-1.0573006219333463,-1.0591192201413129
male,11,-1.395623852591099,-1.3955371360472488,-1.3973557342552154
male,12,-1.5677460382554746,-1.5677595599841185,-1.5695781581920851
male,13,-1.8400231577979407,-1.839981495913071,-1.8418000941210375
male,14,-2.063627608977092,-2.0636113098066624,-2.0654299080146292
male,15,-2.301800450336853,-2.301759065441916,-2.303577663649883
male,16,-2.46952702123817,-2.469510746402834,-2.4713293446108007
male,17,-2.6215932572163614,-2.621601461365823,-2.6234200595737898
male,18,-2.840618566364338,-2.840598947543792,-2.8424175457517586
male,19,-3.059098587052019,-3.059065899622985,-3.0608844978309517
male,20,-3.2284324328975464,-3.228462049050633,-3.2302806472585996
male,21,-3.562131490717961,-3.562060130968944,-3.5638787291769107
male,22,-3.781818379493447,-3.7817009648454025,-3.7835195630533693
male,23,-3.6856391007690754,-3.6858253122758318,-3.6876439104837986
male,24,-4.326068327539323,-4.325606103045432,-4.327424701253399
male,25,-3.9401321059863346,-3.9403246773832135,-3.9421432755911803
male,26,-4.232748223977526,-4.232716455293487,-4.234535053501454
male,27,-4.537098609750547,-4.536985376588646,-4.538803974796613
male,28,-4.567753949892297,-4.567846226922848,-4.569664825130815
male,29,-4.952218990541459,-4.952002235590753,-4.95382083379872
male,30,-4.798304649465244,-4.798291356381531,-4.800109954589498
male,31,-4.6191941840955675,-4.619427263873364,-4.621245862081331
male,32,-5.419974521421401,-5.419413763148702,-5.421232361356669
male,33,-5.080690383527312,-5.080691394889275,-5.082509993097242
male,34,-4.803058585209485,-4.8030684361871785,-4.804887034395145
male,35,-4.583829236042135,-4.584065215416242,-4.585883813624209
male,36,-5.349092883803313,-5.348672577309704,-5.3504911755176705
male,37,-5.342101379925879,-5.341907833490508,-5.3437264316984745
male,38,-4.83988599402442,-4.840299628237582,-4.842118226445549
male,39,-7.144885817067328,-7.139964798393747,-7.1417833966017135
male,40,-5.327954604106544,-5.328252884864808,-5.330071483072775
male,41,-5.244561658156511,-5.244771945151062,-5.246590543359029
male,42,-6.273197921034824,-6.271885197398982,-6.273703795606949
male,43,-5.119797735674184,-5.1202672467979795,-5.122085845005946
male,44,-6.349541343670275,-6.348636657065024,-6.3504552552729905
male,45,-7.0792801830552765,-7.075983036983888,-7.077801635191855
male,46,-4.543632557322936,-4.544116479694995,-4.5459350779029615
male,47,-4.839882264938943,-4.83975281655961,-4.841571414767577
male,48,-5.059700277350353,-5.059494246856705,-5.061312845064672
male,49,-4.739109934467481,-4.73944054633016,-4.741259144538127
male,50,-9.210340371976182,-9.210340371976182,-9.212158970184149
male,51,-9.210340371976182,-9.210340371976182,-9.212158970184149
male,52,-9.210340371976182,-9.210340371976182,-9.212158970184149
female,-52,-9.210340371976182,-9.210340371976182,-9.21195297735421
female,-51,-9.210340371976182,-9.210340371976182,-9.21195297735421
female,-50,-9.210340371976182,-9.210340371976182,-9.21195297735421
female,-49,-7.052497794941296,-7.052415016484362,-7.054027621862391
female,-48,-6.453533338467146,-6.453650463378986,-6.455263068757016
female,-47,-6.439527734359769,-6.439058563567466,-6.440671168945495
female,-46,-5.651347776586509,-5.651859130651138,-5.653471736029167
