sex_s,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
male,-52,-9.210340371976182,-9.210340371976182,-9.210682428032047
male,-51,-9.210340371976182,-9.210340371976182,-9.210682428032047
male,-50,-9.210340371976182,-9.210340371976182,-9.210682428032047
male,-49,-7.939963063773024,-7.940112820190237,-7.940454876246102
male,-48,-7.730317219347483,-7.730427458677862,-7.730769514733727
male,-47,-7.890643428898628,-7.890436138855216,-7.890778194911082
male,-46,-7.553534011459018,-7.553666612054488,-7.554008668110353
male,-45,-7.697934955855383,-7.697742124528072,-7.698084180583938
male,-44,-7.370416548070653,-7.370544909610833,-7.370886965666698
male,-43,-7.502914736320282,-7.502846084457931,-7.503188140513797
male,-42,-7.436111626951512,-7.435859011814403,-7.436201067870268
male,-41,-6.877579787611781,-6.8776553415310095,-6.877997397586875
male,-40,-6.732666636566501,-6.732637897088847,-6.732979953144713
male,-39,-6.55312567909307,-6.5532452514215365,-6.553587307477402
male,-38,-6.767217078987372,-6.767068924893657,-6.767410980949522
male,-37,-6.581415561590743,-6.5811456929966,-6.5814877490524655
male,-36,-5.928980494651289,-5.929230913886139,-5.929572969942004
male,-35,-6.255259996067907,-6.254674987524814,-6.25501704358068
male,-34,-5.41377780098876,-5.413876298662161,-5.4142183547180265
male,-33,-5.19736771698012,-5.197497664401194,-5.197839720457059
male,-32,-5.412979453758092,-5.412806588869245,-5.41314864492511
male,-31,-5.17122127452435,-5.1711530118404445,-5.17149506789631
male,-30,-4.836873693271309,-4.836894375129881,-4.8372364311857465
male,-29,-4.649456210308148,-4.649411280685772,-4.649753336741638
male,-28,-4.393991090738101,-4.394052572155995,-4.39439462821186
male,-27,-4.360438719902527,-4.360305939579454,-4.360647995635319
male,-26,-4.011830999503545,-4.011888640884179,-4.012230696940045
male,-25,-3.9058362529323922,-3.9058058266689253,-3.9061478827247904
male,-24,-3.73672784435619,-3.7366708244380096,-3.7370128804938747
male,-23,-3.4622950980726728,-3.462323020940679,-3.462665076996544
male,-22,-3.323763243231085,-3.323729848625836,-3.324071904681701
male,-21,-3.1231523566583372,-3.123090772598656,-3.123432828654521
male,-20,-2.8181583916026454,-2.8181608606018846,-2.8185029166577498
male,-19,-2.5965671676586095,-2.5965549575706848,-2.59689701362655
male,-18,-2.3896592789930877,-2.3896265846292057,-2.389968640685071
male,-17,-2.143052058372363,-2.1430304500404995,-2.1433725060963646
male,-16,-1.896703062997702,-1.8966801087974443,-1.8970221648533097
male,-15,-1.6463990963855246,-1.646389994717449,-1.6467320507733143
male,-14,-1.425432626065796,-1.4254023406450418,-1.4257443967009071
male,-13,-1.1719890259496106,-1.1719606173828006,-1.172302673438666
male,-12,-0.9024664866244846,-0.9024417882468726,-0.902783844302738
male,-11,-0.6310896747130175,-0.6310410783855632,-0.6313831344414286
male,-10,-0.30478697183904385,-0.3048016558949885,-0.3051437119508538
male,-9,-0.09153983570166291,-0.09149601407827351,-0.09183807013413885
male,-8,0.1913557156022615,0.19138140998658043,0.1910393539307151
male,-7,0.4755553434780988,0.4755809702017388,0.47523891414587344
male,-6,0.7608874549875704,0.7609235474905983,0.760581491434733
male,-5,1.0707940023422409,1.0708094031404984,1.070467347084633
male,-4,1.3484246564787092,1.3484575456428356,1.3481154895869703
male,-3,1.6474718444133816,1.6474829353366913,1.647140879280826
male,-2,1.9092670892785042,1.9092680494396725,1.9089259933838072
male,-1,2.1240892594622376,2.1240413987242173,2.123699342668352
male,0,2.1760687681340665,2.175918148821618,2.175576092765753
male,1,1.642425610624414,1.6425338432783723,1.642191787222507
male,2,1.0917129794285927,1.0918567537565356,1.0915146977006702
male,3,0.6699730133441004,0.6700652690231849,0.6697232129673195
male,4,0.3444796796623584,0.34453219233337584,0.3441901362775105
male,5,0.05617234048611421,0.05620597366335084,0.055863917607485505
male,6,-0.23742607419232928,-0.23738291599358108,-0.2377249720494464
male,7,-0.5022924727178548,-0.5022739723327556,-0.502616028388621
male,8,-0.8148242008161811,-0.8147639133043922,-0.8151059693602576
male,9,-1.0477046036387505,-1.0476708702559634,-1.0480129263118287
male,10,-1.243644784090867,-1.2436666106757328,-1.2440086667315982
male,11,-1.6018651586313852,-1.6017837869503138,-1.602125843006179
male,12,-1.8411788488111425,-1.8411571672782008,-1.8414992233340661
male,13,-2.0963710041235735,-2.09634844801465,-2.0966905040705153
male,14,-2.377325950134385,-2.377279190352471,-2.377621246408336
male,15,-2.6087301930935047,-2.6087066078562224,-2.6090486639120876
male,16,-2.844135300677603,-2.8441114360844497,-2.844453492140315
male,17,-3.0866566823105437,-3.0866149820465374,-3.0869570381024025
male,18,-3.274009696183094,-3.2739888110040334,-3.2743308670598985
male,19,-3.451045251034441,-3.4510292133910743,-3.4513712694469394
male,20,-3.631077840359277,-3.6310728311656697,-3.631414887221535
male,21,-3.859793152352088,-3.8597293132828514,-3.8600713693387165
male,22,-3.950513256745944,-3.950509594067744,-3.9508516501236093
male,23,-4.051631043915876,-4.051730044459656,-4.052072100515521
male,24,-4.623087346881671,-4.622740304822902,-4.623082360878768
male,25,-4.417283917214456,-4.41738369991028,-4.417725755966146
male,26,-4.531294246298429,-4.53130519691262,-4.531647252968486
male,27,-4.724679481922856,-4.724585351585831,-4.7249274076416965
male,28,-4.672250445891531,-4.672373507580544,-4.67271556363641
male,29,-5.089533205763657,-5.089305004392855,-5.089647060448721
male,30,-4.970727843808642,-4.970721595500888,-4.9710636515567534
male,31,-4.826383532441711,-4.826584433720025,-4.82692648977589
male,32,-5.525036534540601,-5.524438516388349,-5.5247805724442145
male,33,-4.972245038090609,-4.9723919509363315,-4.972734006992197
male,34,-4.931117301908296,-4.930960035733921,-4.931302091789787
male,35,-4.470084112903409,-4.47038175814025,-4.470723814196115
male,36,-5.245193865238733,-5.244755767434302,-5.245097823490168
male,37,-5.298313748406305,-5.297897515010143,-5.298239571066008
male,38,-4.428488279733426,-4.428903663939263,-4.429245719995128
male,39,-5.515941812316558,-5.515068507266753,-5.515410563322619
male,40,-5.243795220032575,-5.243840873906425,-5.244182929962291
male,41,-5.0743291461665345,-5.074357339135896,-5.074699395191762
male,42,-4.9493485653954155,-4.949299189521802,-4.949641245577667
male,43,-4.632149629624725,-4.632470300946196,-4.632812357002061
male,44,-6.256103495519132,-6.254370469982519,-6.254712526038385
male,45,-6.532131001957995,-6.530232210480516,-6.530574266536382
male,46,-4.409434270081918,-4.4099040802804295,-4.410246136336295
male,47,-4.694758066330237,-4.694633063285251,-4.694975119341117
male,48,-4.910942582931832,-4.910738415015155,-4.9110804710710205
male,49,-4.591017099043603,-4.591347049965636,-4.5916891060215015
male,50,-9.210340371976182,-9.210340371976182,-9.210682428032047
male,51,-9.210340371976182,-9.210340371976182,-9.210682428032047
male,52,-9.210340371976182,-9.210340371976182,-9.210682428032047
female,-52,-9.210340371976182,-9.210340371976182,-9.211653393335322
female,-51,-9.210340371976182,-9.210340371976182,-9.211653393335322
female,-50,-9.210340371976182,-9.210340371976182,-9.211653393335322
female,-49,-9.456025664909447,-9.210340371976182,-9.211653393335322
female,-48,-8.872945548105355,-8.873061988289544,-8.874375009648684
female,-47,-8.868982731747845,-8.868507531987225,-8.869820553346365
female,-46,-8.07366795838181,-8.074136291621038,-8.075449312980178
female,-45,-9.764127706623183,-9.210340371976182,-9.211653393335322
female,-44,-9.497284304793515,-9.210340371976182,-9.211653393335322
