msa_code,metro_name,pew_total,national_only,raw_dial,shrunk_dial,random_pairing,observed_2020_24,corrected_national_only,corrected_shrunk_dial,corrected_raw_dial
10420,"Akron, OH",0.12,0.15949913213943848,0.14744467660499358,0.15051037465721945,0.40798100068542964,0.151190549060415,0.10700151422352268,0.10097132052475939,0.09891466774339193
10580,"Albany-Schenectady-Troy, NY",0.14,0.17496981430812508,0.18504363607300733,0.18553009929887002,0.4144971084950459,0.20439889560627628,0.11738016892788267,0.12446463684620211,0.12413828835086448
10740,"Albuquerque, NM",0.28,0.2415084403266802,0.34841355209633706,0.3423637117124266,0.6184850923817786,0.3302864813700553,0.1620182408900161,0.22967796173579982,0.23373655486546724
10900,"Allentown-Bethlehem-Easton, PA-NJ",0.17,0.20102924425641117,0.2208075594879558,0.22108176087668635,0.5148746577710441,0.22836801752464403,0.13486238608396559,0.14831480813530323,0.1481308575181255
11260,"Anchorage, AK",0.28,0.29382497854416123,0.37849673001482753,0.37160102030894226,0.6135268946838598,0.3328064484350374,0.19711528958937444,0.24929208909614578,0.25391814172902477
11700,"Asheville, NC",0.03,0.14773552705904858,0.16034312126169248,0.16057489307068543,0.3266104100958275,0.19611621684776695,0.0991097875448544,0.10772319870570092,0.10756771237681677
12060,"Atlanta-Sandy Springs-Roswell, GA",0.14,0.22627183119025138,0.2156998415513804,0.21617525328946796,0.6845721680680046,0.20970477569237966,0.15179661631211833,0.14502323071830137,0.14470429621895542
12260,"Augusta-Richmond County, GA-SC",0.13,0.19468117721229944,0.17598404039893745,0.18189513750917502,0.6172101916493712,0.1918361684222413,0.13060372475458246,0.12202608805646963,0.11806057217538782
12420,"Austin-Round Rock, TX",0.21,0.23292010406869676,0.3161472906474616,0.31450517207938755,0.633735024823064,0.33951334940779215,0.15625667358906284,0.2109887946863816,0.21209042559158853
12540,"Bakersfield, CA",0.17,0.2185923928393766,0.22305377193613712,0.22453982603788347,0.5746510988630216,0.21002742182144177,0.1466447918419298,0.15063468413442918,0.14963775056512346
12580,"Baltimore-Columbia-Towson, MD",0.15,0.20905509451845658,0.21740381210271295,0.2179408725655041,0.633641448920214,0.2252925658758413,0.14024660428911134,0.14620771325149123,0.145847421117124
12940,"Baton Rouge, LA",0.08,0.18630452942292663,0.1453081296122146,0.15530026274710446,0.6135642534299823,0.14134161214037183,0.12498417068204723,0.10418466263956694,0.09748134481322573
13140,"Beaumont-Port Arthur, TX",0.11,0.2141468746887024,0.20112012743615681,0.20879401244169987,0.6450719310612482,0.19019044310393834,0.1436624735857123,0.14007145488751355,0.13492335593201296
13820,"Birmingham-Hoover, AL",0.06,0.16390207995258002,0.13829228893232842,0.14179064628109983,0.5780461134726799,0.15192787943625352,0.10995527376273713,0.09512160756803344,0.0927747011705348
14260,"Boise City, ID",0.23,0.1752964108966664,0.22651008876717357,0.22293224109886084,0.39871297744094175,0.25190001390680655,0.11759926936463994,0.14955622044368025,0.15195645368028418
14460,"Boston-Cambridge-Newton, MA-NH",0.14,0.21132175964189437,0.20613456661474702,0.2068196327580069,0.5353074454625485,0.20711708918953284,0.14176721820839874,0.13874692344352665,0.13828734028662276
14860,"Bridgeport-Stamford-Norwalk, CT",0.15,0.2223875704969851,0.23012237630650287,0.23186209174634276,0.6357472146822234,0.23028970715239067,0.14919082297491665,0.15554689593046056,0.15437979123287404
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",0.16,0.16815322378232817,0.16032605215938517,0.16254746350414895,0.43718465710178406,0.17068475127217847,0.1128071941516667,0.10904651639691335,0.10755626140671543
15980,"Cape Coral-Fort Myers, FL",0.11,0.21019223923362174,0.20778346393387268,0.21013370976477386,0.5767355615848491,0.2028161133905259,0.14100946866825778,0.14097020361578122,0.13939351878163367
16860,"Chattanooga, TN-GA",0.05,0.16248790635714214,0.16012956403113632,0.16302458755056218,0.4288745012315442,0.19310456135024343,0.10900656191674106,0.10936659961463292,0.10742444547162186
16700,"Charleston-North Charleston, SC",0.13,0.1759152900641357,0.17188517971745382,0.17392759423308793,0.547595205808847,0.19025983830453105,0.11801445035749146,0.11668098564903175,0.11531081238906755
16740,"Charlotte-Concord-Gastonia, NC-SC",0.16,0.20851553487164845,0.1904671291918396,0.1916335410924426,0.6236978991402388,0.19544493895248088,0.13988463555330716,0.1285591889928336,0.12777669044316287
16980,"Chicago-Naperville-Elgin, IL-IN-WI",0.19,0.22158624534836602,0.2339507285087888,0.2341232849945844,0.6744716768446173,0.2335988919415171,0.14865324635529797,0.1570638389900776,0.15694807782560258
17140,"Cincinnati, OH-KY-IN",0.09,0.15640313049719792,0.15299907448427252,0.15408957832180553,0.4050106524574796,0.17133492015881818,0.10492453198973446,0.10337246344439785,0.1026408885429082
17300,"Clarksville, TN-KY",0.21,0.214102918874023,0.2724373584912944,0.26788897109914384,0.5571906588493059,0.3109436592499889,0.14363298540814962,0.17971587159690994,0.18276720066501934
17820,"Colorado Springs, CO",0.18,0.22445271512044984,0.32043318546451127,0.3122315747310634,0.5162470080797918,0.33305931027047425,0.15057624494453659,0.20946353021790418,0.21496565901183148
17900,"Columbia, SC",0.12,0.18306674082162008,0.1705922171396657,0.17348014393366615,0.6095002257839636,0.17948273842321735,0.1228120693142944,0.11638080934753285,0.11444341611046757
18140,"Columbus, OH",0.11,0.1823831190001325,0.1848214582835419,0.18547135452538263,0.4893317841602778,0.1982287061899182,0.12235345509442852,0.1244252273545544,0.12398923826149563
18580,"Corpus Christi, TX",0.22,0.19360398659298167,0.2387385499941478,0.23526633155375373,0.5016407468511336,0.2611688686130015,0.1298810811525244,0.15783066267757065,0.16016003353905095
19100,"Dallas-Fort Worth-Arlington, TX",0.19,0.23309048637000704,0.24877446201207765,0.24902585537439614,0.6994099210260265,0.2561002216855432,0.15637097618113682,0.16706137048177522,0.16689272084667683
19660,"Deltona-Daytona Beach-Ormond Beach, FL",0.15,0.19929282730729694,0.20741851145918846,0.20888109129600663,0.5132093195802224,0.21879303868786779,0.13369749421034596,0.14012987256755163,0.13914868693278892
19740,"Denver-Aurora-Lakewood, CO",0.22,0.21290568228316917,0.27755535316652086,0.27670637826198535,0.5475067893967568,0.2957520435135198,0.142829807820994,0.18563111329944512,0.18620065621234105
19780,"Des Moines-West Des Moines, IA",0.11,0.16423431516906606,0.14581910666670694,0.15388904475012563,0.38337251677570416,0.1623825553588291,0.11017815692683677,0.10323793358498995,0.0978241386443317
19820,"Detroit-Warren-Dearborn, MI",0.1,0.18320828236251127,0.17642806790085733,0.17743415153046105,0.5571642420167643,0.1908461065046475,0.12290702380713546,0.11903339306026738,0.11835845226053322
21340,"El Paso, TX",0.22,0.12988467779482296,0.14385648942409326,0.14276948670057474,0.279192194846968,0.19487979597049188,0.0871343750405521,0.09577827200038558,0.09650749814614223
21660,"Eugene, OR",0.23,0.18657772847482554,0.24516436358077698,0.23528490714060346,0.36541588821592247,0.27169316748683203,0.12516744887200038,0.1578431242871973,0.16447085187808938
22180,"Fayetteville, NC",0.29,0.24295203496651238,0.2824171621017747,0.2819627465499303,0.6823142239196393,0.2946475779523632,0.16298669012428504,0.18915739810477505,0.1894622471123017
22220,"Fayetteville-Springdale-Rogers, AR-MO",0.17,0.2799470355468372,0.23663084911057417,0.24566117982481842,0.5915492276975218,0.22949753596056913,0.18780513915091807,0.16480414579442745,0.15874606229640198
23060,"Fort Wayne, IN",0.15,0.18548958702649265,0.1978371948214178,0.19898696135120195,0.45477443115955796,0.22318486141730015,0.12443745880183994,0.13349230111611032,0.13272096927222998
23420,"Fresno, CA",0.23,0.22393003717687152,0.26090474642372047,0.26065155484815844,0.5991467491366761,0.26393284711710474,0.15022560146037503,0.17486058186878556,0.1750304378523911
23540,"Gainesville, FL",0.22,0.21225611241808656,0.2706814589674758,0.26629638672520783,0.5791448645507723,0.2759131587132385,0.14239403768089665,0.17864747117833651,0.1815892387203192
24340,"Grand Rapids-Wyoming, MI",0.16,0.1829826835650279,0.20380274732984946,0.20368452821141445,0.42344146424395007,0.22462098944096529,0.12275567870190551,0.1366437086533598,0.13672301707662857
24660,"Greensboro-High Point, NC",0.09,0.21150412661025345,0.1972609998508757,0.20113974664642378,0.6271100523249349,0.19738553262117056,0.14188956082868157,0.13493651766636397,0.13233442338004242
24860,"Greenville-Anderson-Mauldin, SC",0.06,0.1983130454967826,0.19992710401978947,0.2017157812467373,0.5209216481305455,0.20576848147734839,0.1330401982368353,0.13532295597265398,0.13412300479315017
25420,"Harrisburg-Carlisle, PA",0.16,0.18517808550391793,0.2083810689285566,0.20794327958786202,0.4608830064493085,0.2172310062731575,0.12422848503407494,0.13950073263755944,0.13979442779274237
25540,"Hartford-West Hartford-East Hartford, CT",0.17,0.21250181278264577,0.22067981898131472,0.22163734474447316,0.5770952767606218,0.22469291196986058,0.14255886811414392,0.14868752687260256,0.14804516158075623
25860,"Hickory-Lenoir-Morganton, NC",0.1,0.15547277541380264,0.14569879418327739,0.15238808556197359,0.38100544505320466,0.17019387861727608,0.10430039440758249,0.10223100079629256,0.09774342586718819
46520,"Honolulu, HI",0.42,0.3044152268651675,0.49582094159750745,0.49000882313416383,0.765344687521874,0.4823156757703592,0.20421985869361342,0.32872709308790865,0.3326262081995857
26420,"Houston-The Woodlands-Sugar Land, TX",0.19,0.23257043446739126,0.23762024714572175,0.23803494563521946,0.7029648248222531,0.23555427977099141,0.15602209440160422,0.1596880138433338,0.15940980940593494
26900,"Indianapolis-Carmel-Anderson, IN",0.11,0.1839658635621096,0.17766687595136224,0.17899037954738167,0.5083318027533826,0.18630780627659776,0.12341525438128946,0.1200774034699416,0.11918951845793695
27140,"Jackson, MS",0.03,0.1529767851177647,0.11120267208943911,0.12434986894016069,0.5594076882577084,0.12457132125235705,0.10262593550877297,0.0834212957250554,0.07460137330947698
27260,"Jacksonville, FL",0.16,0.21741093466171502,0.2371579890260835,0.2375535662614674,0.6013983534445217,0.251600073249938,0.14585219935377108,0.15936507589867835,0.15909969913699523
28020,"Kalamazoo-Portage, MI",0.2,0.173329882632355,0.2503228298955555,0.23293052254487104,0.4397286609969559,0.23583217339431298,0.11628000512023816,0.15626366292318394,0.16793145821085484
28140,"Kansas City, MO-KS",0.13,0.19725160375536718,0.22602135029485781,0.22582975955938708,0.50403634913852,0.23850573260293245,0.1323281199197432,0.1515000483417272,0.1516285788141604
28940,"Knoxville, TN",0.12,0.1370133369785649,0.14094913714426166,0.14219169271346882,0.3086575161564991,0.1618203109615547,0.09191670405270602,0.09539065339268349,0.0945570731366116
29180,"Lafayette, LA",0.09,0.16929231226172858,0.14237414319169076,0.15142555551742523,0.5361081886682751,0.1358222598126578,0.11357136252359151,0.10158527833454105,0.09551305203635439
29460,"Lakeland-Winter Haven, FL",0.15,0.22051487675053952,0.21751489056349363,0.22006154565450037,0.6388269729901503,0.22470739366257494,0.14793450851189235,0.14763038702188705,0.14592193916209217
29540,"Lancaster, PA",0.11,0.1810969363992586,0.18418403510677897,0.1878371875385863,0.4233767675525621,0.17523967551622419,0.12149060722801418,0.12601236899863233,0.12356161684312217
29620,"Lansing-East Lansing, MI",0.11,0.19708326175732904,0.2287676025944107,0.22741829295550955,0.46348132936955866,0.2554959393724295,0.13221518608458133,0.152565731123193,0.15347092836522314
29820,"Las Vegas-Henderson-Paradise, NV",0.31,0.2728276373558093,0.3460535985799049,0.34513541547909987,0.7230251314516868,0.34807692307692306,0.18302902296406495,0.23153738564635634,0.23215335753788172
30780,"Little Rock-North Little Rock-Conway, AR",0.14,0.1808326511704772,0.18442330804451063,0.1865256466980845,0.5639024657529719,0.2225204017576899,0.12131330896132643,0.12513250931527684,0.12372213537577234
31080,"Los Angeles-Long Beach-Anaheim, CA",0.22,0.23539141080914242,0.27623939694390964,0.27620052834622816,0.6725857116599802,0.2699885192256924,0.15791457328915215,0.18529175905826628,0.18531783442778008
31140,"Louisville-Jefferson County, KY-IN",0.09,0.18642999404827165,0.17398519578875907,0.17598366592206063,0.4674946416842844,0.18597165980830327,0.1250683398227399,0.11806032095400296,0.11671962820210253
32580,"McAllen-Edinburg-Mission, TX",0.11,0.0710954548597321,0.06845691424322008,0.07222029038466987,0.14517378583774396,0.06686392806363602,0.04769506405684334,0.04844967069831103,0.04592497391578706
32820,"Memphis, TN-MS-AR",0.1,0.1779709564405911,0.1293779751953716,0.13521699361178813,0.5942233493930595,0.1361128975387301,0.11939351375469426,0.09071160997017234,0.08679444876838346
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",0.24,0.22084895516410508,0.20965146727696285,0.21019892620598438,0.6557647035616107,0.19852444759785692,0.14815862820233466,0.14101395468745284,0.14064668664282623
33340,"Milwaukee-Waukesha-West Allis, WI",0.13,0.1973052180439544,0.20892754783854786,0.2094367362464553,0.5715401250166928,0.22801043766730272,0.13236408757665705,0.14050263228273732,0.14016103838225435
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",0.15,0.1956556977825752,0.20129861027425877,0.20196736861239845,0.47194218546236677,0.2094622957924228,0.13125749117489321,0.1354917357567453,0.13504309284646293
33660,"Mobile, AL",0.1,0.16317857878721861,0.14776186833220392,0.1557808269509546,0.5818506339990036,0.16238396340643077,0.10946990610463304,0.10450705371971798,0.09912745883921438
33700,"Modesto, CA",0.26,0.23327614415711265,0.28362564890090863,0.2801077343213157,0.602123397659793,0.2698971371917214,0.15649552647856615,0.18791294545664786,0.19027297200899532
34980,"Nashville-Davidson–Murfreesboro–Franklin, TN",0.1,0.1856019648660857,0.18626949794330586,0.18729916166755536,0.5096601409447207,0.207401922394253,0.12451284854747889,0.1256514292109386,0.12496066947978592
35300,"New Haven-Milford, CT",0.1,0.21516391649224528,0.2443050677657683,0.24408628282321138,0.6083834685332347,0.2663317630383124,0.1443447657809612,0.16374761111829694,0.1638943850839536
35380,"New Orleans-Metairie, LA",0.16,0.2234408541437956,0.18755460875747365,0.19162368409447764,0.6741817445045387,0.20161680835037124,0.14989742835642475,0.12855257633172504,0.12582279832786494
