sex,age,edu,race,n,pearson_log_pool,spearman
female,25,,,193,0.323,0.348
female,25,,hispanic,193,0.101,0.12
female,25,,nh_asian,193,0.415,0.423
female,25,,nh_twoplus,193,0.025,0.092
female,25,hs_or_less,,193,-0.27,-0.234
female,25,hs_or_less,nh_twoplus,193,-0.382,-0.372
female,25,some_college,hispanic,193,0.076,0.085
female,25,some_college,nh_white,193,-0.305,-0.287
female,25,some_college,nh_asian,193,0.345,0.282
female,25,some_college,nh_aian,193,-0.165,-0.252
female,25,bachelors,hispanic,193,0.218,0.241
female,25,bachelors,nh_asian,193,0.429,0.439
female,25,bachelors,nh_twoplus,193,0.267,0.321
female,25,graduate,,193,0.372,0.404
female,25,graduate,nh_black,193,0.209,0.294
female,30,,nh_white,193,-0.123,-0.123
female,30,,nh_nhpi,193,-0.025,-0.037
female,30,,nh_other,193,0.067,0.145
female,30,hs_or_less,hispanic,193,0.038,0.041
female,30,hs_or_less,nh_aian,193,-0.193,-0.3
female,30,hs_or_less,nh_nhpi,193,-0.046,-0.095
female,30,some_college,nh_white,193,-0.286,-0.278
female,30,some_college,nh_asian,193,0.332,0.229
female,30,bachelors,nh_white,193,0.061,0.071
female,30,bachelors,nh_asian,193,0.414,0.38
female,30,bachelors,nh_aian,193,-0.017,0.085
female,30,bachelors,nh_nhpi,193,0.098,0.12
female,30,bachelors,nh_other,193,0.11,0.223
female,30,graduate,,193,0.405,0.402
female,30,graduate,nh_aian,193,0.088,0.177
female,30,graduate,nh_other,193,0.173,0.294
female,35,,nh_twoplus,193,0.017,0.049
female,35,hs_or_less,,193,-0.118,-0.074
female,35,hs_or_less,nh_aian,193,-0.173,-0.241
female,35,hs_or_less,nh_twoplus,193,-0.253,-0.205
female,35,some_college,nh_asian,193,0.293,0.18
female,35,some_college,nh_aian,193,-0.152,-0.155
female,35,some_college,nh_twoplus,193,-0.12,-0.096
female,35,bachelors,nh_other,193,0.09,0.259
female,35,graduate,hispanic,193,0.272,0.245
female,35,graduate,nh_white,193,0.116,0.136
female,35,graduate,nh_asian,193,0.382,0.377
female,35,graduate,nh_twoplus,193,0.287,0.295
female,42,,nh_white,190,-0.195,-0.167
female,42,,nh_black,190,0.132,0.201
female,42,,nh_twoplus,190,-0.037,-0.024
female,42,,nh_other,190,0.071,0.219
female,42,hs_or_less,hispanic,190,0.037,0.039
female,42,hs_or_less,nh_white,190,-0.368,-0.315
female,42,hs_or_less,nh_black,190,0.076,0.158
female,42,hs_or_less,nh_asian,190,0.175,0.094
female,42,hs_or_less,nh_aian,190,-0.156,-0.226
female,42,hs_or_less,nh_other,190,0.013,0.091
female,42,some_college,nh_asian,190,0.257,0.158
female,42,some_college,nh_twoplus,190,-0.135,-0.128
female,42,bachelors,,190,0.272,0.262
female,42,bachelors,nh_asian,190,0.354,0.296
female,42,bachelors,nh_aian,190,-0.05,0.018
female,42,bachelors,nh_other,190,0.068,0.281
female,42,graduate,nh_white,190,0.058,0.097
female,42,graduate,nh_asian,190,0.365,0.351
female,50,,hispanic,193,0.042,0.026
female,50,,nh_nhpi,193,0.021,-0.043
female,50,,nh_twoplus,193,0.014,0.041
female,50,hs_or_less,nh_other,193,0.027,0.079
female,50,some_college,nh_asian,193,0.211,0.106
female,50,bachelors,nh_black,193,0.259,0.318
female,50,bachelors,nh_twoplus,193,0.184,0.231
female,50,bachelors,nh_other,193,0.106,0.198
female,50,graduate,nh_white,193,0.07,0.107
female,50,graduate,nh_aian,193,-0.093,0.021
male,25,,,193,-0.079,-0.074
male,25,,nh_aian,193,-0.213,-0.326
male,25,,nh_twoplus,193,-0.127,-0.128
