component,level,seeker_sex,seekers,median_abs_change_index_pts,p90_abs_change_index_pts,max_abs_change_index_pts,index_spread_full_p10_p90,index_spread_without_p10_p90,kendall_tau_index,top5_by_index_full,top5_by_index_without,top1_changes,top10_score_overlap
age,18-24,male,7,5.55,18.64,56.32,31.94,22.4,0.459,"Provo, UT | College Station, TX | San Luis Obispo, CA | Boulder, CO | Lincoln, NE","Yakima, WA | McAllen, TX | Brownsville, TX | Visalia, CA | Laredo, TX",True,2
age,25-34,male,10,3.34,9.4,32.28,25.61,22.19,0.707,"Fort Collins, CO | San Jose, CA | Boulder, CO | Ann Arbor, MI | Provo, UT","San Jose, CA | San Francisco, CA | Boulder, CO | Boston, MA | Seattle, WA",True,10
age,35-44,male,10,4.69,12.4,35.43,27.92,20.5,0.623,"Fargo, ND | Salt Lake City, UT | Provo, UT | Boulder, CO | Lincoln, NE","McAllen, TX | Brownsville, TX | Boulder, CO | Laredo, TX | Salinas, CA",True,7
age,45-54,male,10,3.81,10.82,36.95,23.3,17.04,0.675,"Provo, UT | Ogden, UT | Salt Lake City, UT | Madison, WI | Eugene, OR","Boulder, CO | Fort Collins, CO | Portland, ME | Santa Cruz, CA | Madison, WI",True,7
age,55-70,male,16,2.98,7.76,26.45,25.08,21.01,0.774,"Duluth, MN | Fargo, ND | Cedar Rapids, IA | Green Bay, WI | Madison, WI","Portland, ME | Duluth, MN | Manchester, NH | Boulder, CO | Sioux Falls, SD",True,5
edu,hs_or_less,male,5,6.7,15.7,34.13,32.26,25.78,0.56,"Yakima, WA | McAllen, TX | Merced, CA | Visalia, CA | Brownsville, TX","McAllen, TX | Brownsville, TX | El Paso, TX | Yakima, WA | Visalia, CA",True,6
edu,some_college,male,5,2.43,6.05,15.3,23.5,22.22,0.824,"Provo, UT | Fargo, ND | Duluth, MN | Eugene, OR | Fort Collins, CO","Provo, UT | Fort Collins, CO | Fargo, ND | Boulder, CO | Salt Lake City, UT",False,7
edu,bachelors,male,5,9.26,21.32,40.67,46.29,35.83,0.631,"Boulder, CO | Ann Arbor, MI | Madison, WI | Fort Collins, CO | San Francisco, CA","Provo, UT | Fargo, ND | Madison, WI | Fort Collins, CO | Lincoln, NE",True,8
edu,graduate,male,5,14.08,31.47,63.07,60.98,37.48,0.547,"San Jose, CA | Boulder, CO | Ann Arbor, MI | San Francisco, CA | Boston, MA","San Jose, CA | San Francisco, CA | Madison, WI | Seattle, WA | Provo, UT",False,8
race,hispanic,male,5,36.07,71.97,242.97,115.24,9.82,0.202,"McAllen, TX | Brownsville, TX | El Paso, TX | Laredo, TX | Visalia, CA","Provo, UT | Fargo, ND | Lancaster, PA | College Station, TX | Yakima, WA",True,4
race,nh_white,male,5,22.07,45.0,73.55,69.47,13.88,0.252,"Fargo, ND | Duluth, MN | Provo, UT | Portland, ME | Madison, WI","Ann Arbor, MI | Boulder, CO | Provo, UT | Fargo, ND | Madison, WI",True,4
race,nh_black,male,5,31.49,62.15,159.95,97.12,9.27,-0.162,"Memphis, TN | Montgomery, AL | Jackson, MS | Tuscaloosa, AL | Baton Rouge, LA","Provo, UT | Fargo, ND | College Station, TX | Lancaster, PA | Salt Lake City, UT",True,5
race,nh_asian,male,5,33.66,58.26,386.91,78.96,23.14,0.411,"San Jose, CA | San Francisco, CA | Honolulu, HI | Seattle, WA | Los Angeles, CA","Ann Arbor, MI | Boulder, CO | Boston, MA | Madison, WI | Durham, NC",True,8
race,nh_aian,male,5,22.08,71.52,579.38,95.79,9.43,0.261,"Anchorage, AK | Duluth, MN | Sioux Falls, SD | Yakima, WA | Tulsa, OK","Provo, UT | Fargo, ND | Lancaster, PA | Yakima, WA | College Station, TX",True,6
race,nh_nhpi,male,5,31.13,84.93,2652.07,112.31,9.07,0.232,"Fayetteville, AR | Honolulu, HI | Anchorage, AK | Salt Lake City, UT | Yakima, WA","Provo, UT | College Station, TX | Fargo, ND | Lancaster, PA | Salt Lake City, UT",True,2
race,nh_twoplus,male,5,12.0,27.12,92.97,43.13,12.3,0.354,"Fayetteville, AR | Honolulu, HI | Madison, WI | Provo, UT | Eugene, OR","Ann Arbor, MI | Provo, UT | Fargo, ND | Boulder, CO | Fort Collins, CO",True,7
race,nh_other,male,5,24.26,58.57,681.49,60.89,13.95,0.142,"Fargo, ND | Providence, RI | Boston, MA | Kennewick, WA | Bridgeport, CT","Ann Arbor, MI | Boulder, CO | Provo, UT | Madison, WI | Fargo, ND",True,5
age,18-24,female,7,3.18,8.59,31.49,11.35,3.87,0.127,"College Station, TX | Provo, UT | Lincoln, NE | San Luis Obispo, CA | Tuscaloosa, AL","McAllen, TX | Brownsville, TX | El Paso, TX | Laredo, TX | Boulder, CO",True,4
age,25-34,female,10,2.5,6.44,15.58,15.27,18.04,0.726,"Ann Arbor, MI | Boulder, CO | Fort Collins, CO | Boston, MA | Raleigh, NC","Washington, DC | Ann Arbor, MI | Boulder, CO | Durham, NC | Atlanta, GA",True,8
age,35-44,female,10,2.96,7.79,26.99,15.45,16.9,0.609,"Montgomery, AL | Ann Arbor, MI | Tuscaloosa, AL | Baltimore, MD | Memphis, TN","Washington, DC | Memphis, TN | Jackson, MS | Atlanta, GA | Montgomery, AL",True,8
age,45-54,female,10,2.53,6.92,23.26,13.6,15.05,0.623,"Raleigh, NC | Atlanta, GA | Ann Arbor, MI | Durham, NC | Washington, DC","Jackson, MS | Washington, DC | Atlanta, GA | Durham, NC | Memphis, TN",True,9
age,55-70,female,16,2.67,7.18,24.31,11.02,10.0,0.641,"Ann Arbor, MI | Boulder, CO | Raleigh, NC | Baltimore, MD | Richmond, VA","Ann Arbor, MI | Jackson, MS | Boulder, CO | Montgomery, AL | Washington, DC",False,8
edu,hs_or_less,female,5,5.53,14.0,29.56,27.65,16.76,0.492,"Yakima, WA | McAllen, TX | Merced, CA | Montgomery, AL | Visalia, CA","McAllen, TX | Brownsville, TX | El Paso, TX | Montgomery, AL | Memphis, TN",True,9
edu,some_college,female,5,1.6,4.38,16.86,15.37,16.13,0.763,"Jackson, MS | Memphis, TN | Montgomery, AL | Tuscaloosa, AL | Fayetteville, NC","Montgomery, AL | Memphis, TN | Jackson, MS | Tuscaloosa, AL | Columbus, GA",True,8
edu,bachelors,female,5,9.83,22.0,35.36,33.38,15.71,0.437,"Boulder, CO | Ann Arbor, MI | Fort Collins, CO | Madison, WI | Boston, MA","Duluth, MN | Ann Arbor, MI | Fargo, ND | Springfield, MO | Minneapolis, MN",True,6
edu,graduate,female,5,15.08,31.47,60.98,47.31,19.43,0.408,"Ann Arbor, MI | Boulder, CO | San Jose, CA | Washington, DC | Boston, MA","Ann Arbor, MI | Minneapolis, MN | Duluth, MN | Fargo, ND | Madison, WI",False,6
