sex_s,age_s,age_c,raw_share,fitted_share,raw_weight
male,25,18,0.0010123254312266077,0.031806858223292676,415.8884663623868
male,25,19,0.004107744830081021,0.03961818284077986,1687.5637466900741
male,25,20,0.012443415971998571,0.05228605821533513,5112.064782007122
male,25,21,0.030750843297693998,0.06756248115904888,12633.211281605405
male,25,22,0.06415137038711452,0.09508932685750718,26354.978569505332
male,25,23,0.1257355505043422,0.12448639573013129,51655.29152332025
male,25,24,0.21390989380527076,0.15558655146237055,87879.5048807787
male,25,25,0.261581402393433,0.16753171123892624,107464.14632546657
male,25,26,0.13105283036173832,0.09493704754736035,53839.762343570794
male,25,27,0.056244573820881126,0.051255533104550034,23106.669877125856
male,25,28,0.029237329234752106,0.03270055475313939,12011.422059445771
male,25,29,0.017683603417396374,0.021908554880268792,7264.86412191631
male,25,30,0.01488059917235026,0.017154774074353774,6113.320259912374
male,25,31,0.008025780475154736,0.011656306297091258,3297.1902416092935
male,25,32,0.006136070350261049,0.008767397052037185,2520.8503202074917
male,25,33,0.00448140912742977,0.0061960296259171415,1841.07433406162
male,25,34,0.0033342962283005786,0.004848045792107837,1369.8118233635566
male,25,35,0.00397750647633819,0.0038903814229984293,1634.0585915997406
male,25,36,0.0012696122243704556,0.0025045272104420946,521.588280389818
male,25,37,0.001886500921779148,0.0020043565467334316,775.0215009409686
male,25,38,0.0013757283125387942,0.00150205353549722,565.1834087975199
male,25,39,0.0007296232497759086,0.0011620427386173334,299.7473786704843
male,25,40,0.0011114775348432715,0.0009376218469739292,456.6226167035216
male,25,41,0.0008555080660176297,0.0007349817926697306,351.46399227135396
male,25,42,0.0007768398891324996,0.0006045647694290407,319.14514852104026
male,25,43,0.0003703733301534549,0.00047833112172594565,152.15857619264924
male,25,44,0.00012533790292144136,0.0003822102502685452,51.49192800571607
male,25,45,0.0002897863602486896,0.000295818219964437,119.05144454440527
male,25,46,0.0003934014180157497,0.00022990501503143153,161.6190874560122
male,25,47,0.00021402048243239364,0.00018270938394843425,87.92493743943281
male,25,48,0.0003169840081810182,0.00019430193404930605,130.22491479253964
male,25,49,0.00030394179363385667,0.0001053848839478409,124.86684866214915
male,25,50,5.841905297818068e-05,0.00014885054832970137,24.0
male,25,51,7.983083587458693e-05,0.00011931178275615824,32.796492981590845
male,25,52,0.0002273742839953899,8.99057012901334e-05,93.41101126592248
male,25,53,1.6833631209126552e-05,8.883813597618419e-05,6.915674397699199
male,25,54,0.00019189794382168341,5.917871467990837e-05,78.83644833202894
male,25,55,2.074192270038707e-05,7.198437268172304e-05,8.521297751869046
male,25,56,5.910657888034141e-05,7.842877886059218e-05,24.282452741197645
male,25,57,0.0,4.078287862480174e-05,0.0
male,25,58,0.0,6.497167696600047e-05,0.0
male,25,59,0.00023523356919164648,7.082324582618173e-05,96.63980110578188
male,25,60,0.0,0.00010226974610703047,0.0
male,25,61,3.358113009821599e-05,5.2099189810311515e-05,13.795963495988241
male,25,62,2.569480084819007e-05,4.827703807632554e-05,10.556063286183154
male,25,63,2.6562740230706142e-05,0.00010340139825967792,10.912634372471832
male,25,64,1.817450647364104e-05,2.0411271978252052e-05,7.466539307480726
male,25,65,7.545794343015003e-05,4.892928835890537e-05,31.0
male,25,66,4.496590148433262e-05,5.334457340092511e-05,18.473110750820517
male,25,67,0.00012044437897589095,4.3378122957389825e-05,49.481546653983536
male,25,68,0.0,6.73772831420003e-05,0.0
male,25,69,0.0,1.4181978135843325e-05,0.0
male,25,70,0.0,1.2254747267116124e-05,0.0
male,35,18,6.817122058576207e-05,0.005560762508055536,43.0
male,35,19,0.00017231033611575153,0.006460604913315668,108.68727872718767
male,35,20,0.00047811788358518724,0.007498799833396169,301.57988690108516
male,35,21,0.0011790136395689165,0.008898525384770251,743.6801932816189
male,35,22,0.002502687388882005,0.011686919750707616,1578.606878345997
male,35,23,0.0032201115364050787,0.014707300139237474,2031.1327107782124
male,35,24,0.003929556551847532,0.017911637488802992,2478.6255882989776
male,35,25,0.00944793696635983,0.022769593232679203,5959.425195304814
male,35,26,0.01374936902544989,0.02562566038653606,8672.616729086782
male,35,27,0.020819089735349218,0.029825416393560355,13131.947043456461
male,35,28,0.030167422659859933,0.035740406701096746,19028.54552445705
male,35,29,0.040590565943969655,0.042286041721810434,25603.096447347907
male,35,30,0.05857452527629091,0.05535037291366348,36946.74329194209
male,35,31,0.07746853586126382,0.06366308660643606,48864.41834855561
male,35,32,0.10151246984265534,0.08050876288023606,64030.48332899942
male,35,33,0.1146765079663599,0.09865337348562393,72333.89398316511
male,35,34,0.13187499240561307,0.12176145154291015,83182.0909867309
male,35,35,0.141136877952242,0.1287854659221715,89024.16151272383
male,35,36,0.08121350274658093,0.07113774590952403,51226.61128987239
male,35,37,0.04566100053973248,0.040215423830403635,28801.34764109781
male,35,38,0.030196728780748052,0.026249263388444726,19047.030791221547
male,35,39,0.021157282024311694,0.018766884702354446,13345.266803619648
male,35,40,0.016323487600092113,0.015135275463654698,10296.279878411897
male,35,41,0.011154718895156679,0.010783971875638286,7036.002999070774
male,35,42,0.010616638833786383,0.00874600535662787,6696.60108664917
male,35,43,0.00612000917660655,0.0063383418064615945,3860.2857970397577
male,35,44,0.00592494894763981,0.005097327776041532,3737.2486888069966
male,35,45,0.004309401845645844,0.004229731508456195,2718.218593866179
male,35,46,0.003316299164069849,0.002827766545421707,2091.804471589386
male,35,47,0.0028741534456584875,0.0023186338327904213,1812.9145569256116
male,35,48,0.002221301533311992,0.0018183164661834466,1401.1186115151456
male,35,49,0.0013227409318555248,0.0014583180399067544,834.3382967337807
male,35,50,0.0013067092071360786,0.001212549133008665,824.2260505833843
male,35,51,0.0010895576092068082,0.0009881126074270457,687.2544864728128
male,35,52,0.0006701393624590372,0.0008104572257115482,422.70025882090454
male,35,53,0.0004199701927390548,0.0006773580037989176,264.9023757035534
male,35,54,0.0003898394402722498,0.0005539037260774043,245.89696044268578
male,35,55,0.00035238807997178606,0.0004340188278783329,222.2739641242616
male,35,56,0.0006299045219838297,0.0003470815629866321,397.3215414447444
male,35,57,0.0001962652690482778,0.0002898312026164441,123.79720498709335
male,35,58,0.00012744561899044284,0.0003090130673882842,80.38819856092769
male,35,59,0.0001079972257994151,0.0001680391425348796,68.12083852206615
male,35,60,4.623684604433272e-05,0.00023827427295482887,29.164570662264925
male,35,61,7.99600082260142e-05,0.00018834953935474184,50.43595118548772
male,35,62,5.7997510502530284e-05,0.00014297572937105752,36.582782737055254
male,35,63,9.075703845122364e-05,0.000134632142687073,57.24633679534977
male,35,64,3.6081027234342964e-05,8.989357312758443e-05,22.758638583050153
male,35,65,0.00020880608957194642,0.00010870346937128513,131.7075119741796
male,35,66,4.837713122608652e-05,0.00011775082597723027,30.514587018501835
male,35,67,7.451272947746087e-05,5.798673222696297e-05,47.0
male,35,68,2.756910408164959e-05,8.920941288073183e-05,17.389617866964297
male,35,69,1.2908211474657748e-05,9.425021256095338e-05,8.142044232756616
male,35,70,4.6101118502418786e-05,0.00013042128314028656,29.078958519015167
male,50,18,0.00017932942959161116,0.000714745629394849,50.131124649275264
male,50,19,0.0002575964056621979,0.0009340589889967247,72.01047564175715
male,50,20,0.00012713943265733985,0.0012210555846800025,35.54153247962706
male,50,21,0.000541325776510538,0.001225900642734149,151.32636087626832
male,50,22,0.0005277810463296819,0.0016155604986614947,147.53996307985744
male,50,23,0.00045922548606464937,0.0016043701867557991,128.3754157722915
male,50,24,0.00041716008667073897,0.002089099879970391,116.61613127983517
male,50,25,0.0009048785884495947,0.002166844006223906,252.9567032769333
male,50,26,0.0016001385596583215,0.002288043905303156,447.3150099959697
male,50,27,0.001727992899613208,0.0025078300847385187,483.056393146664
male,50,28,0.0025606961449916783,0.002664794750410388,715.8366472577098
male,50,29,0.002858101446081092,0.0027268307789377103,798.9756069600946
male,50,30,0.0031730821901621797,0.003609219106754031,887.027740843585
male,50,31,0.0056040420277375675,0.0037653172798715316,1566.5969053270842
male,50,32,0.006278342715964885,0.0040591315908084045,1755.0960932718444
male,50,33,0.008336343814622388,0.004646617239813768,2330.4055103602423
male,50,34,0.011035894271497839,0.005320778138860732,3085.058557318698
male,50,35,0.012994942953122928,0.005850212798142826,3632.706056539539
male,50,36,0.014783150309036888,0.0063922355754664805,4132.595260794651
male,50,37,0.01509129674466335,0.0075919773706293785,4218.736879656649
male,50,38,0.021554429863492167,0.009095760580559201,6025.490699945514
male,50,39,0.02378818569753896,0.011138562377511148,6649.931944239106
male,50,40,0.030717909646172915,0.014903760357468439,8587.120144999923
male,50,41,0.0299936503073918,0.01644371437848108,8384.655132572669
male,50,42,0.03854274797106066,0.02100960443288438,10774.535486244746
male,50,43,0.04191626476007452,0.025582295447704854,11717.594252681529
male,50,44,0.04818711252378939,0.032390351472185386,13470.595149496543
male,50,45,0.061475990834913584,0.04181266994145485,17185.47015122454
male,50,46,0.05918354365599927,0.052133078702869734,16544.621878078586
male,50,47,0.06477851856204939,0.06982389567373608,18108.684090641862
male,50,48,0.07216088910197006,0.09226183833390002,20172.408592452317
male,50,49,0.07950008687495505,0.12128702293847682,22224.064247751434
male,50,50,0.09183197259799478,0.14387694451098268,25671.414198901013
male,50,51,0.059063392584156445,0.08378785153638356,16511.0339255991
male,50,52,0.04042145557781538,0.04942033389804847,11299.723824981134
male,50,53,0.03151877745617609,0.034158942844325274,8811.000877249457
male,50,54,0.026405148681515528,0.02507219386333918,7381.497855372777
male,50,55,0.0221801512705023,0.019619759730976138,6200.40966289532
male,50,56,0.01357260186919304,0.014823639515617427,3794.189262013532
male,50,57,0.009734566976174395,0.012379184721782432,2721.275540777973
male,50,58,0.009335874069061877,0.009464195197891757,2609.821866560886
male,50,59,0.00628691060634221,0.00792619780651452,1757.4912270848786
male,50,60,0.006042443437442679,0.007152930749725416,1689.1509990215472
male,50,61,0.004807541728540453,0.004800084027201875,1343.9371005579096
male,50,62,0.002674242966698973,0.004035912944283234,747.5783969833426
male,50,63,0.0038895647797808196,0.0030592130940106147,1087.318781143017
male,50,64,0.0030486515253396133,0.0024243056216588666,852.243438107454
male,50,65,0.0014253528354125759,0.001880702867059163,398.4540676005604
male,50,66,0.0022304118374184266,0.0015412216655487192,623.5064378193545
male,50,67,0.001609687008744825,0.0012429542076904767,449.98425671388355
male,50,68,0.0014049208958648459,0.0009986464944351729,392.7423664557661
male,50,69,0.0006271628492360305,0.0008057327336710201,175.3219147690682
male,50,70,0.0006313783180922977,0.0006518732944678839,176.50033927624432
female,25,18,0.00016469849232410768,0.008372464432801988,88.0
female,25,19,0.0006740102305648916,0.010707568793775619,360.13019580646494
female,25,20,0.0018514042308102106,0.015029808846757793,989.223216389156
female,25,21,0.004499539109511816,0.02005912211276201,2404.1473364421404
female,25,22,0.010687155297319242,0.029060062982403396,5710.250609418799
female,25,23,0.029300111316118194,0.04698094423777505,15655.333327183029
female,25,24,0.09110931339568407,0.08490970718087366,48680.58878791947
female,25,25,0.19686723920941032,0.15188653962760218,105188.07310230774
female,25,26,0.17901633972840236,0.14006230565976918,95650.16457526796
female,25,27,0.13154999628441066,0.11220308142526317,70288.43743297367
female,25,28,0.09272216832296494,0.08672039309458363,49542.352800436434
female,25,29,0.06542423747098537,0.0648470894190151,34956.80389178636
female,25,30,0.047064947834787284,0.053472790126880734,25147.25757969212
female,25,31,0.034509604888585656,0.03833722672470064,18438.816211015313
female,25,32,0.02474595298645524,0.029692029813880236,13222.00241227897
female,25,33,0.02035178889160018,0.022464994835684753,10874.157967010517
female,25,34,0.014637121356296481,0.017228168239976076,7820.755740855984
female,25,35,0.012014741710505886,0.014701891598396293,6419.59289125658
female,25,36,0.00751183190192195,0.01043527197623168,4013.6445576458505
female,25,37,0.005047639178554647,0.007892586204722189,2697.002513166239
female,25,38,0.005437192381369301,0.0062618639447035804,2905.1445633085627
female,25,39,0.003701304553410178,0.004967963052141268,1977.6428800521526
female,25,40,0.0031976000317743033,0.00431969394688749,1708.508674398779
female,25,41,0.001983077774553535,0.0033019443275554765,1059.5776664263194
female,25,42,0.0018980141679269145,0.002754320662297645,1014.1273573341643
female,25,43,0.002042271955290656,0.00216760491275607,1091.2056906502191
female,25,44,0.002161572869102047,0.0017572936766331124,1154.9493246522998
female,25,45,0.002522590329733286,0.0014905184950083574,1347.8444513000304
female,25,46,0.0008299475496870031,0.0010084563244829572,443.4490160889332
female,25,47,0.0007710176531328604,0.000890188312174105,411.9622014643073
female,25,48,0.0006878800117625218,0.0008198473706316662,367.5409542667766
female,25,49,0.0005254577525323182,0.000657057254504015,280.7571676603356
female,25,50,0.0005116212182446348,0.0006321563664210258,273.36417334609496
