sex_s,cohort,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
male,18-19,-52,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-51,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-50,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-49,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-48,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-47,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-46,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-45,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-44,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-43,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-42,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-41,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-40,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-39,-9.210340371976182,1.48593626247211,1.4462252511342446
male,18-19,-38,-9.210340371976182,1.4859362624721375,1.4462252511342721
male,18-19,-37,-9.210340371976182,1.4859362624721377,1.4462252511342724
male,18-19,-36,-9.210340371976182,1.4859362624721382,1.4462252511342728
male,18-19,-35,-9.210340371976182,1.485936262472139,1.4462252511342737
male,18-19,-34,-9.210340371976182,1.4859362624721413,1.446225251134276
male,18-19,-33,-9.210340371976182,1.4859362624721475,1.4462252511342821
male,18-19,-32,-9.210340371976182,1.4859362624721644,1.446225251134299
male,18-19,-31,-9.210340371976182,1.4859362624722103,1.446225251134345
male,18-19,-30,-9.210340371976182,1.4859362624723353,1.44622525113447
male,18-19,-29,-9.210340371976182,1.4859362624726753,1.44622525113481
male,18-19,-28,-9.210340371976182,1.485936262473599,1.4462252511357336
male,18-19,-27,-9.210340371976182,1.48593626247611,1.4462252511382447
male,18-19,-26,-9.210340371976182,1.4859362624829362,1.4462252511450708
male,18-19,-25,-9.210340371976182,1.485936262501491,1.4462252511636255
male,18-19,-24,-9.210340371976182,1.4859362625519288,1.4462252512140634
