sex_s,cohort,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
male,18-70,-52,-9.210340371976182,-9.210340371976182,-9.211668953461345
male,18-70,-51,-9.210340371976182,-9.210340371976182,-9.211668953461345
male,18-70,-50,-9.210340371976182,-9.210340371976182,-9.211668953461345
male,18-70,-49,-5.828809417826848,-5.828937967316385,-5.830266548801549
male,18-70,-48,-5.591060539998523,-5.591209795926854,-5.592538377412018
male,18-70,-47,-5.847613956198488,-5.847478074088161,-5.848806655573325
male,18-70,-46,-5.716703519849108,-5.716818043769447,-5.718146625254611
male,18-70,-45,-5.942802499273926,-5.942507601100432,-5.943836182585596
male,18-70,-44,-5.489576274972766,-5.489799971418605,-5.491128552903769
male,18-70,-43,-5.862157532028001,-5.86193748751852,-5.863266069003684
male,18-70,-42,-5.656447754168313,-5.656330135957772,-5.657658717442936
male,18-70,-41,-5.278312772700992,-5.278316838851514,-5.279645420336678
male,18-70,-40,-5.061922188291443,-5.061949917501496,-5.06327849898666
male,18-70,-39,-4.981737651094573,-4.98184465489365,-4.983173236378814
male,18-70,-38,-5.241936823553852,-5.241824855062579,-5.243153436547743
male,18-70,-37,-5.187635706680784,-5.187215876690202,-5.188544458175366
male,18-70,-36,-4.399606098556591,-4.399912970665585,-4.401241552150749
male,18-70,-35,-4.880644098910534,-4.8800452349174135,-4.8813738164025775
male,18-70,-34,-4.1262392354983195,-4.126359618660824,-4.127688200145988
male,18-70,-33,-4.0108062961004425,-4.010918923160448,-4.012247504645612
male,18-70,-32,-4.257060032555184,-4.256832472211879,-4.258161053697043
male,18-70,-31,-3.9256496173363686,-3.925625440627962,-3.926954022113126
male,18-70,-30,-3.651611551774599,-3.651681597993562,-3.653010179478726
male,18-70,-29,-3.637249091878741,-3.6371457902619424,-3.6384743717471064
male,18-70,-28,-3.3716782795535014,-3.3717520944581207,-3.3730806759432848
male,18-70,-27,-3.3714173550285174,-3.3712922438681225,-3.3726208253532866
male,18-70,-26,-3.0697562891642707,-3.0698125570729435,-3.0711411385581076
male,18-70,-25,-2.9989703032258865,-2.998953079086416,-3.00028166057158
male,18-70,-24,-2.8951753476173128,-2.895142064178632,-2.896470645663796
male,18-70,-23,-2.7276924101778497,-2.7277003016228254,-2.7290288831079894
male,18-70,-22,-2.6180253381217113,-2.618017148920854,-2.619345730406018
male,18-70,-21,-2.507964940065868,-2.507882871995011,-2.509211453480175
male,18-70,-20,-2.2249340976570746,-2.2249536886837067,-2.2262822701688707
male,18-70,-19,-2.0696168495538143,-2.0696114228676668,-2.0709400043528308
male,18-70,-18,-1.932827292773496,-1.9327941867634273,-1.934122768248591
male,18-70,-17,-1.740843029180083,-1.7408287808295226,-1.7421573623146864
male,18-70,-16,-1.5569937241641352,-1.5569919285231086,-1.5583205100082724
male,18-70,-15,-1.4078857895739745,-1.4078689287156372,-1.409197510200801
male,18-70,-14,-1.2441956973588717,-1.244164597334715,-1.2454931788198789
male,18-70,-13,-1.0351688995462982,-1.0351516639143856,-1.0364802453995494
male,18-70,-12,-0.8287975491739638,-0.8287729872103439,-0.8301015686955077
male,18-70,-11,-0.6052833008361411,-0.6052449325270809,-0.6065735140122447
male,18-70,-10,-0.337762393449809,-0.33777904269130765,-0.3391076241764715
male,18-70,-9,-0.17224300927477149,-0.17220560761465048,-0.17353418909981433
male,18-70,-8,0.060200106565163905,0.06021778750316557,0.05888920601800173
male,18-70,-7,0.29117006568914583,0.29120057333048305,0.2898719918453192
male,18-70,-6,0.5531824470671305,0.5532109379034928,0.5518823564183291
male,18-70,-5,0.8313572055291139,0.8313723075990961,0.8300437261139323
male,18-70,-4,1.090382924923788,1.0904215997524118,1.089093018267248
male,18-70,-3,1.3941500679162362,1.3941598552161236,1.3928312737309598
male,18-70,-2,1.6598487926252117,1.6598656535383107,1.658537072053147
male,18-70,-1,1.9207204605831132,1.9206807776931976,1.9193521962080338
male,18-70,0,2.0354511949327274,2.03528374323036,2.033955161745196
male,18-70,1,1.5196345629347991,1.5197356920069809,1.518407110521817
male,18-70,2,0.984150478089836,0.9842905722683599,0.9829619907831961
male,18-70,3,0.5864961756001217,0.5865789317905398,0.585250350305376
male,18-70,4,0.2751190605399438,0.27517665248753986,0.273848071002376
male,18-70,5,0.03664721414190344,0.036662473342886366,0.03533389185772253
male,18-70,6,-0.23636738373177787,-0.2363248047280266,-0.23765338621319046
male,18-70,7,-0.4613485028487901,-0.46134339566817795,-0.4626719771533418
male,18-70,8,-0.7496425512780885,-0.7495858225604755,-0.7509144040456392
male,18-70,9,-0.9456318980931253,-0.9456072729756204,-0.9469358544607842
male,18-70,10,-1.1104186933025162,-1.1104575276601374,-1.1117861091453012
male,18-70,11,-1.4757437842691863,-1.4756488115703443,-1.4769773930555081
male,18-70,12,-1.6638600789340634,-1.6638644634910298,-1.6651930449761936
male,18-70,13,-1.9246151391205493,-1.9245819592363085,-1.9259105407214723
male,18-70,14,-2.159917780925958,-2.159896435214916,-2.16122501670008
male,18-70,15,-2.3974439667918137,-2.3974064487795306,-2.3987350302646946
