sex_s,cohort,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
male,18-70,-52,-9.210340371976182,-9.210340371976182,-9.211530879075005
male,18-70,-51,-9.210340371976182,-9.210340371976182,-9.211530879075005
male,18-70,-50,-9.210340371976182,-9.210340371976182,-9.211530879075005
male,18-70,-49,-5.793916292206916,-5.794047074758993,-5.7952375818578155
male,18-70,-48,-5.563646976822837,-5.563797138975674,-5.5649876460744965
male,18-70,-47,-5.827001068339005,-5.826865377038255,-5.828055884137077
male,18-70,-46,-5.701034471042343,-5.701149044780516,-5.702339551879339
male,18-70,-45,-5.930658260710088,-5.93036349414481,-5.931554001243633
male,18-70,-44,-5.48029949357796,-5.480523179627684,-5.481713686726507
male,18-70,-43,-5.855004794408349,-5.854784671455024,-5.855975178553846
male,18-70,-42,-5.650717074598553,-5.650599499745651,-5.6517900068444735
male,18-70,-41,-5.273801992021977,-5.273806049650492,-5.274996556749315
male,18-70,-40,-5.058353132005356,-5.058380815297813,-5.059571322396636
male,18-70,-39,-4.978799105193133,-4.97890613224079,-4.980096639339613
male,18-70,-38,-5.239573775447488,-5.2394617479343895,-5.240652255033212
male,18-70,-37,-5.185581600162716,-5.185161641958998,-5.186352149057821
male,18-70,-36,-4.397446257635634,-4.3977530814404675,-4.39894358853929
male,18-70,-35,-4.878245887186521,-4.877646921187737,-4.87883742828656
male,18-70,-34,-4.123339960749124,-4.123460363860669,-4.124650870959492
male,18-70,-33,-4.007515428616831,-4.007627984484023,-4.008818491582845
male,18-70,-32,-4.2532186881536225,-4.252991240124996,-4.254181747223819
male,18-70,-31,-3.9216290126409388,-3.921604816919185,-3.922795324018008
male,18-70,-30,-3.647367040362293,-3.647437089563062,-3.6486275966618846
male,18-70,-29,-3.632802313175468,-3.6326990596275985,-3.6338895667264213
male,18-70,-28,-3.3671743109409578,-3.367248017436601,-3.368438524535424
male,18-70,-27,-3.366544272588471,-3.3664190955853974,-3.36760960268422
male,18-70,-26,-3.064356613522938,-3.0644128725729143,-3.065603379671737
male,18-70,-25,-2.9930640842707965,-2.993046816577236,-2.994237323676059
male,18-70,-24,-2.888681998336926,-2.8886487493348234,-2.889839256433646
male,18-70,-23,-2.720759199301211,-2.7207670394176655,-2.7219575465164882
male,18-70,-22,-2.6105420393422953,-2.61053388158047,-2.611724388679293
male,18-70,-21,-2.5000662748824225,-2.499984217373477,-2.5011747244722997
male,18-70,-20,-2.2166806602455087,-2.216700259540502,-2.2178907666393246
male,18-70,-19,-2.0610559910523123,-2.0610505936892123,-2.062241100788035
male,18-70,-18,-1.9240612450655117,-1.9240281512421207,-1.9252186583409432
male,18-70,-17,-1.7319158539135238,-1.7319016344628924,-1.7330921415617149
male,18-70,-16,-1.5479932339675984,-1.5479914518116005,-1.549181958910423
male,18-70,-15,-1.3988484642023247,-1.3988316586674558,-1.4000221657662784
male,18-70,-14,-1.2352761928543525,-1.2352451701740799,-1.2364356772729024
male,18-70,-13,-1.0265773387375832,-1.0265601348076219,-1.0277506419064444
male,18-70,-12,-0.8206017621210976,-0.82057727556075,-0.8217677826595726
male,18-70,-11,-0.5976790006969839,-0.5976406934797892,-0.5988312005786118
male,18-70,-10,-0.33090128052040496,-0.330917956587977,-0.33210846368679964
male,18-70,-9,-0.16617731899125973,-0.16613997968868957,-0.16733048678751217
male,18-70,-8,0.06530601212326755,0.06532365851914833,0.06413315142032572
male,18-70,-7,0.2952265683555593,0.2952570508072266,0.29406654370840396
male,18-70,-6,0.5561181853071568,0.5561466516689026,0.55495614457008
male,18-70,-5,0.8330920109759745,0.8331070976072242,0.8319165905084016
male,18-70,-4,1.0908506935611229,1.0908894032439669,1.0896988961451444
male,18-70,-3,1.3934242469094142,1.3934340954909838,1.3922435883921613
male,18-70,-2,1.6580775992851258,1.6580945625886134,1.656904055489791
male,18-70,-1,1.9181782578343451,1.9181387236406242,1.9169482165418017
male,18-70,0,2.0325663428815317,2.032399026449375,2.0312085193505522
male,18-70,1,1.5168208480936003,1.5169220811650985,1.515731574066276
male,18-70,2,0.9817543943020741,0.981894547149017,0.9807040400501944
male,18-70,3,0.5847486941941489,0.5848314751172456,0.583640968018423
male,18-70,4,0.2741601566668201,0.2742177462242011,0.27302723912537846
male,18-70,5,0.03653857022047101,0.0365538091941592,0.03536330209533659
