sex_s,cohort,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
male,18-70,-52,-9.210340371976182,-6.783817980851398,-6.790414665328401
male,18-70,-51,-9.210340371976182,-4.801155979961053,-4.807752664438056
male,18-70,-50,-3.7063098330383357,-4.32163423647797,-4.328230920954973
male,18-70,-49,-9.210340371976182,-4.913866131912546,-4.920462816389549
male,18-70,-48,-4.407598710088355,-4.942318674998458,-4.948915359475461
male,18-70,-47,-6.358078237326011,-5.638169903972872,-5.644766588449875
male,18-70,-46,-6.157824549080898,-6.279273270835614,-6.285869955312617
male,18-70,-45,-9.210340371976182,-5.412721954373773,-5.419318638850776
male,18-70,-44,-4.1896240786346635,-4.566142685562047,-4.57273937003905
male,18-70,-43,-4.946895247697886,-4.3166055013830436,-4.323202185860047
male,18-70,-42,-3.6586212842746697,-3.9534181350541786,-3.9600148195311817
male,18-70,-41,-4.1760724556770175,-4.141543471984211,-4.148140156461214
male,18-70,-40,-4.683765533334136,-4.3240462354381615,-4.330642919915165
male,18-70,-39,-3.923477209664684,-4.111281390588634,-4.117878075065637
male,18-70,-38,-4.366240053365898,-3.8175622316354874,-3.8241589161124905
male,18-70,-37,-3.084876323920035,-3.4046152351882037,-3.411211919665207
male,18-70,-36,-3.8173163468514004,-3.375627993648079,-3.382224678125082
male,18-70,-35,-2.9437657151657914,-3.126406805164598,-3.133003489641601
male,18-70,-34,-3.1558590789801233,-3.0653101799540425,-3.0719068644310457
male,18-70,-33,-2.956398231621948,-3.0139579091790534,-3.0205545936560565
male,18-70,-32,-3.050197081411025,-2.9641784071312456,-2.9707750916082487
male,18-70,-31,-2.821324923448619,-2.7708662690535877,-2.777462953530591
male,18-70,-30,-2.465311215018514,-2.592316886511995,-2.5989135709889983
male,18-70,-29,-2.7124391126638514,-2.584044916057825,-2.5906416005348283
male,18-70,-28,-2.4604242131464495,-2.3961897184620473,-2.4027864029390504
male,18-70,-27,-2.0526829552959054,-2.187568524379084,-2.194165208856087
male,18-70,-26,-2.2705514892052627,-2.2220974721965847,-2.228694156673588
male,18-70,-25,-2.2885036111389714,-2.2183262973121196,-2.2249229817891227
male,18-70,-24,-2.068794145690661,-2.0391080806905535,-2.0457047651675566
male,18-70,-23,-1.7851282402385051,-1.8762441574318116,-1.8828408419088145
male,18-70,-22,-1.9262178216992214,-1.8422405673407982,-1.8488372518178011
male,18-70,-21,-1.7093439681051805,-1.759542048112586,-1.766138732589589
