sex_s,cohort,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
male,18-70,-52,-9.210340371976182,-9.210340371976182,-9.211668953461345
male,18-70,-51,-9.210340371976182,-9.210340371976182,-9.211668953461345
male,18-70,-50,-9.210340371976182,-9.210340371976182,-9.211668953461345
male,18-70,-49,-5.828809417826849,-5.828937967316385,-5.830266548801549
male,18-70,-48,-5.591060539998523,-5.591209795926855,-5.592538377412019
male,18-70,-47,-5.847613956198488,-5.847478074088161,-5.848806655573325
male,18-70,-46,-5.716703519849108,-5.716818043769448,-5.718146625254612
male,18-70,-45,-5.942802499273926,-5.9425076011004325,-5.9438361825855965
male,18-70,-44,-5.489576274972766,-5.489799971418606,-5.49112855290377
male,18-70,-43,-5.862157532028001,-5.861937487518521,-5.863266069003685
male,18-70,-42,-5.656447754168313,-5.656330135957772,-5.657658717442936
male,18-70,-41,-5.278312772700992,-5.278316838851514,-5.279645420336678
male,18-70,-40,-5.061922188291442,-5.061949917501496,-5.06327849898666
male,18-70,-39,-4.981737651094573,-4.98184465489365,-4.983173236378814
male,18-70,-38,-5.241936823553852,-5.241824855062579,-5.243153436547743
male,18-70,-37,-5.187635706680784,-5.187215876690202,-5.188544458175366
male,18-70,-36,-4.399606098556592,-4.399912970665586,-4.40124155215075
male,18-70,-35,-4.880644098910534,-4.880045234917413,-4.881373816402577
male,18-70,-34,-4.1262392354983195,-4.126359618660824,-4.127688200145988
male,18-70,-33,-4.010806296100442,-4.010918923160448,-4.012247504645612
male,18-70,-32,-4.257060032555184,-4.256832472211879,-4.258161053697043
male,18-70,-31,-3.9256496173363686,-3.925625440627962,-3.9269540221131254
male,18-70,-30,-3.651611551774599,-3.6516815979935626,-3.653010179478726
male,18-70,-29,-3.637249091878741,-3.637145790261943,-3.6384743717471064
male,18-70,-28,-3.3716782795535014,-3.3717520944581203,-3.373080675943284
male,18-70,-27,-3.371417355028517,-3.3712922438681225,-3.372620825353286
male,18-70,-26,-3.0697562891642707,-3.0698125570729435,-3.071141138558107
male,18-70,-25,-2.998970303225886,-2.998953079086416,-3.0002816605715794
male,18-70,-24,-2.8951753476173128,-2.895142064178632,-2.8964706456637956
male,18-70,-23,-2.7276924101778497,-2.7277003016228254,-2.729028883107989
male,18-70,-22,-2.618025338121712,-2.618017148920854,-2.6193457304060175
male,18-70,-21,-2.507964940065868,-2.507882871995011,-2.5092114534801744
male,18-70,-20,-2.2249340976570746,-2.2249536886837067,-2.2262822701688703
male,18-70,-19,-2.0696168495538143,-2.0696114228676668,-2.0709400043528303
male,18-70,-18,-1.932827292773496,-1.9327941867634273,-1.9341227682485909
male,18-70,-17,-1.740843029180083,-1.7408287808295226,-1.7421573623146862
male,18-70,-16,-1.5569937241641352,-1.556991928523109,-1.5583205100082727
male,18-70,-15,-1.4078857895739747,-1.4078689287156372,-1.4091975102008008
male,18-70,-14,-1.2441956973588717,-1.2441645973347149,-1.2454931788198784
male,18-70,-13,-1.0351688995462989,-1.0351516639143858,-1.0364802453995494
male,18-70,-12,-0.8287975491739644,-0.8287729872103435,-0.8301015686955071
male,18-70,-11,-0.6052833008361416,-0.6052449325270807,-0.6065735140122442
male,18-70,-10,-0.337762393449809,-0.33777904269130765,-0.3391076241764713
male,18-70,-9,-0.17224300927477193,-0.17220560761465087,-0.1735341890998145
male,18-70,-8,0.060200106565163905,0.06021778750316515,0.05888920601800154
male,18-70,-7,0.2911700656891463,0.2912005733304829,0.28987199184531925
male,18-70,-6,0.5531824470671303,0.5532109379034927,0.5518823564183292
male,18-70,-5,0.8313572055291135,0.8313723075990953,0.8300437261139317
male,18-70,-4,1.0903829249237877,1.0904215997524116,1.089093018267248
male,18-70,-3,1.3941500679162357,1.3941598552161234,1.3928312737309598
male,18-70,-2,1.6598487926252117,1.6598656535383103,1.6585370720531467
male,18-70,-1,1.9207204605831132,1.9206807776931976,1.919352196208034
male,18-70,0,2.0354511949327274,2.03528374323036,2.0339551617451965
male,18-70,1,1.5196345629347991,1.51973569200698,1.5184071105218164
male,18-70,2,0.9841504780898362,0.9842905722683601,0.9829619907831966
male,18-70,3,0.5864961756001215,0.5865789317905394,0.5852503503053759
male,18-70,4,0.2751190605399438,0.2751766524875397,0.27384807100237607
male,18-70,5,0.036647214141903445,0.036662473342885936,0.03533389185772232
male,18-70,6,-0.23636738373177835,-0.23632480472802603,-0.23765338621318965
male,18-70,7,-0.46134850284879075,-0.4613433956681776,-0.46267197715334124
male,18-70,8,-0.7496425512780887,-0.7495858225604759,-0.7509144040456395
male,18-70,9,-0.9456318980931253,-0.9456072729756204,-0.946935854460784
male,18-70,10,-1.1104186933025166,-1.1104575276601376,-1.1117861091453012
male,18-70,11,-1.4757437842691865,-1.4756488115703443,-1.476977393055508
male,18-70,12,-1.6638600789340634,-1.6638644634910302,-1.6651930449761938
male,18-70,13,-1.9246151391205493,-1.9245819592363087,-1.9259105407214723
male,18-70,14,-2.1599177809259587,-2.159896435214916,-2.1612250167000795
male,18-70,15,-2.397443966791814,-2.3974064487795315,-2.398735030264695
