sex_s,race_s,race_c,edu_s,edu_c,multiplier,log,sides_alloc
male,hispanic,hispanic,hs_or_less,hs_or_less,1.5488,0.43747,50266.3
male,hispanic,hispanic,hs_or_less,some_college,1.0635,0.06156,14833.2
male,hispanic,hispanic,hs_or_less,bachelors,1.16,0.14845,5215.0
male,hispanic,hispanic,hs_or_less,graduate,1.0508,0.04956,1542.5
male,hispanic,hispanic,some_college,hs_or_less,0.7122,-0.33938,8400.2
male,hispanic,hispanic,some_college,some_college,0.7853,-0.2417,11786.9
male,hispanic,hispanic,some_college,bachelors,0.9136,-0.09037,4555.2
male,hispanic,hispanic,some_college,graduate,1.0481,0.04701,1648.0
male,hispanic,hispanic,bachelors,hs_or_less,0.7903,-0.23539,2653.0
male,hispanic,hispanic,bachelors,some_college,0.6415,-0.44395,2872.6
male,hispanic,hispanic,bachelors,bachelors,0.871,-0.13813,4944.0
male,hispanic,hispanic,bachelors,graduate,0.8305,-0.18574,1714.2
male,hispanic,hispanic,graduate,hs_or_less,0.8689,-0.14053,852.3
male,hispanic,hispanic,graduate,some_college,0.694,-0.3653,879.9
male,hispanic,hispanic,graduate,bachelors,0.7533,-0.28325,1435.0
male,hispanic,hispanic,graduate,graduate,0.9463,-0.05515,1783.1
male,hispanic,nh_white,hs_or_less,hs_or_less,0.7498,-0.28793,3816.5
male,hispanic,nh_white,hs_or_less,some_college,0.8664,-0.14335,3494.3
male,hispanic,nh_white,hs_or_less,bachelors,0.7664,-0.26604,1647.4
male,hispanic,nh_white,hs_or_less,graduate,0.7843,-0.24294,716.4
male,hispanic,nh_white,some_college,hs_or_less,0.9461,-0.05543,1744.6
male,hispanic,nh_white,some_college,some_college,0.9582,-0.04268,3987.0
male,hispanic,nh_white,some_college,bachelors,1.1121,0.10629,2620.9
male,hispanic,nh_white,some_college,graduate,1.1756,0.16181,1150.5
male,hispanic,nh_white,bachelors,hs_or_less,0.9505,-0.05078,492.4
male,hispanic,nh_white,bachelors,some_college,1.0063,0.00626,1235.8
male,hispanic,nh_white,bachelors,bachelors,1.2498,0.22296,3329.8
male,hispanic,nh_white,bachelors,graduate,1.2972,0.26017,1662.1
male,hispanic,nh_white,graduate,hs_or_less,0.9813,-0.01887,149.0
male,hispanic,nh_white,graduate,some_college,0.9889,-0.01117,363.4
male,hispanic,nh_white,graduate,bachelors,1.1925,0.17602,1091.8
male,hispanic,nh_white,graduate,graduate,1.2604,0.23144,1489.0
male,hispanic,nh_black,hs_or_less,hs_or_less,0.7386,-0.30299,330.3
male,hispanic,nh_black,hs_or_less,some_college,1.0569,0.05536,328.0
male,hispanic,nh_black,hs_or_less,bachelors,1.2875,0.25272,124.1
male,hispanic,nh_black,hs_or_less,graduate,1.224,0.20212,62.7
male,hispanic,nh_black,some_college,hs_or_less,0.7839,-0.24341,123.1
male,hispanic,nh_black,some_college,some_college,0.8837,-0.12364,276.7
male,hispanic,nh_black,some_college,bachelors,1.4908,0.39932,155.7
male,hispanic,nh_black,some_college,graduate,1.2289,0.20612,64.6
male,hispanic,nh_black,bachelors,hs_or_less,0.9131,-0.09096,40.7
male,hispanic,nh_black,bachelors,some_college,0.7512,-0.28611,62.8
male,hispanic,nh_black,bachelors,bachelors,1.2204,0.19916,138.8
male,hispanic,nh_black,bachelors,graduate,1.1212,0.11437,72.7
male,hispanic,nh_black,graduate,hs_or_less,0.9517,-0.04952,11.9
male,hispanic,nh_black,graduate,some_college,0.8185,-0.2003,17.7
male,hispanic,nh_black,graduate,bachelors,0.9246,-0.07835,33.3
male,hispanic,nh_black,graduate,graduate,0.9443,-0.05727,53.5
male,hispanic,nh_asian,hs_or_less,hs_or_less,0.5857,-0.53486,212.7
male,hispanic,nh_asian,hs_or_less,some_college,0.9012,-0.10401,246.2
male,hispanic,nh_asian,hs_or_less,bachelors,0.7026,-0.35299,192.2
male,hispanic,nh_asian,hs_or_less,graduate,0.5062,-0.68083,55.2
male,hispanic,nh_asian,some_college,hs_or_less,0.9817,-0.01844,136.3
male,hispanic,nh_asian,some_college,some_college,1.1804,0.16582,355.6
male,hispanic,nh_asian,some_college,bachelors,1.0728,0.07025,348.7
male,hispanic,nh_asian,some_college,graduate,0.7075,-0.34609,108.2
male,hispanic,nh_asian,bachelors,hs_or_less,1.3598,0.30733,62.1
male,hispanic,nh_asian,bachelors,some_college,1.2611,0.23201,116.8
male,hispanic,nh_asian,bachelors,bachelors,1.2501,0.22326,465.2
male,hispanic,nh_asian,bachelors,graduate,1.1089,0.10339,251.5
male,hispanic,nh_asian,graduate,hs_or_less,1.3847,0.32548,25.9
male,hispanic,nh_asian,graduate,some_college,1.324,0.28066,41.0
male,hispanic,nh_asian,graduate,bachelors,1.1675,0.15487,146.7
male,hispanic,nh_asian,graduate,graduate,1.1939,0.17719,239.0
male,hispanic,nh_aian,hs_or_less,hs_or_less,1.1273,0.1198,127.4
male,hispanic,nh_aian,hs_or_less,some_college,0.9637,-0.03695,63.7
male,hispanic,nh_aian,hs_or_less,bachelors,1.3196,0.27729,26.3
male,hispanic,nh_aian,hs_or_less,graduate,1.2512,0.22413,12.9
male,hispanic,nh_aian,some_college,hs_or_less,0.8626,-0.1478,30.2
male,hispanic,nh_aian,some_college,some_college,1.1856,0.17022,87.5
male,hispanic,nh_aian,some_college,bachelors,1.0276,0.02725,15.5
male,hispanic,nh_aian,some_college,graduate,1.1331,0.12493,9.3
male,hispanic,nh_aian,bachelors,hs_or_less,0.8404,-0.17385,4.3
male,hispanic,nh_aian,bachelors,some_college,0.8736,-0.13516,14.0
male,hispanic,nh_aian,bachelors,bachelors,0.7685,-0.26335,4.2
male,hispanic,nh_aian,bachelors,graduate,0.9901,-0.00991,5.8
male,hispanic,nh_aian,graduate,hs_or_less,1.0974,0.09295,6.6
male,hispanic,nh_aian,graduate,some_college,0.878,-0.13009,1.5
male,hispanic,nh_aian,graduate,bachelors,0.9758,-0.0245,4.8
male,hispanic,nh_aian,graduate,graduate,0.8905,-0.11599,1.7
male,hispanic,nh_nhpi,hs_or_less,hs_or_less,1.0538,0.05236,41.8
male,hispanic,nh_nhpi,hs_or_less,some_college,0.9767,-0.02355,18.9
male,hispanic,nh_nhpi,hs_or_less,bachelors,0.9295,-0.07316,2.2
male,hispanic,nh_nhpi,hs_or_less,graduate,0.9731,-0.0273,0.8
male,hispanic,nh_nhpi,some_college,hs_or_less,1.0935,0.08939,18.3
