cbsa,metro,rank_m3_0_0,rank_m3_1_0,move,index_m3_0_0,index_m3_1_0
35620,"New York, NY",1,1,0,105.43,105.87
14460,"Boston, MA",2,2,0,111.19,111.98
41860,"San Francisco, CA",4,3,1,103.19,105.27
16980,"Chicago, IL",3,4,-1,106.85,107.02
37980,"Philadelphia, PA",5,5,0,107.2,107.43
31080,"Los Angeles, CA",6,6,0,97.6,97.83
42660,"Seattle, WA",9,7,2,102.48,103.77
41940,"San Jose, CA",11,8,3,105.81,110.49
35380,"New Orleans, LA",7,9,-2,105.43,104.75
12420,"Austin, TX",8,10,-2,106.27,106.62
47900,"Washington, DC",12,11,1,110.48,111.52
12060,"Atlanta, GA",10,12,-2,108.06,108.93
26420,"Houston, TX",13,13,0,100.41,100.63
19100,"Dallas, TX",14,14,0,103.63,103.72
41740,"San Diego, CA",15,15,0,101.6,101.8
19740,"Denver, CO",16,16,0,110.53,110.17
38300,"Pittsburgh, PA",17,17,0,103.34,103.67
33340,"Milwaukee, WI",18,18,0,101.87,102.34
38900,"Portland, OR",20,19,1,98.54,98.6
33100,"Miami, FL",19,20,-1,95.65,95.05
12580,"Baltimore, MD",21,21,0,109.02,109.01
17410,"Cleveland, OH",23,22,1,99.46,99.45
31540,"Madison, WI",25,23,2,107.52,110.15
38060,"Phoenix, AZ",22,24,-2,97.72,97.16
39580,"Raleigh, NC",24,25,-1,113.0,114.31
18140,"Columbus, OH",29,26,3,103.96,104.17
19820,"Detroit, MI",26,27,-1,104.84,104.69
16740,"Charlotte, NC",28,28,0,106.44,106.24
41180,"St. Louis, MO",27,29,-2,101.45,100.93
15380,"Buffalo, NY",30,30,0,102.02,101.42
36740,"Orlando, FL",31,31,0,99.34,98.54
47260,"Virginia Beach, VA",32,32,0,100.77,101.15
45300,"Tampa, FL",36,33,3,95.22,94.87
25540,"Hartford, CT",34,34,0,104.29,104.19
40380,"Rochester, NY",33,35,-2,103.18,102.2
32820,"Memphis, TN",35,36,-1,106.98,106.44
14500,"Boulder, CO",37,37,0,110.65,111.03
33460,"Minneapolis, MN",39,38,1,101.58,101.72
14860,"Bridgeport, CT",43,39,4,105.78,106.29
39300,"Providence, RI",38,40,-2,95.27,94.8
26900,"Indianapolis, IN",40,41,-1,100.49,100.27
28140,"Kansas City, MO",41,42,-1,100.31,99.81
41700,"San Antonio, TX",42,43,-1,93.62,92.91
34980,"Nashville, TN",45,44,1,101.26,101.68
21340,"El Paso, TX",50,45,5,94.91,95.05
35300,"New Haven, CT",44,46,-2,103.49,102.91
20500,"Durham, NC",49,47,2,110.55,112.11
10580,"Albany, NY",46,48,-2,101.79,101.86
40060,"Richmond, VA",47,49,-2,105.86,106.0
17140,"Cincinnati, OH",53,50,3,97.01,97.12
16700,"Charleston, SC",48,51,-3,102.51,102.31
42340,"Savannah, GA",52,52,0,104.08,104.0
12940,"Baton Rouge, LA",57,53,4,102.8,103.11
22020,"Fargo, ND",64,54,10,100.85,102.43
36420,"Oklahoma City, OK",61,55,6,95.06,95.04
22660,"Fort Collins, CO",54,56,-2,114.19,114.98
11460,"Ann Arbor, MI",56,57,-1,115.11,117.29
40900,"Sacramento, CA",62,58,4,92.64,92.82
36540,"Omaha, NE",63,59,4,97.04,97.99
41620,"Salt Lake City, UT",55,60,-5,99.5,99.07
40140,"Riverside, CA",58,61,-3,93.78,93.18
23540,"Gainesville, FL",59,62,-3,111.05,111.39
21500,"Erie, PA",51,63,-12,103.67,102.04
17900,"Columbia, SC",60,64,-4,107.72,108.27
45780,"Toledo, OH",65,65,0,95.41,94.87
19780,"Des Moines, IA",74,66,8,93.85,94.75
