search,metros,median_abs_change_pts,p90_abs_change_pts,max_abs_change_pts,kendall_tau_index,top_by_index_before,top_by_index_after,top1_changes,top10_score_overlap
persona:A_woman32_ba_men_75k,193,0.88,2.5,6.45,0.913,"Canton, OH | Waco, TX | Greeley, CO","Waco, TX | Canton, OH | Greeley, CO",True,10
persona:B_man28_women_never,193,1.22,2.93,8.07,0.877,"San Jose, CA | Ann Arbor, MI | Madison, WI","San Jose, CA | Madison, WI | Ann Arbor, MI",False,10
persona:C_woman38_grad_men_100k,193,1.41,4.1,12.22,0.898,"Duluth, MN | Kalamazoo, MI | Lincoln, NE","Duluth, MN | Kalamazoo, MI | Ocala, FL",False,8
persona:D_man41_women_50k,193,1.56,4.57,13.64,0.841,"Fargo, ND | Green Bay, WI | Huntington, WV","Fargo, ND | Huntington, WV | Green Bay, WI",False,9
persona:E_black_woman29_stress,161,1.72,4.82,10.73,0.966,"Scranton, PA | Omaha, NE | Des Moines, IA","Scranton, PA | Omaha, NE | Des Moines, IA",False,4
persona:race_asian_nh_men,192,1.74,5.23,10.55,0.926,"Myrtle Beach, SC | York, PA | Greenville, SC","Myrtle Beach, SC | York, PA | Greenville, SC",False,10
persona:race_hispanic_women,193,1.78,5.18,11.99,0.825,"Fargo, ND | Green Bay, WI | Birmingham, AL","Fargo, ND | Green Bay, WI | Birmingham, AL",False,8
persona:race_white_nh_grad_multi,193,2.54,6.93,17.97,0.884,"Slidell, LA | Santa Cruz, CA | Peoria, IL","Slidell, LA | Santa Cruz, CA | Peoria, IL",False,8
persona:race_two_or_more_and_other,193,1.59,4.56,7.22,0.922,"Corpus Christi, TX | Visalia, CA | Baltimore, MD","Corpus Christi, TX | Visalia, CA | Baltimore, MD",False,8
persona:broad_any,193,1.31,3.48,7.72,0.897,"Denver, CO | Salt Lake City, UT | Seattle, WA","Denver, CO | Seattle, WA | Bremerton, WA",False,9
persona:slider_all_match,193,0.94,2.34,5.99,0.881,"Ann Arbor, MI | Boulder, CO | Madison, WI","Washington, DC | Boulder, CO | Boston, MA",True,10
persona:slider_alias_pool_vs_balance,193,0.94,2.34,5.99,0.881,"Ann Arbor, MI | Boulder, CO | Madison, WI","Washington, DC | Boulder, CO | Boston, MA",True,10
persona:self_edu_and_race,193,0.68,1.92,13.34,0.977,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Honolulu, HI",False,10
persona:self_edu_only_hs,193,0.97,2.51,5.88,0.926,"Montgomery, AL | Yakima, WA | Brownsville, TX","Montgomery, AL | Yakima, WA | Brownsville, TX",False,9
