search,metros,median_abs_change_pts,p90_abs_change_pts,max_abs_change_pts,kendall_tau_index,top_by_index_before,top_by_index_after,top1_changes,top10_score_overlap
persona:A_woman32_ba_men_75k,193,1.88,3.91,6.5,0.892,"Canton, OH | Waco, TX | Greeley, CO","Canton, OH | Waco, TX | Greeley, CO",False,9
persona:B_man28_women_never,193,0.96,2.27,3.79,0.926,"San Jose, CA | Ann Arbor, MI | Madison, WI","San Jose, CA | Ann Arbor, MI | Madison, WI",False,10
persona:C_woman38_grad_men_100k,193,0.76,1.79,2.87,0.947,"Duluth, MN | Kalamazoo, MI | Lincoln, NE","Duluth, MN | Kalamazoo, MI | Lincoln, NE",False,9
persona:D_man41_women_50k,193,1.04,2.3,3.8,0.924,"Fargo, ND | Green Bay, WI | Huntington, WV","Fargo, ND | Huntington, WV | Green Bay, WI",False,9
persona:E_black_woman29_stress,161,0.82,2.24,3.77,0.979,"Scranton, PA | Omaha, NE | Des Moines, IA","Scranton, PA | Omaha, NE | Des Moines, IA",False,4
persona:race_asian_nh_men,192,1.88,4.58,10.23,0.929,"Myrtle Beach, SC | York, PA | Greenville, SC","Myrtle Beach, SC | York, PA | Greenville, SC",False,10
persona:race_hispanic_women,193,1.71,4.37,13.36,0.799,"Fargo, ND | Green Bay, WI | Birmingham, AL","Fargo, ND | Green Bay, WI | Gainesville, FL",False,8
persona:race_white_nh_grad_multi,193,0.74,1.51,3.48,0.958,"Slidell, LA | Santa Cruz, CA | Peoria, IL","Slidell, LA | Santa Cruz, CA | Peoria, IL",False,9
persona:race_two_or_more_and_other,193,1.76,4.23,7.9,0.902,"Corpus Christi, TX | Visalia, CA | Baltimore, MD","Corpus Christi, TX | Visalia, CA | Spartanburg, SC",False,9
persona:broad_any,193,0.9,2.01,3.39,0.945,"Denver, CO | Salt Lake City, UT | Seattle, WA","Denver, CO | San Francisco, CA | Seattle, WA",False,10
persona:slider_all_match,193,1.24,2.31,3.56,0.916,"Ann Arbor, MI | Boulder, CO | Madison, WI","Tuscaloosa, AL | Ann Arbor, MI | Boulder, CO",True,9
persona:slider_alias_pool_vs_balance,193,1.24,2.31,3.56,0.916,"Ann Arbor, MI | Boulder, CO | Madison, WI","Tuscaloosa, AL | Ann Arbor, MI | Boulder, CO",True,9
persona:self_edu_and_race,193,1.28,3.39,16.91,0.959,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Seattle, WA",False,10
persona:self_edu_only_hs,193,1.79,4.24,7.79,0.906,"Montgomery, AL | Yakima, WA | Brownsville, TX","Yakima, WA | Montgomery, AL | Brownsville, TX",True,9
persona:importance_controls,193,1.07,2.23,2.92,0.903,"Ann Arbor, MI | Atlanta, GA | Jackson, MS","Jackson, MS | Atlanta, GA | Montgomery, AL",True,10
persona:importance_lifestyle_alias,193,0.88,2.04,3.41,0.936,"Cedar Rapids, IA | Madison, WI | Lancaster, PA","Madison, WI | Lancaster, PA | Cedar Rapids, IA",True,9
persona:same_sex_pool,193,0.65,2.23,8.29,0.908,"San Jose, CA | Green Bay, WI | Madison, WI","San Jose, CA | Green Bay, WI | Sioux Falls, SD",False,10
male:25:undisclosed,193,0.93,2.06,3.42,0.936,"Provo, UT | College Station, TX | Ann Arbor, MI","Ann Arbor, MI | College Station, TX | Provo, UT",True,10
