search,metros,median_abs_change_pts,p90_abs_change_pts,max_abs_change_pts,kendall_tau_index,top_by_index_before,top_by_index_after,top1_changes,top10_score_overlap
persona:A_woman32_ba_men_75k,193,0.58,1.31,4.26,0.954,"Canton, OH | Waco, TX | Greeley, CO","Waco, TX | Canton, OH | Greeley, CO",True,9
persona:B_man28_women_never,193,1.11,2.59,3.5,0.92,"San Jose, CA | Ann Arbor, MI | Madison, WI","San Jose, CA | Ann Arbor, MI | Madison, WI",False,10
persona:C_woman38_grad_men_100k,193,0.41,1.0,2.1,0.964,"Duluth, MN | Kalamazoo, MI | Lincoln, NE","Duluth, MN | Kalamazoo, MI | Ann Arbor, MI",False,10
persona:D_man41_women_50k,193,0.82,2.02,4.61,0.933,"Fargo, ND | Green Bay, WI | Huntington, WV","Fargo, ND | Huntington, WV | Green Bay, WI",False,9
persona:E_black_woman29_stress,161,0.46,1.16,2.09,0.99,"Scranton, PA | Omaha, NE | Des Moines, IA","Scranton, PA | Omaha, NE | Des Moines, IA",False,4
persona:race_asian_nh_men,192,0.47,1.31,2.71,0.978,"Myrtle Beach, SC | York, PA | Greenville, SC","Myrtle Beach, SC | York, PA | Greenville, SC",False,10
persona:race_hispanic_women,193,1.04,2.46,7.2,0.877,"Fargo, ND | Green Bay, WI | Birmingham, AL","Fargo, ND | Green Bay, WI | Gainesville, FL",False,9
persona:race_white_nh_grad_multi,193,0.36,0.87,2.35,0.977,"Slidell, LA | Santa Cruz, CA | Peoria, IL","Slidell, LA | Santa Cruz, CA | Peoria, IL",False,9
persona:race_two_or_more_and_other,193,1.49,3.62,6.16,0.923,"Corpus Christi, TX | Visalia, CA | Baltimore, MD","Corpus Christi, TX | Visalia, CA | Spartanburg, SC",False,9
persona:broad_any,193,0.96,2.11,3.24,0.939,"Denver, CO | Salt Lake City, UT | Seattle, WA","Denver, CO | San Francisco, CA | Seattle, WA",False,10
persona:slider_all_match,193,1.2,2.56,3.61,0.919,"Ann Arbor, MI | Boulder, CO | Madison, WI","Tuscaloosa, AL | Ann Arbor, MI | Madison, WI",True,9
persona:slider_alias_pool_vs_balance,193,1.2,2.56,3.61,0.919,"Ann Arbor, MI | Boulder, CO | Madison, WI","Tuscaloosa, AL | Ann Arbor, MI | Madison, WI",True,9
persona:self_edu_and_race,193,0.5,1.7,4.25,0.985,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Honolulu, HI",False,9
persona:self_edu_only_hs,193,0.82,1.94,3.02,0.957,"Montgomery, AL | Yakima, WA | Brownsville, TX","Montgomery, AL | Yakima, WA | Shreveport, LA",False,10
persona:importance_controls,193,1.12,2.37,3.37,0.9,"Ann Arbor, MI | Atlanta, GA | Jackson, MS","Jackson, MS | Atlanta, GA | Montgomery, AL",True,10
persona:importance_lifestyle_alias,193,0.99,2.11,3.89,0.931,"Cedar Rapids, IA | Madison, WI | Lancaster, PA","Madison, WI | Cedar Rapids, IA | Lancaster, PA",True,9
persona:same_sex_pool,193,0.27,0.68,2.77,0.963,"San Jose, CA | Green Bay, WI | Madison, WI","San Jose, CA | Green Bay, WI | Madison, WI",False,10
male:25:undisclosed,193,1.11,2.42,3.77,0.932,"Provo, UT | College Station, TX | Ann Arbor, MI","Ann Arbor, MI | College Station, TX | Provo, UT",True,10
male:25:edu=hs_or_less,193,0.61,1.28,2.3,0.966,"Provo, UT | McAllen, TX | Visalia, CA","Provo, UT | McAllen, TX | Visalia, CA",False,10
male:25:edu=some_college,193,1.7,3.76,5.64,0.868,"Provo, UT | San Luis Obispo, CA | Santa Cruz, CA","Provo, UT | San Luis Obispo, CA | Santa Cruz, CA",False,10
male:25:edu=bachelors,193,1.17,2.78,4.59,0.967,"Ann Arbor, MI | Madison, WI | San Jose, CA","Ann Arbor, MI | Madison, WI | San Jose, CA",False,10
male:25:edu=graduate,193,0.81,1.84,4.01,0.982,"San Jose, CA | Ann Arbor, MI | Madison, WI","San Jose, CA | Ann Arbor, MI | Madison, WI",False,9
male:25:race=hispanic,193,0.82,2.03,4.65,0.985,"McAllen, TX | Brownsville, TX | Laredo, TX","McAllen, TX | Brownsville, TX | Laredo, TX",False,10
male:25:race=nh_white,193,1.37,3.3,4.7,0.969,"Provo, UT | Lincoln, NE | Madison, WI","Provo, UT | Lincoln, NE | Madison, WI",False,9
male:25:race=nh_black,193,0.89,2.41,5.88,0.979,"Montgomery, AL | Memphis, TN | Jackson, MS","Montgomery, AL | Memphis, TN | Jackson, MS",False,10
male:25:race=nh_asian,193,0.62,2.15,5.87,0.984,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Ann Arbor, MI",False,10
male:25:race=nh_aian,193,1.06,2.71,26.38,0.975,"Sioux Falls, SD | Anchorage, AK | Duluth, MN","Sioux Falls, SD | Anchorage, AK | Duluth, MN",False,9
male:25:race=nh_nhpi,193,0.87,2.94,22.89,0.983,"Fayetteville, AR | Salem, OR | Anchorage, AK","Fayetteville, AR | Salem, OR | Honolulu, HI",False,10
male:25:race=nh_twoplus,193,1.36,2.75,4.41,0.948,"Fayetteville, AR | Lincoln, NE | Ann Arbor, MI","Fayetteville, AR | Ann Arbor, MI | Lincoln, NE",False,10
male:25:race=nh_other,193,1.1,3.9,15.85,0.97,"Lynchburg, VA | Reading, PA | Peoria, IL","Lynchburg, VA | Reading, PA | Peoria, IL",False,9
male:25:edu=hs_or_less:race=hispanic,193,0.52,1.22,2.6,0.992,"McAllen, TX | Brownsville, TX | Laredo, TX","McAllen, TX | Brownsville, TX | Laredo, TX",False,10
male:25:edu=hs_or_less:race=nh_white,193,0.75,1.98,3.6,0.981,"Provo, UT | Springfield, MO | Duluth, MN","Provo, UT | Springfield, MO | Duluth, MN",False,10
male:25:edu=hs_or_less:race=nh_black,193,0.51,1.26,2.82,0.986,"Memphis, TN | Montgomery, AL | Jackson, MS","Memphis, TN | Montgomery, AL | Jackson, MS",False,10
male:25:edu=hs_or_less:race=nh_asian,193,0.44,1.46,4.85,0.984,"San Jose, CA | Honolulu, HI | Stockton, CA","San Jose, CA | Honolulu, HI | Stockton, CA",False,10
male:25:edu=hs_or_less:race=nh_aian,193,0.72,2.01,20.43,0.98,"Sioux Falls, SD | Anchorage, AK | Duluth, MN","Sioux Falls, SD | Anchorage, AK | Duluth, MN",False,10
male:25:edu=hs_or_less:race=nh_nhpi,193,0.7,2.47,12.69,0.987,"Fayetteville, AR | Anchorage, AK | Salem, OR","Fayetteville, AR | Anchorage, AK | Salem, OR",False,10
male:25:edu=hs_or_less:race=nh_twoplus,193,0.73,1.68,3.25,0.973,"Fayetteville, AR | Evansville, IN | Oklahoma City, OK","Fayetteville, AR | Oklahoma City, OK | Evansville, IN",False,10
male:25:edu=hs_or_less:race=nh_other,193,0.76,2.79,16.78,0.983,"Peoria, IL | Atlantic City, NJ | Akron, OH","Peoria, IL | Atlantic City, NJ | Akron, OH",False,10
male:25:edu=some_college:race=hispanic,193,1.19,3.38,7.7,0.977,"McAllen, TX | Brownsville, TX | El Paso, TX","McAllen, TX | Brownsville, TX | El Paso, TX",False,10
male:25:edu=some_college:race=nh_white,193,2.11,5.23,7.44,0.944,"Provo, UT | Duluth, MN | Lincoln, NE","Provo, UT | Duluth, MN | Lincoln, NE",False,9
male:25:edu=some_college:race=nh_black,193,1.34,3.49,8.55,0.965,"Jackson, MS | Montgomery, AL | Memphis, TN","Jackson, MS | Montgomery, AL | Memphis, TN",False,9
male:25:edu=some_college:race=nh_asian,193,1.39,3.95,9.64,0.968,"San Jose, CA | Honolulu, HI | San Francisco, CA","San Jose, CA | San Francisco, CA | Honolulu, HI",False,10
male:25:edu=some_college:race=nh_aian,193,1.77,5.16,46.9,0.941,"Anchorage, AK | Sioux Falls, SD | Duluth, MN","Anchorage, AK | Sioux Falls, SD | Duluth, MN",False,9
