sample,persona,share_replicates_with_>=8of10_overlap,match_index_replicate_sd_median,match_index_replicate_sd_p90,match_index_p10_p90_spread,score_gap_rank10_to_rank11,score_span_ranks_7_to_14,skipped
recent,A_woman32_ba_men_75k,1.0,2.73,4.21,15.9,0.1,4.4,
recent,B_man28_women_never,1.0,2.12,3.34,25.7,0.1,6.1,
recent,C_woman38_grad_men_100k,1.0,3.51,5.38,14.2,0.0,7.4,
recent,D_man41_women_50k,0.7125,4.1,6.76,26.1,0.5,1.2,
recent,E_black_woman29_stress,,,,,,,only 4 ranked
recent,race_asian_nh_men,1.0,2.8,4.59,18.1,4.6,8.3,
recent,race_hispanic_women,0.975,2.92,4.67,10.9,0.3,5.3,
recent,race_white_nh_grad_multi,1.0,4.12,6.06,17.0,1.8,10.9,
recent,below_bar_nhpi_250k,,,,,,,only 0 ranked
recent,race_two_or_more_and_other,1.0,4.54,6.91,20.6,0.3,9.4,
recent,broad_any,1.0,2.76,4.06,27.5,0.2,4.2,
recent,slider_all_match,0.7,2.0,3.1,16.9,0.1,2.0,
recent,slider_alias_pool_vs_balance,0.7,2.0,3.1,16.9,0.1,2.0,
recent,self_edu_and_race,1.0,7.1,15.56,87.5,0.5,3.8,
recent,self_edu_only_hs,1.0,2.88,4.35,29.8,0.1,3.4,
recent,importance_controls,1.0,2.71,3.97,17.4,0.7,4.4,
recent,importance_lifestyle_alias,1.0,2.84,4.55,26.0,2.4,6.4,
recent,same_sex_pool,1.0,3.42,5.11,19.5,2.3,6.1,
decay_h5,A_woman32_ba_men_75k,0.9875,2.69,4.18,14.4,0.5,4.1,
decay_h5,B_man28_women_never,1.0,2.1,3.35,25.9,1.0,6.3,
decay_h5,C_woman38_grad_men_100k,0.975,3.37,5.35,12.5,1.5,8.3,
decay_h5,D_man41_women_50k,0.95,4.05,6.7,25.2,0.1,1.3,
decay_h5,E_black_woman29_stress,,,,,,,only 4 ranked
decay_h5,race_asian_nh_men,1.0,2.79,4.63,18.5,4.6,8.3,
decay_h5,race_hispanic_women,0.9875,2.93,4.71,10.1,0.1,4.8,
decay_h5,race_white_nh_grad_multi,0.9625,4.1,5.95,16.5,0.4,10.4,
decay_h5,below_bar_nhpi_250k,,,,,,,only 0 ranked
decay_h5,race_two_or_more_and_other,1.0,4.59,7.08,21.0,0.0,10.1,
decay_h5,broad_any,1.0,2.75,4.13,28.4,0.5,4.9,
decay_h5,slider_all_match,0.9625,2.01,3.14,19.0,0.0,3.6,
decay_h5,slider_alias_pool_vs_balance,0.9625,2.01,3.14,19.0,0.0,3.6,
decay_h5,self_edu_and_race,1.0,7.64,16.97,91.5,0.1,3.8,
decay_h5,self_edu_only_hs,1.0,2.85,4.39,29.5,0.7,3.3,
decay_h5,importance_controls,0.9875,2.76,4.05,17.7,0.2,4.5,
decay_h5,importance_lifestyle_alias,1.0,2.79,4.55,26.0,1.4,6.8,
decay_h5,same_sex_pool,1.0,3.49,5.18,19.6,1.8,4.7,
