sex_s,age_s,age_c,raw_share,fitted_share,raw_weight
male,25,18,0.0010123254312266077,0.0010265044420441267,415.8884663623868
male,25,19,0.004107744830081021,0.0031674045942220188,1687.5637466900741
male,25,20,0.012443415971998571,0.010164948351339124,5112.064782007122
male,25,21,0.030750843297693998,0.027711136332224284,12633.211281605405
male,25,22,0.06415137038711452,0.06189459126042591,26354.978569505332
male,25,23,0.1257355505043422,0.12318314824774741,51655.29152332025
male,25,24,0.21390989380527076,0.21718708422217628,87879.5048807787
male,25,25,0.261581402393433,0.2627908743741504,107464.14632546657
male,25,26,0.13105283036173832,0.1383000285053737,53839.762343570794
male,25,27,0.056244573820881126,0.057610481496165294,23106.669877125856
male,25,28,0.029237329234752106,0.029620868643685672,12011.422059445771
male,25,29,0.017683603417396374,0.01711630235856488,7264.86412191631
male,25,30,0.01488059917235026,0.012652671017586001,6113.320259912374
male,25,31,0.008025780475154736,0.007913836127975792,3297.1902416092935
male,25,32,0.006136070350261049,0.005605212821604846,2520.8503202074917
male,25,33,0.00448140912742977,0.004076130386441347,1841.07433406162
male,25,34,0.0033342962283005786,0.0035072035338691017,1369.8118233635566
male,25,35,0.00397750647633819,0.0036623933486981783,1634.0585915997406
male,25,36,0.0012696122243704556,0.0015843689334271672,521.588280389818
male,25,37,0.001886500921779148,0.0014382046834355406,775.0215009409686
male,25,38,0.0013757283125387942,0.0013996894109714704,565.1834087975199
male,25,39,0.0007296232497759086,0.0009891036430975204,299.7473786704843
male,25,40,0.0011114775348432715,0.0010153838779407333,456.6226167035216
male,25,41,0.0008555080660176297,0.0007312720667218907,351.46399227135396
male,25,42,0.0007768398891324996,0.0009120080137103552,319.14514852104026
male,25,43,0.0003703733301534549,0.0006402306697625519,152.15857619264924
male,25,44,0.00012533790292144136,0.0005256179030858607,51.49192800571607
male,25,45,0.0002897863602486896,0.0004030535736243256,119.05144454440527
male,25,46,0.0003934014180157497,0.0004139041240484655,161.6190874560122
male,25,47,0.00021402048243239364,0.00022526714131758472,87.92493743943281
male,25,48,0.0003169840081810182,0.0003880578421092648,130.22491479253964
male,25,49,0.00030394179363385667,0.00017259361405071963,124.86684866214915
male,25,50,5.841905297818068e-05,0.00015622874544007724,24.0
male,25,51,7.983083587458693e-05,0.00011012627780188377,32.796492981590845
male,25,52,0.0002273742839953899,0.00016525807253125322,93.41101126592248
male,25,53,1.6833631209126552e-05,1.4571117932750923e-05,6.915674397699199
male,25,54,0.00019189794382168341,0.00015947473674598868,78.83644833202894
male,25,55,2.074192270038707e-05,0.00016732512245367796,8.521297751869046
male,25,56,5.910657888034141e-05,0.00010807397824799337,24.282452741197645
male,25,57,0.0,2.5662313927964508e-05,0.0
male,25,58,0.0,0.00011542368938510203,0.0
male,25,59,0.00023523356919164648,0.0001274043889163347,96.63980110578188
male,25,60,0.0,3.844086362206833e-06,0.0
male,25,61,3.358113009821599e-05,9.771544111497203e-05,13.795963495988241
male,25,62,2.569480084819007e-05,0.00016240596281144663,10.556063286183154
male,25,63,2.6562740230706142e-05,0.00015030629292824455,10.912634372471832
male,25,64,1.817450647364104e-05,3.866599522131737e-05,7.466539307480726
male,25,65,7.545794343015003e-05,4.257525676529745e-05,31.0
male,25,66,4.496590148433262e-05,0.00014743244223215445,18.473110750820517
male,25,67,0.00012044437897589095,6.750535985824791e-05,49.481546653983536
male,25,68,0.0,9.207351692050946e-05,0.0
male,25,69,0.0,1.6908351550825124e-05,0.0
male,25,70,0.0,1.4432892537453362e-06,0.0
male,35,18,6.817122058576207e-05,6.553639520505303e-05,43.0
