sex_s,cohort,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
male,18-19,-52,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-51,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-50,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-49,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-48,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-47,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-46,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-45,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-44,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-43,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-42,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-41,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-40,-9.210340371976182,-9.210340371976182,-9.250051383314046
male,18-19,-39,-9.210340371976182,1.48593626247211,1.4462252511342453
male,18-19,-38,-9.210340371976182,1.4859362624721373,1.4462252511342726
male,18-19,-37,-9.210340371976182,1.4859362624721373,1.4462252511342726
male,18-19,-36,-9.210340371976182,1.4859362624721377,1.446225251134273
male,18-19,-35,-9.210340371976182,1.4859362624721388,1.4462252511342741
male,18-19,-34,-9.210340371976182,1.4859362624721408,1.4462252511342761
male,18-19,-33,-9.210340371976182,1.485936262472147,1.4462252511342824
male,18-19,-32,-9.210340371976182,1.485936262472164,1.4462252511342992
male,18-19,-31,-9.210340371976182,1.48593626247221,1.4462252511343452
male,18-19,-30,-9.210340371976182,1.485936262472335,1.4462252511344702
male,18-19,-29,-9.210340371976182,1.4859362624726749,1.4462252511348102
male,18-19,-28,-9.210340371976182,1.4859362624735986,1.4462252511357339
male,18-19,-27,-9.210340371976182,1.4859362624761097,1.446225251138245
male,18-19,-26,-9.210340371976182,1.485936262482936,1.4462252511450713
male,18-19,-25,-9.210340371976182,1.4859362625014907,1.446225251163626
male,18-19,-24,-9.210340371976182,1.4859362625519283,1.4462252512140636
