sex_s,cohort,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
male,18-70,-52,-9.210340371976182,-9.210340371976182,-9.211530879075005
male,18-70,-51,-9.210340371976182,-9.210340371976182,-9.211530879075005
male,18-70,-50,-9.210340371976182,-9.210340371976182,-9.211530879075005
male,18-70,-49,-5.793916292206917,-5.794047074758993,-5.7952375818578155
male,18-70,-48,-5.563646976822837,-5.563797138975674,-5.5649876460744965
male,18-70,-47,-5.827001068339004,-5.826865377038254,-5.828055884137076
male,18-70,-46,-5.701034471042342,-5.701149044780516,-5.702339551879339
male,18-70,-45,-5.930658260710088,-5.93036349414481,-5.931554001243633
male,18-70,-44,-5.48029949357796,-5.480523179627684,-5.481713686726507
male,18-70,-43,-5.855004794408349,-5.854784671455024,-5.855975178553846
male,18-70,-42,-5.650717074598554,-5.650599499745651,-5.6517900068444735
male,18-70,-41,-5.273801992021977,-5.273806049650492,-5.274996556749315
male,18-70,-40,-5.058353132005356,-5.058380815297813,-5.059571322396636
male,18-70,-39,-4.978799105193134,-4.97890613224079,-4.980096639339613
male,18-70,-38,-5.239573775447488,-5.2394617479343895,-5.240652255033212
male,18-70,-37,-5.185581600162717,-5.185161641958998,-5.186352149057821
male,18-70,-36,-4.397446257635634,-4.3977530814404675,-4.39894358853929
male,18-70,-35,-4.878245887186521,-4.877646921187737,-4.87883742828656
male,18-70,-34,-4.1233399607491235,-4.123460363860669,-4.124650870959492
male,18-70,-33,-4.007515428616831,-4.007627984484023,-4.008818491582845
male,18-70,-32,-4.2532186881536225,-4.252991240124996,-4.254181747223819
male,18-70,-31,-3.9216290126409388,-3.921604816919185,-3.922795324018008
male,18-70,-30,-3.6473670403622935,-3.647437089563062,-3.6486275966618846
male,18-70,-29,-3.6328023131754676,-3.632699059627599,-3.6338895667264217
male,18-70,-28,-3.367174310940958,-3.3672480174366006,-3.3684385245354234
male,18-70,-27,-3.3665442725884716,-3.3664190955853974,-3.36760960268422
male,18-70,-26,-3.064356613522938,-3.0644128725729143,-3.065603379671737
male,18-70,-25,-2.9930640842707965,-2.9930468165772366,-2.9942373236760593
male,18-70,-24,-2.888681998336926,-2.888648749334824,-2.8898392564336466
male,18-70,-23,-2.7207591993012112,-2.720767039417666,-2.7219575465164887
male,18-70,-22,-2.6105420393422953,-2.61053388158047,-2.611724388679293
male,18-70,-21,-2.500066274882423,-2.499984217373477,-2.5011747244722997
male,18-70,-20,-2.2166806602455087,-2.216700259540502,-2.2178907666393246
male,18-70,-19,-2.0610559910523127,-2.0610505936892123,-2.062241100788035
male,18-70,-18,-1.9240612450655117,-1.924028151242121,-1.9252186583409436
male,18-70,-17,-1.7319158539135235,-1.7319016344628924,-1.733092141561715
male,18-70,-16,-1.5479932339675988,-1.5479914518116005,-1.5491819589104232
male,18-70,-15,-1.3988484642023247,-1.3988316586674552,-1.400022165766278
male,18-70,-14,-1.2352761928543525,-1.2352451701740799,-1.2364356772729026
male,18-70,-13,-1.0265773387375836,-1.026560134807622,-1.0277506419064448
male,18-70,-12,-0.8206017621210976,-0.82057727556075,-0.8217677826595728
male,18-70,-11,-0.5976790006969845,-0.5976406934797897,-0.5988312005786125
male,18-70,-10,-0.330901280520405,-0.3309179565879765,-0.33210846368679936
male,18-70,-9,-0.16617731899126018,-0.16613997968868982,-0.16733048678751264
male,18-70,-8,0.0653060121232671,0.06532365851914791,0.06413315142032508
male,18-70,-7,0.29522656835555905,0.2952570508072266,0.29406654370840374
male,18-70,-6,0.5561181853071572,0.5561466516689028,0.5549561445700799
male,18-70,-5,0.8330920109759745,0.833107097607224,0.8319165905084012
male,18-70,-4,1.0908506935611229,1.0908894032439667,1.089698896145144
male,18-70,-3,1.3934242469094147,1.3934340954909838,1.3922435883921611
male,18-70,-2,1.658077599285126,1.6580945625886132,1.6569040554897905
male,18-70,-1,1.9181782578343454,1.9181387236406242,1.9169482165418015
male,18-70,0,2.0325663428815313,2.0323990264493754,2.0312085193505527
male,18-70,1,1.5168208480936005,1.5169220811650985,1.5157315740662758
male,18-70,2,0.9817543943020741,0.981894547149017,0.9807040400501942
male,18-70,3,0.5847486941941487,0.5848314751172456,0.5836409680184228
male,18-70,4,0.27416015666681964,0.27421774622420125,0.2730272391253784
male,18-70,5,0.03653857022047101,0.036553809194159625,0.03536330209533679
