sex_s,cohort,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
male,18-70,-52,-9.210340371976182,-6.783817980851399,-6.790414665328401
male,18-70,-51,-9.210340371976182,-4.801155979961054,-4.807752664438056
male,18-70,-50,-3.7063098330383357,-4.32163423647797,-4.328230920954972
male,18-70,-49,-9.210340371976182,-4.913866131912547,-4.920462816389549
male,18-70,-48,-4.4075987100883545,-4.942318674998458,-4.9489153594754605
male,18-70,-47,-6.358078237326011,-5.638169903972872,-5.644766588449874
male,18-70,-46,-6.157824549080898,-6.279273270835614,-6.2858699553126165
male,18-70,-45,-9.210340371976182,-5.412721954373774,-5.419318638850776
male,18-70,-44,-4.1896240786346635,-4.566142685562048,-4.57273937003905
male,18-70,-43,-4.946895247697887,-4.3166055013830436,-4.323202185860046
male,18-70,-42,-3.65862128427467,-3.953418135054179,-3.9600148195311813
male,18-70,-41,-4.1760724556770175,-4.141543471984211,-4.1481401564612135
male,18-70,-40,-4.683765533334137,-4.3240462354381615,-4.330642919915164
male,18-70,-39,-3.9234772096646844,-4.111281390588635,-4.117878075065637
male,18-70,-38,-4.366240053365898,-3.817562231635488,-3.82415891611249
male,18-70,-37,-3.0848763239200356,-3.404615235188204,-3.4112119196652064
male,18-70,-36,-3.817316346851401,-3.37562799364808,-3.382224678125082
male,18-70,-35,-2.9437657151657914,-3.126406805164599,-3.133003489641601
male,18-70,-34,-3.1558590789801237,-3.065310179954043,-3.071906864431045
male,18-70,-33,-2.9563982316219484,-3.013957909179054,-3.020554593656056
male,18-70,-32,-3.0501970814110253,-2.9641784071312465,-2.9707750916082487
male,18-70,-31,-2.8213249234486186,-2.770866269053588,-2.7774629535305904
male,18-70,-30,-2.4653112150185144,-2.5923168865119957,-2.598913570988998
male,18-70,-29,-2.712439112663852,-2.5840449160578256,-2.590641600534828
male,18-70,-28,-2.46042421314645,-2.3961897184620478,-2.40278640293905
male,18-70,-27,-2.0526829552959063,-2.1875685243790843,-2.1941652088560866
male,18-70,-26,-2.270551489205263,-2.222097472196585,-2.2286941566735874
male,18-70,-25,-2.288503611138972,-2.21832629731212,-2.2249229817891223
male,18-70,-24,-2.068794145690662,-2.039108080690554,-2.045704765167556
male,18-70,-23,-1.7851282402385054,-1.8762441574318125,-1.8828408419088147
male,18-70,-22,-1.926217821699222,-1.8422405673407987,-1.848837251817801
male,18-70,-21,-1.7093439681051807,-1.7595420481125865,-1.7661387325895888
male,18-70,-20,-1.7435359126407084,-1.7066409164796756,-1.7132376009566779
male,18-70,-19,-1.6159096678434326,-1.6356550076375953,-1.6422516921145975
male,18-70,-18,-1.6181977105748184,-1.5062884562670815,-1.5128851407440838
male,18-70,-17,-1.2128525219904103,-1.2962306430679178,-1.30282732754492
male,18-70,-16,-1.2299582882977607,-1.2299427435728627,-1.236539428049865
male,18-70,-15,-1.227904177290664,-1.2136667762870779,-1.22026346076408
male,18-70,-14,-1.2003056016587839,-1.0940966929453344,-1.1006933774223366
male,18-70,-13,-0.8132909311085693,-0.8369807574504237,-0.8435774419274259
male,18-70,-12,-0.6258370178777484,-0.6565141981225922,-0.6631108825995944
male,18-70,-11,-0.59467192567523,-0.5292864186267856,-0.5358831031037878
male,18-70,-10,-0.31836178890396843,-0.3550143690466301,-0.3616110535236324
male,18-70,-9,-0.25088790232730723,-0.21543487126326152,-0.22203155574026381
male,18-70,-8,-0.056618382719835235,-0.046284160431443545,-0.05288084490844582
male,18-70,-7,0.14148827548245022,0.11319451880988124,0.10659783433287896
male,18-70,-6,0.19423654380466038,0.23757099004504761,0.23097430556804532
male,18-70,-5,0.4049567572573838,0.4201755137041399,0.4135788292271376
male,18-70,-4,0.6232717354221525,0.6357672486316133,0.629170564154611
male,18-70,-3,0.8438516827249621,0.8596269510560031,0.8530302665790008
male,18-70,-2,1.0839176957879808,1.0821923223972185,1.0755956379202163
male,18-70,-1,1.2728797906083458,1.2907095496865477,1.2841128652095455
male,18-70,0,1.5268683683780393,1.430276713356042,1.4236800288790397
male,18-70,1,1.3609225446321631,1.3769236647936447,1.3703269803166425
male,18-70,2,1.2578853157284304,1.251715855241869,1.2451191707648668
