sex_s,race_s,race_c,edu_s,edu_c,multiplier,log,sides_alloc
male,hispanic,hispanic,hs_or_less,hs_or_less,1.5524,0.43981,50266.3
male,hispanic,hispanic,hs_or_less,some_college,1.0763,0.07356,14833.2
male,hispanic,hispanic,hs_or_less,bachelors,1.1553,0.14439,5215.0
male,hispanic,hispanic,hs_or_less,graduate,1.0416,0.04077,1542.5
male,hispanic,hispanic,some_college,hs_or_less,0.7154,-0.33494,8400.2
male,hispanic,hispanic,some_college,some_college,0.7995,-0.2238,11786.9
male,hispanic,hispanic,some_college,bachelors,0.9036,-0.10139,4555.2
male,hispanic,hispanic,some_college,graduate,1.0292,0.02877,1648.0
male,hispanic,hispanic,bachelors,hs_or_less,0.7941,-0.2305,2653.0
male,hispanic,hispanic,bachelors,some_college,0.6567,-0.42045,2872.6
male,hispanic,hispanic,bachelors,bachelors,0.8667,-0.14304,4944.0
male,hispanic,hispanic,bachelors,graduate,0.8162,-0.20308,1714.2
male,hispanic,hispanic,graduate,hs_or_less,0.8749,-0.13364,852.3
male,hispanic,hispanic,graduate,some_college,0.7111,-0.34087,879.9
male,hispanic,hispanic,graduate,bachelors,0.7544,-0.28186,1435.0
male,hispanic,hispanic,graduate,graduate,0.936,-0.06611,1783.1
male,hispanic,nh_white,hs_or_less,hs_or_less,0.7636,-0.26977,3816.5
male,hispanic,nh_white,hs_or_less,some_college,0.8809,-0.12685,3494.3
male,hispanic,nh_white,hs_or_less,bachelors,0.7576,-0.27754,1647.4
male,hispanic,nh_white,hs_or_less,graduate,0.772,-0.2588,716.4
male,hispanic,nh_white,some_college,hs_or_less,0.9654,-0.03524,1744.6
male,hispanic,nh_white,some_college,some_college,0.9777,-0.02258,3987.0
male,hispanic,nh_white,some_college,bachelors,1.0873,0.08367,2620.9
male,hispanic,nh_white,some_college,graduate,1.1417,0.13248,1150.5
male,hispanic,nh_white,bachelors,hs_or_less,0.969,-0.03151,492.4
male,hispanic,nh_white,bachelors,some_college,1.0267,0.02633,1235.8
male,hispanic,nh_white,bachelors,bachelors,1.2272,0.2047,3329.8
male,hispanic,nh_white,bachelors,graduate,1.2578,0.22933,1662.1
male,hispanic,nh_white,graduate,hs_or_less,0.9977,-0.00228,149.0
male,hispanic,nh_white,graduate,some_college,1.0049,0.00487,363.4
male,hispanic,nh_white,graduate,bachelors,1.1814,0.16671,1091.8
male,hispanic,nh_white,graduate,graduate,1.2337,0.21,1489.0
male,hispanic,nh_black,hs_or_less,hs_or_less,0.7425,-0.29767,330.3
male,hispanic,nh_black,hs_or_less,some_college,1.0512,0.0499,328.0
male,hispanic,nh_black,hs_or_less,bachelors,1.2942,0.2579,124.1
male,hispanic,nh_black,hs_or_less,graduate,1.2325,0.20903,62.7
male,hispanic,nh_black,some_college,hs_or_less,0.7863,-0.24047,123.1
male,hispanic,nh_black,some_college,some_college,0.8763,-0.13204,276.7
male,hispanic,nh_black,some_college,bachelors,1.4831,0.39411,155.7
