sex_s,race_s,race_c,edu_s,edu_c,multiplier,log,sides_alloc
male,hispanic,hispanic,hs_or_less,hs_or_less,1.6636,0.50896,50266.3
male,hispanic,hispanic,hs_or_less,some_college,1.0501,0.04892,14833.2
male,hispanic,hispanic,hs_or_less,bachelors,1.1279,0.12038,5215.0
male,hispanic,hispanic,hs_or_less,graduate,1.0623,0.06047,1542.5
male,hispanic,hispanic,some_college,hs_or_less,0.8134,-0.20654,8400.2
male,hispanic,hispanic,some_college,some_college,0.8207,-0.1976,11786.9
male,hispanic,hispanic,some_college,bachelors,0.8229,-0.19489,4555.2
male,hispanic,hispanic,some_college,graduate,0.9552,-0.04582,1648.0
male,hispanic,hispanic,bachelors,hs_or_less,0.8325,-0.18333,2653.0
male,hispanic,hispanic,bachelors,some_college,0.7126,-0.33883,2872.6
male,hispanic,hispanic,bachelors,bachelors,0.8308,-0.1854,4944.0
male,hispanic,hispanic,bachelors,graduate,0.75,-0.2877,1714.2
male,hispanic,hispanic,graduate,hs_or_less,0.8703,-0.13895,852.3
male,hispanic,hispanic,graduate,some_college,0.7643,-0.2688,879.9
male,hispanic,hispanic,graduate,bachelors,0.7523,-0.28465,1435.0
male,hispanic,hispanic,graduate,graduate,0.8895,-0.11712,1783.1
male,hispanic,nh_white,hs_or_less,hs_or_less,0.8011,-0.2218,3816.5
male,hispanic,nh_white,hs_or_less,some_college,0.8516,-0.16065,3494.3
male,hispanic,nh_white,hs_or_less,bachelors,0.7428,-0.29739,1647.4
male,hispanic,nh_white,hs_or_less,graduate,0.7908,-0.23465,716.4
male,hispanic,nh_white,some_college,hs_or_less,1.0722,0.0697,1744.6
male,hispanic,nh_white,some_college,some_college,0.9959,-0.00411,3987.0
male,hispanic,nh_white,some_college,bachelors,0.9967,-0.00326,2620.9
male,hispanic,nh_white,some_college,graduate,1.066,0.06392,1150.5
male,hispanic,nh_white,bachelors,hs_or_less,0.9932,-0.0068,492.4
male,hispanic,nh_white,bachelors,some_college,1.1088,0.10332,1235.8
male,hispanic,nh_white,bachelors,bachelors,1.1852,0.16991,3329.8
male,hispanic,nh_white,bachelors,graduate,1.1631,0.15112,1662.1
male,hispanic,nh_white,graduate,hs_or_less,0.9781,-0.02213,149.0
male,hispanic,nh_white,graduate,some_college,1.0753,0.07259,363.4
male,hispanic,nh_white,graduate,bachelors,1.1816,0.1669,1091.8
