sex_s,race_s,race_c,edu_s,edu_c,multiplier,log,sides_alloc
male,hispanic,hispanic,hs_or_less,hs_or_less,1.6383,0.49367,50266.3
male,hispanic,hispanic,hs_or_less,some_college,1.0505,0.04931,14833.2
male,hispanic,hispanic,hs_or_less,bachelors,1.1361,0.12764,5215.0
male,hispanic,hispanic,hs_or_less,graduate,1.0728,0.0703,1542.5
male,hispanic,hispanic,some_college,hs_or_less,0.804,-0.21818,8400.2
male,hispanic,hispanic,some_college,some_college,0.8259,-0.19131,11786.9
male,hispanic,hispanic,some_college,bachelors,0.8248,-0.19265,4555.2
male,hispanic,hispanic,some_college,graduate,0.9598,-0.04099,1648.0
male,hispanic,hispanic,bachelors,hs_or_less,0.8206,-0.19768,2653.0
male,hispanic,hispanic,bachelors,some_college,0.7177,-0.33164,2872.6
male,hispanic,hispanic,bachelors,bachelors,0.8363,-0.17882,4944.0
male,hispanic,hispanic,bachelors,graduate,0.7557,-0.28012,1714.2
male,hispanic,hispanic,graduate,hs_or_less,0.8603,-0.15049,852.3
male,hispanic,hispanic,graduate,some_college,0.77,-0.26134,879.9
male,hispanic,hispanic,graduate,bachelors,0.7569,-0.27851,1435.0
male,hispanic,hispanic,graduate,graduate,0.8975,-0.10813,1783.1
male,hispanic,nh_white,hs_or_less,hs_or_less,0.8019,-0.22082,3816.5
male,hispanic,nh_white,hs_or_less,some_college,0.8557,-0.1558,3494.3
male,hispanic,nh_white,hs_or_less,bachelors,0.7426,-0.29754,1647.4
male,hispanic,nh_white,hs_or_less,graduate,0.7927,-0.23237,716.4
male,hispanic,nh_white,some_college,hs_or_less,1.0775,0.07461,1744.6
male,hispanic,nh_white,some_college,some_college,1.0045,0.00447,3987.0
male,hispanic,nh_white,some_college,bachelors,0.9881,-0.01196,2620.9
male,hispanic,nh_white,some_college,graduate,1.0601,0.05835,1150.5
male,hispanic,nh_white,bachelors,hs_or_less,0.9948,-0.00525,492.4
male,hispanic,nh_white,bachelors,some_college,1.1137,0.10773,1235.8
male,hispanic,nh_white,bachelors,bachelors,1.1781,0.1639,3329.8
male,hispanic,nh_white,bachelors,graduate,1.1576,0.14637,1662.1
male,hispanic,nh_white,graduate,hs_or_less,0.9794,-0.0208,149.0
male,hispanic,nh_white,graduate,some_college,1.076,0.07327,363.4
male,hispanic,nh_white,graduate,bachelors,1.1776,0.16351,1091.8
male,hispanic,nh_white,graduate,graduate,1.1766,0.16259,1489.0
male,hispanic,nh_black,hs_or_less,hs_or_less,0.7805,-0.24788,330.3
male,hispanic,nh_black,hs_or_less,some_college,1.0242,0.0239,328.0
male,hispanic,nh_black,hs_or_less,bachelors,1.2615,0.23234,124.1
male,hispanic,nh_black,hs_or_less,graduate,1.2355,0.21147,62.7
male,hispanic,nh_black,some_college,hs_or_less,0.8655,-0.14442,123.1
male,hispanic,nh_black,some_college,some_college,0.9009,-0.10435,276.7
male,hispanic,nh_black,some_college,bachelors,1.357,0.30529,155.7
male,hispanic,nh_black,some_college,graduate,1.1593,0.14785,64.6
male,hispanic,nh_black,bachelors,hs_or_less,0.9347,-0.06751,40.7
male,hispanic,nh_black,bachelors,some_college,0.8015,-0.22122,62.8
male,hispanic,nh_black,bachelors,bachelors,1.1689,0.1561,138.8
male,hispanic,nh_black,bachelors,graduate,1.0545,0.05304,72.7
male,hispanic,nh_black,graduate,hs_or_less,0.9548,-0.0463,11.9
male,hispanic,nh_black,graduate,some_college,0.8602,-0.15061,17.7
male,hispanic,nh_black,graduate,bachelors,0.9305,-0.07198,33.3
male,hispanic,nh_black,graduate,graduate,0.9246,-0.07843,53.5
male,hispanic,nh_asian,hs_or_less,hs_or_less,0.6506,-0.42982,212.7
male,hispanic,nh_asian,hs_or_less,some_college,0.9208,-0.08251,246.2
male,hispanic,nh_asian,hs_or_less,bachelors,0.6862,-0.37663,192.2
male,hispanic,nh_asian,hs_or_less,graduate,0.5179,-0.6579,55.2
male,hispanic,nh_asian,some_college,hs_or_less,1.1294,0.12168,136.3
male,hispanic,nh_asian,some_college,some_college,1.2818,0.24829,355.6
male,hispanic,nh_asian,some_college,bachelors,0.9586,-0.04223,348.7
male,hispanic,nh_asian,some_college,graduate,0.6469,-0.43563,108.2
male,hispanic,nh_asian,bachelors,hs_or_less,1.3998,0.33631,62.1
male,hispanic,nh_asian,bachelors,some_college,1.4049,0.33998,116.8
male,hispanic,nh_asian,bachelors,bachelors,1.1809,0.16625,465.2
male,hispanic,nh_asian,bachelors,graduate,0.9791,-0.02115,251.5
male,hispanic,nh_asian,graduate,hs_or_less,1.3364,0.28995,25.9
male,hispanic,nh_asian,graduate,some_college,1.3674,0.31291,41.0
male,hispanic,nh_asian,graduate,bachelors,1.1522,0.14167,146.7
male,hispanic,nh_asian,graduate,graduate,1.0958,0.09148,239.0
male,hispanic,nh_aian,hs_or_less,hs_or_less,1.149,0.13893,127.4
male,hispanic,nh_aian,hs_or_less,some_college,0.9366,-0.06555,63.7
male,hispanic,nh_aian,hs_or_less,bachelors,1.2609,0.23179,26.3
male,hispanic,nh_aian,hs_or_less,graduate,1.2136,0.19357,12.9
male,hispanic,nh_aian,some_college,hs_or_less,0.9153,-0.08847,30.2
male,hispanic,nh_aian,some_college,some_college,1.1767,0.16271,87.5
male,hispanic,nh_aian,some_college,bachelors,0.9898,-0.01026,15.5
male,hispanic,nh_aian,some_college,graduate,1.1008,0.09607,9.3
male,hispanic,nh_aian,bachelors,hs_or_less,0.8645,-0.14555,4.3
male,hispanic,nh_aian,bachelors,some_college,0.9051,-0.09976,14.0
male,hispanic,nh_aian,bachelors,bachelors,0.7849,-0.24218,4.2
male,hispanic,nh_aian,bachelors,graduate,0.9807,-0.01944,5.8
male,hispanic,nh_aian,graduate,hs_or_less,1.0767,0.07393,6.6
male,hispanic,nh_aian,graduate,some_college,0.9031,-0.10187,1.5
male,hispanic,nh_aian,graduate,bachelors,0.9771,-0.02312,4.8
male,hispanic,nh_aian,graduate,graduate,0.9034,-0.10156,1.7
male,hispanic,nh_nhpi,hs_or_less,hs_or_less,1.0597,0.05794,41.8
male,hispanic,nh_nhpi,hs_or_less,some_college,0.9636,-0.03704,18.9
male,hispanic,nh_nhpi,hs_or_less,bachelors,0.9376,-0.06445,2.2
male,hispanic,nh_nhpi,hs_or_less,graduate,0.9786,-0.02165,0.8
male,hispanic,nh_nhpi,some_college,hs_or_less,1.1064,0.10115,18.3
male,hispanic,nh_nhpi,some_college,some_college,1.037,0.0363,23.1
male,hispanic,nh_nhpi,some_college,bachelors,1.0456,0.04463,7.7
male,hispanic,nh_nhpi,some_college,graduate,0.9975,-0.00252,1.8
male,hispanic,nh_nhpi,bachelors,hs_or_less,0.9461,-0.05542,1.7
male,hispanic,nh_nhpi,bachelors,some_college,1.0619,0.06004,8.6
male,hispanic,nh_nhpi,bachelors,bachelors,0.9121,-0.09199,2.2
male,hispanic,nh_nhpi,bachelors,graduate,0.9893,-0.0108,2.1
male,hispanic,nh_nhpi,graduate,hs_or_less,0.9726,-0.02778,0.1
male,hispanic,nh_nhpi,graduate,some_college,0.9812,-0.01897,1.0
male,hispanic,nh_nhpi,graduate,bachelors,0.977,-0.02328,1.1
male,hispanic,nh_nhpi,graduate,graduate,1.0552,0.05368,4.4
male,hispanic,nh_twoplus,hs_or_less,hs_or_less,0.8988,-0.10667,501.1
male,hispanic,nh_twoplus,hs_or_less,some_college,0.8965,-0.10922,482.0
male,hispanic,nh_twoplus,hs_or_less,bachelors,0.8596,-0.15133,195.6
male,hispanic,nh_twoplus,hs_or_less,graduate,0.8496,-0.163,72.0
male,hispanic,nh_twoplus,some_college,hs_or_less,0.9063,-0.09833,174.6
male,hispanic,nh_twoplus,some_college,some_college,1.0634,0.06143,577.4
male,hispanic,nh_twoplus,some_college,bachelors,0.9671,-0.03348,272.1
male,hispanic,nh_twoplus,some_college,graduate,1.0432,0.04229,116.9
male,hispanic,nh_twoplus,bachelors,hs_or_less,1.0864,0.08286,68.8
male,hispanic,nh_twoplus,bachelors,some_college,1.1891,0.17321,188.0
male,hispanic,nh_twoplus,bachelors,bachelors,1.0846,0.08124,330.9
male,hispanic,nh_twoplus,bachelors,graduate,1.1349,0.12658,171.5
male,hispanic,nh_twoplus,graduate,hs_or_less,0.9273,-0.07543,13.7
male,hispanic,nh_twoplus,graduate,some_college,1.1123,0.10644,54.1
male,hispanic,nh_twoplus,graduate,bachelors,1.0671,0.06497,106.1
male,hispanic,nh_twoplus,graduate,graduate,0.9961,-0.00392,127.4
male,hispanic,nh_other,hs_or_less,hs_or_less,1.1198,0.11312,85.1
male,hispanic,nh_other,hs_or_less,some_college,0.9573,-0.04366,51.6
male,hispanic,nh_other,hs_or_less,bachelors,1.0097,0.00965,27.2
male,hispanic,nh_other,hs_or_less,graduate,1.0241,0.02381,12.5
male,hispanic,nh_other,some_college,hs_or_less,0.9407,-0.06109,20.9
male,hispanic,nh_other,some_college,some_college,1.0312,0.03073,57.4
male,hispanic,nh_other,some_college,bachelors,1.0603,0.0586,35.2
male,hispanic,nh_other,some_college,graduate,0.9817,-0.01851,12.4
male,hispanic,nh_other,bachelors,hs_or_less,1.1469,0.13704,14.0
male,hispanic,nh_other,bachelors,some_college,0.9528,-0.04837,12.8
male,hispanic,nh_other,bachelors,bachelors,0.8546,-0.15709,22.4
male,hispanic,nh_other,bachelors,graduate,0.9724,-0.02804,16.1
male,hispanic,nh_other,graduate,hs_or_less,1.0809,0.07779,5.5
male,hispanic,nh_other,graduate,some_college,1.0509,0.04965,6.8
male,hispanic,nh_other,graduate,bachelors,0.8907,-0.11572,5.6
male,hispanic,nh_other,graduate,graduate,0.9721,-0.02827,14.1
male,nh_white,hispanic,hs_or_less,hs_or_less,0.502,-0.68914,3286.4
male,nh_white,hispanic,hs_or_less,some_college,0.8655,-0.14443,2657.5
male,nh_white,hispanic,hs_or_less,bachelors,1.2047,0.1862,1197.3
male,nh_white,hispanic,hs_or_less,graduate,1.3528,0.30221,416.4
male,nh_white,hispanic,some_college,hs_or_less,0.6395,-0.44702,2146.1
male,nh_white,hispanic,some_college,some_college,0.9263,-0.0766,4178.0
male,nh_white,hispanic,some_college,bachelors,1.3253,0.28164,2296.6
male,nh_white,hispanic,some_college,graduate,1.5455,0.43535,861.6
male,nh_white,hispanic,bachelors,hs_or_less,0.584,-0.5379,960.6
male,nh_white,hispanic,bachelors,some_college,0.9793,-0.0209,2053.5
male,nh_white,hispanic,bachelors,bachelors,1.3035,0.26506,4032.0
male,nh_white,hispanic,bachelors,graduate,1.4986,0.40451,1770.0
male,nh_white,hispanic,graduate,hs_or_less,0.6402,-0.44597,360.0
male,nh_white,hispanic,graduate,some_college,0.9875,-0.01261,669.2
male,nh_white,hispanic,graduate,bachelors,1.2436,0.21804,1400.1
male,nh_white,hispanic,graduate,graduate,1.3742,0.31788,1618.5
male,nh_white,nh_white,hs_or_less,hs_or_less,1.2576,0.22922,43374.3
male,nh_white,nh_white,hs_or_less,some_college,1.129,0.12132,33185.9
male,nh_white,nh_white,hs_or_less,bachelors,0.9659,-0.03468,15273.0
male,nh_white,nh_white,hs_or_less,graduate,0.9419,-0.05986,5924.6
male,nh_white,nh_white,some_college,hs_or_less,1.0541,0.05265,18253.6
male,nh_white,nh_white,some_college,some_college,0.9727,-0.02765,40944.1
male,nh_white,nh_white,some_college,bachelors,0.9631,-0.0376,26183.6
male,nh_white,nh_white,some_college,graduate,0.9715,-0.02894,11003.0
male,nh_white,nh_white,bachelors,hs_or_less,0.86,-0.15088,7224.1
male,nh_white,nh_white,bachelors,some_college,0.9153,-0.08854,17136.4
male,nh_white,nh_white,bachelors,bachelors,1.0234,0.02311,48807.0
male,nh_white,nh_white,bachelors,graduate,1.0176,0.01744,24264.6
male,nh_white,nh_white,graduate,hs_or_less,0.7583,-0.27673,2246.0
male,nh_white,nh_white,graduate,some_college,0.794,-0.23063,5131.9
male,nh_white,nh_white,graduate,bachelors,0.9567,-0.04426,16848.8
male,nh_white,nh_white,graduate,graduate,0.8958,-0.11004,21625.7
male,nh_white,nh_black,hs_or_less,hs_or_less,0.7736,-0.25665,465.5
male,nh_white,nh_black,hs_or_less,some_college,0.9598,-0.04107,425.8
male,nh_white,nh_black,hs_or_less,bachelors,1.2681,0.23754,169.7
male,nh_white,nh_black,hs_or_less,graduate,1.3749,0.31838,94.0
male,nh_white,nh_black,some_college,hs_or_less,0.78,-0.24844,235.9
male,nh_white,nh_black,some_college,some_college,0.7852,-0.24186,503.8
male,nh_white,nh_black,some_college,bachelors,1.2437,0.21808,281.3
male,nh_white,nh_black,some_college,graduate,1.1767,0.1627,132.5
male,nh_white,nh_black,bachelors,hs_or_less,0.8742,-0.13449,131.6
male,nh_white,nh_black,bachelors,some_college,0.9436,-0.0581,279.8
male,nh_white,nh_black,bachelors,bachelors,1.1201,0.11346,432.7
male,nh_white,nh_black,bachelors,graduate,1.0335,0.03296,231.0
male,nh_white,nh_black,graduate,hs_or_less,0.9662,-0.03443,52.1
male,nh_white,nh_black,graduate,some_college,0.9249,-0.07806,93.9
male,nh_white,nh_black,graduate,bachelors,1.0724,0.06992,161.8
male,nh_white,nh_black,graduate,graduate,0.9399,-0.06197,217.2
male,nh_white,nh_asian,hs_or_less,hs_or_less,0.5878,-0.53134,484.2
male,nh_white,nh_asian,hs_or_less,some_college,0.6678,-0.4037,420.1
male,nh_white,nh_asian,hs_or_less,bachelors,0.709,-0.34393,491.1
male,nh_white,nh_asian,hs_or_less,graduate,0.5122,-0.66905,154.3
male,nh_white,nh_asian,some_college,hs_or_less,1.0356,0.03496,441.0
male,nh_white,nh_asian,some_college,some_college,0.9498,-0.05146,885.4
male,nh_white,nh_asian,some_college,bachelors,0.8995,-0.10597,1102.9
male,nh_white,nh_asian,some_college,graduate,0.6649,-0.40819,415.5
male,nh_white,nh_asian,bachelors,hs_or_less,1.5179,0.41736,320.0
male,nh_white,nh_asian,bachelors,some_college,1.4162,0.34798,606.3
male,nh_white,nh_asian,bachelors,bachelors,1.037,0.03629,2278.7
male,nh_white,nh_asian,bachelors,graduate,0.9671,-0.03341,1382.5
male,nh_white,nh_asian,graduate,hs_or_less,1.8199,0.59877,155.3
male,nh_white,nh_asian,graduate,some_college,1.7929,0.58386,265.3
male,nh_white,nh_asian,graduate,bachelors,1.3477,0.2984,1059.2
male,nh_white,nh_asian,graduate,graduate,1.2645,0.23467,1723.5
male,nh_white,nh_aian,hs_or_less,hs_or_less,1.1981,0.18073,337.1
male,nh_white,nh_aian,hs_or_less,some_college,1.2262,0.20388,231.3
male,nh_white,nh_aian,hs_or_less,bachelors,1.4264,0.35516,64.3
male,nh_white,nh_aian,hs_or_less,graduate,1.2129,0.19299,21.3
male,nh_white,nh_aian,some_college,hs_or_less,1.0751,0.07246,154.8
male,nh_white,nh_aian,some_college,some_college,0.8978,-0.10786,235.1
male,nh_white,nh_aian,some_college,bachelors,1.3273,0.28312,92.1
male,nh_white,nh_aian,some_college,graduate,1.2535,0.22595,34.0
male,nh_white,nh_aian,bachelors,hs_or_less,0.6911,-0.36946,34.8
male,nh_white,nh_aian,bachelors,some_college,0.791,-0.23445,87.4
male,nh_white,nh_aian,bachelors,bachelors,0.9274,-0.07541,95.6
male,nh_white,nh_aian,bachelors,graduate,1.0391,0.03837,43.9
male,nh_white,nh_aian,graduate,hs_or_less,0.9589,-0.04199,22.0
male,nh_white,nh_aian,graduate,some_college,0.7207,-0.32755,18.0
male,nh_white,nh_aian,graduate,bachelors,0.8138,-0.20604,25.7
male,nh_white,nh_aian,graduate,graduate,0.8255,-0.19179,28.7
male,nh_white,nh_nhpi,hs_or_less,hs_or_less,0.8203,-0.19807,33.4
male,nh_white,nh_nhpi,hs_or_less,some_college,1.0917,0.08769,34.3
male,nh_white,nh_nhpi,hs_or_less,bachelors,1.216,0.19559,15.4
male,nh_white,nh_nhpi,hs_or_less,graduate,1.0782,0.0753,5.1
male,nh_white,nh_nhpi,some_college,hs_or_less,0.9285,-0.07417,21.2
male,nh_white,nh_nhpi,some_college,some_college,0.9559,-0.0451,38.1
male,nh_white,nh_nhpi,some_college,bachelors,1.2278,0.20524,21.8
male,nh_white,nh_nhpi,some_college,graduate,1.1324,0.12435,9.1
male,nh_white,nh_nhpi,bachelors,hs_or_less,0.8994,-0.10603,7.8
male,nh_white,nh_nhpi,bachelors,some_college,0.8815,-0.12617,12.2
male,nh_white,nh_nhpi,bachelors,bachelors,0.9744,-0.02597,18.5
male,nh_white,nh_nhpi,bachelors,graduate,0.9925,-0.00749,7.8
male,nh_white,nh_nhpi,graduate,hs_or_less,0.9554,-0.04561,2.6
male,nh_white,nh_nhpi,graduate,some_college,1.067,0.06486,9.4
male,nh_white,nh_nhpi,graduate,bachelors,0.9527,-0.04846,5.4
male,nh_white,nh_nhpi,graduate,graduate,0.9268,-0.07605,4.6
male,nh_white,nh_twoplus,hs_or_less,hs_or_less,1.1968,0.17964,1891.2
male,nh_white,nh_twoplus,hs_or_less,some_college,1.1732,0.15974,1762.6
male,nh_white,nh_twoplus,hs_or_less,bachelors,1.0202,0.02001,656.4
male,nh_white,nh_twoplus,hs_or_less,graduate,0.9022,-0.10294,216.6
male,nh_white,nh_twoplus,some_college,hs_or_less,1.0589,0.05724,853.1
male,nh_white,nh_twoplus,some_college,some_college,0.9283,-0.07437,2032.8
male,nh_white,nh_twoplus,some_college,bachelors,1.0515,0.05024,1180.0
male,nh_white,nh_twoplus,some_college,graduate,1.0593,0.05763,475.5
male,nh_white,nh_twoplus,bachelors,hs_or_less,0.9008,-0.10447,358.0
male,nh_white,nh_twoplus,bachelors,some_college,0.9649,-0.0357,972.9
male,nh_white,nh_twoplus,bachelors,bachelors,1.1238,0.11675,2255.9
male,nh_white,nh_twoplus,bachelors,graduate,1.1419,0.13266,1098.9
male,nh_white,nh_twoplus,graduate,hs_or_less,0.746,-0.29303,89.1
male,nh_white,nh_twoplus,graduate,some_college,0.8539,-0.15799,282.0
male,nh_white,nh_twoplus,graduate,bachelors,1.009,0.00894,730.5
male,nh_white,nh_twoplus,graduate,graduate,0.9741,-0.02619,930.4
male,nh_white,nh_other,hs_or_less,hs_or_less,0.8425,-0.1714,50.2
male,nh_white,nh_other,hs_or_less,some_college,0.7088,-0.34419,23.5
male,nh_white,nh_other,hs_or_less,bachelors,1.2324,0.20893,37.9
male,nh_white,nh_other,hs_or_less,graduate,1.0723,0.06984,13.7
male,nh_white,nh_other,some_college,hs_or_less,0.9065,-0.09821,27.4
male,nh_white,nh_other,some_college,some_college,0.9575,-0.04348,70.5
male,nh_white,nh_other,some_college,bachelors,0.9764,-0.02392,40.3
male,nh_white,nh_other,some_college,graduate,0.9931,-0.00694,18.1
male,nh_white,nh_other,bachelors,hs_or_less,1.0553,0.05382,20.0
male,nh_white,nh_other,bachelors,some_college,0.9801,-0.02007,32.8
male,nh_white,nh_other,bachelors,bachelors,1.1004,0.09567,85.0
male,nh_white,nh_other,bachelors,graduate,0.9244,-0.07859,33.0
male,nh_white,nh_other,graduate,hs_or_less,1.1583,0.14691,12.5
male,nh_white,nh_other,graduate,some_college,1.0411,0.04026,13.8
male,nh_white,nh_other,graduate,bachelors,1.154,0.14324,38.0
male,nh_white,nh_other,graduate,graduate,1.0285,0.02808,41.9
male,nh_black,hispanic,hs_or_less,hs_or_less,0.6281,-0.46511,1146.2
male,nh_black,hispanic,hs_or_less,some_college,0.9837,-0.01641,826.7
male,nh_black,hispanic,hs_or_less,bachelors,0.8801,-0.12769,229.8
male,nh_black,hispanic,hs_or_less,graduate,1.2497,0.22287,112.9
male,nh_black,hispanic,some_college,hs_or_less,0.8358,-0.17931,641.7
male,nh_black,hispanic,some_college,some_college,1.0928,0.0887,1121.7
male,nh_black,hispanic,some_college,bachelors,1.0377,0.03705,407.4
male,nh_black,hispanic,some_college,graduate,1.1274,0.11994,146.1
male,nh_black,hispanic,bachelors,hs_or_less,0.84,-0.17431,193.6
male,nh_black,hispanic,bachelors,some_college,1.0567,0.05511,306.9
male,nh_black,hispanic,bachelors,bachelors,0.9887,-0.01138,414.8
male,nh_black,hispanic,bachelors,graduate,1.3284,0.28395,231.1
male,nh_black,hispanic,graduate,hs_or_less,1.0277,0.02737,81.5
male,nh_black,hispanic,graduate,some_college,1.1244,0.11723,104.6
male,nh_black,hispanic,graduate,bachelors,0.8904,-0.11613,125.6
male,nh_black,hispanic,graduate,graduate,1.1435,0.13407,181.7
male,nh_black,nh_white,hs_or_less,hs_or_less,1.255,0.2271,2293.8
male,nh_black,nh_white,hs_or_less,some_college,1.0667,0.0646,1648.6
male,nh_black,nh_white,hs_or_less,bachelors,0.7791,-0.24964,618.6
male,nh_black,nh_white,hs_or_less,graduate,1.0066,0.00659,333.3
male,nh_black,nh_white,some_college,hs_or_less,1.3958,0.33346,1051.1
