cbsa,metro,rank_m3_2_0,rank_m3_3_0,move,index_m3_2_0,index_m3_3_0
35620,"New York, NY",1,1,0,103.82,104.57
14460,"Boston, MA",2,2,0,109.78,108.43
37980,"Philadelphia, PA",4,3,1,107.27,106.69
16980,"Chicago, IL",3,4,-1,105.96,104.76
41860,"San Francisco, CA",5,5,0,102.62,102.5
31080,"Los Angeles, CA",6,6,0,96.57,97.96
35380,"New Orleans, LA",7,7,0,104.35,104.93
42660,"Seattle, WA",9,8,1,103.08,102.47
12060,"Atlanta, GA",10,9,1,108.52,108.3
41940,"San Jose, CA",8,10,-2,107.76,106.09
47900,"Washington, DC",12,11,1,109.14,109.15
26420,"Houston, TX",13,12,1,100.37,100.18
12420,"Austin, TX",11,13,-2,104.33,103.09
19100,"Dallas, TX",14,14,0,103.57,102.79
19740,"Denver, CO",15,15,0,108.61,107.21
41740,"San Diego, CA",16,16,0,100.46,100.0
38300,"Pittsburgh, PA",17,17,0,103.87,103.07
33340,"Milwaukee, WI",18,18,0,103.18,102.03
33100,"Miami, FL",29,19,10,94.04,97.03
38900,"Portland, OR",19,20,-1,98.7,98.94
17410,"Cleveland, OH",20,21,-1,100.63,100.78
12580,"Baltimore, MD",21,22,-1,108.84,108.72
39580,"Raleigh, NC",26,23,3,113.18,111.52
19820,"Detroit, MI",23,24,-1,105.99,105.49
41180,"St. Louis, MO",25,25,0,102.05,101.44
16740,"Charlotte, NC",27,26,1,106.4,106.13
38060,"Phoenix, AZ",28,27,1,97.52,97.6
18140,"Columbus, OH",24,28,-4,104.73,103.54
15380,"Buffalo, NY",31,29,2,102.04,101.86
47260,"Virginia Beach, VA",30,30,0,102.04,101.83
36740,"Orlando, FL",32,31,1,98.4,99.24
31540,"Madison, WI",22,32,-10,108.78,105.89
45300,"Tampa, FL",41,33,8,95.24,96.96
32820,"Memphis, TN",33,34,-1,107.93,108.02
40380,"Rochester, NY",34,35,-1,103.06,102.94
39300,"Providence, RI",38,36,2,95.9,96.5
26900,"Indianapolis, IN",36,37,-1,101.52,100.73
25540,"Hartford, CT",35,38,-3,103.85,102.87
33460,"Minneapolis, MN",37,39,-2,102.06,100.62
14860,"Bridgeport, CT",42,40,2,104.6,104.87
14500,"Boulder, CO",39,41,-2,108.69,106.46
28140,"Kansas City, MO",40,42,-2,100.34,99.46
16700,"Charleston, SC",45,43,2,103.59,103.13
41700,"San Antonio, TX",46,44,2,93.4,93.71
34980,"Nashville, TN",43,45,-2,101.32,100.2
12940,"Baton Rouge, LA",44,46,-2,104.86,103.75
21500,"Erie, PA",47,47,0,104.56,104.73
35300,"New Haven, CT",50,48,2,102.21,101.93
40060,"Richmond, VA",48,49,-1,106.34,105.97
20500,"Durham, NC",49,50,-1,111.16,110.1
10580,"Albany, NY",53,51,2,101.91,101.43
42340,"Savannah, GA",51,52,-1,104.45,103.67
22660,"Fort Collins, CO",55,53,2,113.97,111.11
17140,"Cincinnati, OH",52,54,-2,98.12,97.24
40140,"Riverside, CA",62,55,7,94.06,94.87
11460,"Ann Arbor, MI",56,56,0,114.92,110.98
17900,"Columbia, SC",58,57,1,109.33,107.93
23540,"Gainesville, FL",61,58,3,111.56,109.71
29820,"Las Vegas, NV",70,59,11,88.94,91.64
36540,"Omaha, NE",57,60,-3,99.02,97.89
22020,"Fargo, ND",54,61,-7,103.22,101.02
40900,"Sacramento, CA",64,62,2,93.4,93.41
24660,"Greensboro, NC",68,63,5,103.89,104.0
41620,"Salt Lake City, UT",59,64,-5,99.64,97.92
36420,"Oklahoma City, OK",60,65,-5,95.78,94.84
13820,"Birmingham, AL",66,66,0,106.53,105.93
21340,"El Paso, TX",63,67,-4,93.87,93.1
45780,"Toledo, OH",65,68,-3,96.43,95.79
45940,"Trenton, NJ",76,69,7,102.79,103.65
45220,"Tallahassee, FL",69,70,-1,109.14,107.62
27260,"Jacksonville, FL",83,71,12,95.58,96.38
12100,"Atlantic City, NJ",84,72,12,97.55,98.45
31140,"Louisville, KY",73,73,0,96.53,96.83
42200,"Santa Maria, CA",74,74,0,99.27,98.82
42020,"San Luis Obispo, CA",77,75,2,102.56,102.15
19780,"Des Moines, IA",67,76,-9,95.73,94.2
48900,"Wilmington, NC",79,77,2,99.69,99.86
45060,"Syracuse, NY",82,78,4,95.96,96.4
24860,"Greenville, SC",78,79,-1,98.57,97.96
19430,"Dayton, OH",75,80,-5,98.43,97.61
27140,"Jackson, MS",86,81,5,105.55,105.95
30780,"Little Rock, AR",80,82,-2,100.02,99.85
46060,"Tucson, AZ",85,83,2,95.91,95.76
17820,"Colorado Springs, CO",72,84,-12,103.32,101.19
37340,"Palm Bay, FL",93,85,8,96.68,98.76
33860,"Montgomery, AL",89,86,3,107.76,107.7
30460,"Lexington, KY",81,87,-6,99.43,97.93
35840,"North Port, FL",102,88,14,94.7,96.65
10420,"Akron, OH",87,89,-2,97.97,97.59
17780,"College Station, TX",71,90,-19,108.12,103.26
10900,"Allentown, PA",104,91,13,95.59,97.06
25060,"Gulfport, MS",99,92,7,99.56,100.86
28880,"Kiryas Joel, NY",96,93,3,101.58,102.26
33660,"Mobile, AL",95,94,1,104.31,105.18
26620,"Huntsville, AL",90,95,-5,106.29,105.59
10740,"Albuquerque, NM",100,96,4,93.82,94.75
21660,"Eugene, OR",92,97,-5,95.56,95.32
24340,"Grand Rapids, MI",88,98,-10,101.08,99.06
28020,"Kalamazoo, MI",94,99,-5,109.0,106.75
44060,"Spokane, WA",103,100,3,95.27,95.57
38860,"Portland, ME",101,101,0,99.69,99.61
43620,"Sioux Falls, SD",91,102,-11,98.5,96.98
49340,"Worcester, MA",98,103,-5,97.03,96.86
46220,"Tuscaloosa, AL",106,104,2,113.4,110.53
19660,"Deltona, FL",125,105,20,91.94,94.04
17980,"Columbus, GA",115,106,9,105.32,106.68
12260,"Augusta, GA",113,107,6,105.25,106.28
37100,"Oxnard, CA",120,108,12,93.11,94.15
14260,"Boise City, ID",97,109,-12,95.94,95.16
37900,"Peoria, IL",105,110,-5,96.55,96.15
