# Pew Research Center, "Intermarriage across the U.S. by metro area"
# (feature, May 18 2017), data endpoint
# https://www.pewresearch.org/wp-json/prc-api/v2/interactive?slug=intermarriage-map
# accessed 2026-09-16. Percent of newlyweds married to someone of a
# different race or ethnicity, 2011-2015 ACS; Pew includes only metros with
# at least 200 newlyweds in sample; "-" = not published for that group.
# msa_code is the CBSA code of Pew's (2015-vintage) delineation.
# VALIDATION REFERENCE ONLY (soft, directional): read by build.validate,
# never shipped in the artifact, never scored. Phase 3's gate is to
# REPRODUCE this table from PUMS couple linkage; the interim pairing rate is
# only checked for direction against it. (c) Pew Research Center, used as a
# factual reference with attribution.
msa_code,metro_name,total,whites,blacks,hisps,asians
1,United States,16,10,18,26,29
10420,"Akron, OH",12,7,-,-,-
10580,"Albany-Schenectady-Troy, NY",14,6,-,-,-
10740,"Albuquerque, NM",28,-,-,-,-
10900,"Allentown-Bethlehem-Easton, PA-NJ",17,7,-,-,-
11260,"Anchorage, AK",28,-,-,-,-
11700,"Asheville, NC",3,1,-,-,-
12060,"Atlanta-Sandy Springs-Roswell, GA",14,9,12,25,-
12260,"Augusta-Richmond County, GA-SC",13,6,-,-,-
12420,"Austin-Round Rock, TX",21,15,-,26,-
12540,"Bakersfield, CA",17,-,-,-,-
12580,"Baltimore-Columbia-Towson, MD",15,10,12,-,-
12940,"Baton Rouge, LA",8,6,-,-,-
13140,"Beaumont-Port Arthur, TX",11,-,-,-,-
13820,"Birmingham-Hoover, AL",6,3,-,-,-
14260,"Boise City, ID",23,14,-,-,-
14460,"Boston-Cambridge-Newton, MA-NH",14,8,-,28,24
14860,"Bridgeport-Stamford-Norwalk, CT",15,10,-,-,-
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",16,9,-,-,-
15980,"Cape Coral-Fort Myers, FL",11,8,-,-,-
16860,"Chattanooga, TN-GA",5,3,-,-,-
16700,"Charleston-North Charleston, SC",13,7,-,-,-
16740,"Charlotte-Concord-Gastonia, NC-SC",16,10,-,-,-
16980,"Chicago-Naperville-Elgin, IL-IN-WI",19,14,13,24,35
17140,"Cincinnati, OH-KY-IN",9,5,-,-,-
17300,"Clarksville, TN-KY",21,11,-,-,-
17460,"Cleveland-Elyria, OH",12,7,-,-,-
17820,"Colorado Springs, CO",18,9,-,-,-
